trace_id,chapter,equation_label,document_location,code_symbol,code_location,inputs,outputs,units,signs,class,numeric_test,status,notes
"T009-025","3","eq:blend-balance","_sections/ch3v22_sec03_blend.tex:74","BlendedAnodeDQDV.__init__;BlendedAnodeDQDV.solve_U_oc","Anode_Fit_v1.0.23.py:1207-1284;1355-1365","f_Si,Q_gr,Q_Si,x_bar,T","U_oc","capacity,V","monotone pooled balance","numerical","test_gates_v1023.py G3; ch3_blend_normalization_probe.csv:1-5","확정","The capacity-fraction balance is internally conserved. from_wt keeps graphite mass/capacity fixed and adds Si, so it is not a fixed-total-mass sweep."
"T009-026","3","eq:blend-dqdv","_sections/ch3v22_sec03_blend.tex:121","BlendedAnodeDQDV.equilibrium;BlendedAnodeDQDV.dqdv;BlendedAnodeDQDV.host_contributions","Anode_Fit_v1.0.23.py:1322-1340;1368-1380","two host curves,Cbg","blend dQ/dV","capacity/V","additive on common V axis","approximate","test_gates_v1023.py G1/G2/G3; area and f_Si=0 checks","확정","Implementation is exact to the declared additive simultaneous-reaction approximation; finite-rate host switching and coupling are outside it."
"T009-027","3","eq:blend-factor","_sections/ch3v22_sec03_blend.tex:39;67-69","BlendedAnodeDQDV.from_wt","Anode_Fit_v1.0.23.py:1288-1319","m_Si,q_Si,q_gr","f_Si","mass fraction,mAh/g","positive conversion","exact","ch3_blend_normalization_probe.csv:1-5; independent inflation rerun","확정","The conversion formula and document example agree, but both use fixed graphite plus added Si. Relative to fixed total mass, absolute capacity is inflated by 1/(1-m_Si): 1.1111,1.25,1.4286 at 10,20,30 wt%."
"T009-028","3","eq:blend-limit;eq:si-code-bitexact","_sections/ch3v22_sec03_blend.tex:106;_sections/ch3v22_sec05_code.tex:18","BlendedAnodeDQDV.__init__;BlendedAnodeDQDV.equilibrium;BlendedAnodeDQDV.dqdv;BlendedAnodeDQDV.solve_U_oc","Anode_Fit_v1.0.23.py:1207-1284;1322-1365","f_Si=0","graphite-only outputs","same as host","same host signs","exact","test_gates_v1023.py G1; independent f_Si=0 check","확정","The graphite limit is bit-exact for 30 arrays and 13 legacy golden values."
"T009-029","3","eq:si-vshift","_sections/ch3v22_sec04_mech.tex:45","BlendedAnodeDQDV.__init__","Anode_Fit_v1.0.23.py:1207-1284","si_stress_offset","shifted Si transition centers","V","caller supplies signed offset","approximate","source inspection; Sethuraman geometry source check","확정","Code implements only a precomputed offset. It does not compute hydrostatic stress, biaxial/geometry conversion, partial molar volume, or finite-strain mapping."
"T009-030","3","eq:si-lcmu;eq:si-lcbal;eq:si-coupling","_sections/ch3v22_sec04_mech.tex:25-54","none; caller-side prerequisite for si_stress_offset","not implemented; interface at Anode_Fit_v1.0.23.py:1207-1284","stress,partial molar volume,strain,composition","mechanochemical potential and coupled balance","Pa,m3/mol,V","document sign chain","document-only","Sethuraman geometry source check; AST inventory","확정","The document marks mechanics as explanatory/GS-1, so absence is not a code-fidelity defect. The source check separately shows that biaxial stress cannot be inserted as hydrostatic stress without geometry and finite-strain treatment."
"T009-031","3","eq:si-plastic","_sections/ch3v22_sec04_mech.tex:82","BlendedAnodeDQDV.plastic_hysteresis_loop","Anode_Fit_v1.0.23.py:1383-1392","stress/strain history","none; raises NotImplementedError","not applicable","not applicable","document-only","NotImplementedError source inspection","확정","Plastic closure is explicitly declared GS-1; the stub honestly exposes the boundary."
"T009-032","3","eq:blend-dqdv","_sections/ch3v22_sec03_blend.tex:121;_sections/ch3v22_sec05_code.tex:37-43","BlendedAnodeDQDV.nonadditive_correction","Anode_Fit_v1.0.23.py:1395-1404","finite-rate host switching/coupling","none; raises NotImplementedError","not applicable","not applicable","code-only","NotImplementedError source inspection","확정","The code-only stub names the explicitly excluded GS-2 correction; no implemented nonadditive physics is claimed."
"T009-033","1","eq:sm-S;eq:sm-fund;eq:sm-resv;eq:sm-taylor;eq:sm-gibbsfactor;eq:sm-gc","_sections/ch1_sec02a_part0.tex:28-79","none","not implemented directly","microstate energies,N,T,mu","grand-canonical weights and partition function","J,dimensionless","Boltzmann exponent negative in E-mu*N","document-only","full equation/source inspection","확정","These statistical-mechanics foundations motivate later logistics but have no one-to-one runtime symbol."
"T009-034","1","eq:sm-baresum;eq:sm-baremid;eq:sm-bare;eq:sm-exch;eq:sm-fdbe;eq:partfn;eq:sm-occmid;eq:sm-epstilde;eq:fermifn;eq:sm-flucres;eq:sm-sint;eq:sm-factor;eq:sm-Smix;eq:sm-mucount;eq:sm-muideal","_sections/ch1_sec02a_part0.tex:132-381","func_ksi_eq;GraphiteAnodeDischargeDQDV.entropy_coefficient","Anode_Fit_v1.0.23.py:99-102;719-780","site energy,mu,T,occupancy","Fermi/logistic occupancy and ideal mixing entropy","J,dimensionless,J/(mol K)","occupancy increases with favorable electrochemical potential","document-only","source inspection; entropy finite-difference probe","확정","Only the terminal logistic and entropy consequences are encoded; the microscopic counting derivation is document-only."
"T009-035","1","eq:sm-mf;eq:sm-omega;eq:sm-gtheta;eq:mu;eq:gxi;eq:sm-thresh;eq:sm-emu;eq:sm-workbal;eq:sm-refbal;eq:sm-muV;eq:sm-eqcond;eq:sm-logistic","_sections/ch1_sec02b_part0.tex:12-194","func_dU_hys;func_U_branch;func_ksi_eq","Anode_Fit_v1.0.23.py:99-102;200-214","xi,T,Omega,U","mean-field chemical potential,spinodal scale,reduced occupancy","J/mol,V,dimensionless","regular-solution curvature changes at Omega=2RT","approximate","hysteresis G2 and zero-limit checks","확정","Spinodal hysteresis is implemented, while equilibrium occupancy deliberately remains an independent phenomenological logistic rather than solving the full Omega-dependent mean-field equation."
"T009-036","1","eq:sm-mc-factor;eq:sm-mc-occ;eq:sm-mc-balance;eq:sm-mc-fluc","_sections/ch1_sec02b_part0.tex:307-365","GraphiteAnodeDischargeDQDV.solve_U_oc;GraphiteAnodeDischargeDQDV.entropy_coefficient","Anode_Fit_v1.0.23.py:719-780;796-903","multiple transition classes,U,T,Q_j","occupancies,total composition,fluctuation weights","dimensionless,capacity,V","positive weights for positive capacities","numerical","entropy roundtrip probe; synthetic inverse rerun","확정","The code solves the reduced multiclass logistic balance numerically and uses its normalized derivative weights."
"T009-037","1","eq:sm-mubridge;eq:sm-nernst","_sections/ch1_sec02b_part0.tex:431-453","func_U_j;func_ksi_eq","Anode_Fit_v1.0.23.py:95-102","chemical potentials,T","electrode voltage and occupancy","J/mol,V,dimensionless","electron charge gives the documented voltage sign","exact","source and sign inspection","확정","The electrochemical-potential-to-voltage bridge is represented by the same center and logistic sign convention."
"T009-038","1","eq:gibbsdef;eq:mudef;eq:eqbalance;eq:eqcond;eq:Ujmid","_sections/ch1_sec03_center.tex:15-51","func_U_j","Anode_Fit_v1.0.23.py:95-96","dH_rxn,dS_rxn,T","Delta_G_rxn,mu balance,U_j","J/mol,V","U_j=-Delta_G_rxn/F","exact","source inspection; temperature derivative roundtrip","확정","The derivation collapses exactly to func_U_j; intermediate thermodynamic state functions are not separate symbols."
"T009-039","1","eq:bv;eq:db;eq:logisticsolve;eq:br-bazant2013-1","_sections/ch1_sec05_width.tex:20-144","func_ksi_eq;GraphiteAnodeDischargeDQDV._width","Anode_Fit_v1.0.23.py:99-102;382-389","overpotential,T,n","reduced logistic occupancy/width","V,dimensionless","s controls direction","approximate","source inspection; equilibrium peak gate","확정","The code implements the resulting logistic shape, not a Butler-Volmer current solver; the document explicitly uses this as a quasi-equilibrium reduction."
"T009-040","1","eq:tst-qrc;eq:tst-freq;eq:tst-rate;eq:tst-dG;eq:tst-box","_sections/ch1_sec05_width.tex:61-95","func_L_q;GraphiteAnodeDischargeDQDV._resolve_lag_length","Anode_Fit_v1.0.23.py:105-112;481-525","T,I/Q,dH_a,dS_a,chi,A","reaction lag scale","capacity,V","positive forward rate/lag","naming-mismatch","time-unit invariance probe; source inspection","확정","The Eyring algebra is represented, but public hour-based C-rate is not converted to the equation's second-based h/kB clock."
"T009-041","1","eq:ensavg;eq:widthbudget","_sections/ch1_sec07_broadening.tex:115-163","GraphiteAnodeDischargeDQDV._n_factor;GraphiteAnodeDischargeDQDV._width","Anode_Fit_v1.0.23.py:360-389","phenomenological n or w,T","effective peak width","V","positive width","approximate","graph/curve QA; source inspection","확정","Code exposes one effective width per transition; it does not decompose ensemble, strain, disorder, and instrument terms."
"T009-042","1","eq:psdconv;eq:gibbsthomson","_sections/ch1_sec07_broadening.tex:241-247","none","not implemented","particle-size distribution,interfacial energy,size","broadened spectrum,size-dependent shift","capacity/V,V","kernel and shift signs per document","document-only","AST search; synthetic inverse scope inspection","확정","No PSD forward distribution or inverse solver exists. Width-only inversion is underdetermined and the document treats the relations as interpretation, not recovered PSD."
"T009-043","1","eq:Lqmid;eq:Lq;eq:kuniv;eq:Acut;eq:Lqmid2","_sections/ch1_sec08_lag.tex:16-108","func_L_q;func_chi_d;func_dH_a_eff","Anode_Fit_v1.0.23.py:105-112;218-229","T,I/Q,dH_a,dS_a,chi,Omega,A_cut","L_q and effective barrier","capacity,J/mol","positive scale; mirrored chi_d","exact","ratio/time probes; source inspection","확정","The reduced deep-tail lag chain is implemented algebraically; the public time-unit defect is recorded separately in T009-001/T009-010."
"T009-044","1","eq:intfactor;eq:memory;eq:memory-Vaxis;eq:lag-byparts;eq:lag-mid","_sections/ch1_sec09_tail.tex:18-53","_causal_memory_pointwise","Anode_Fit_v1.0.23.py:115-143","ordered V,xi_eq,L_V","causal convolution state","V,dimensionless","past-to-present exponential kernel","numerical","test_gates_v1023.py; grid/zero-limit inspection","확정","The integral is evaluated interval-by-interval with piecewise-linear xi_eq, avoiding an FFT boundary for the primary path."
"T009-045","1","eq:Z1;eq:occ;eq:muV;eq:logistic;eq:Vxi","_sections/ch2_sec01_partition.tex:23-102","func_ksi_eq;func_U_j","Anode_Fit_v1.0.23.py:95-102","state energies,mu,V,T,n","partition occupancy and inverse voltage","dimensionless,V","documented Nernst/logistic sign","exact","source inspection; entropy roundtrip","확정","The two-state partition result and inverse logistic are represented through the public occupancy and center functions."
"T009-046","1","eq:BW;eq:Veq_BW;eq:slope_BW","_sections/ch2_sec01_partition.tex:116-134","none","not implemented as equilibrium solver","xi,T,Omega","Bragg-Williams voltage and slope","V,V per occupancy","interaction curvature per document","document-only","AST search; equilibrium Omega-independence check","확정","The document contrasts this interacting model with the code's declared independent-logistic equilibrium; Omega affects hysteresis/lag only."
"T009-047","1","eq:Sconfig;eq:dSconfig;eq:dVdT_config;eq:single_config","_sections/ch2_sec02_config.tex:17-44;_sections/ch2_sec05_mixing.tex:152","GraphiteAnodeDischargeDQDV.entropy_coefficient","Anode_Fit_v1.0.23.py:719-780","xi,T,n","configurational entropy and voltage-temperature coefficient","J/(mol K),V/K","mixing entropy symmetric; derivative sign follows log((1-xi)/xi)","exact","ch2_entropy_roundtrip_probe.csv; independent FD rerun","확정","The implemented log term matches the ideal configurational contribution, with clipping only at numerical endpoints."
"T009-048","1","eq:Svib_mode;eq:Se_start;eq:Se-ch2","_sections/ch2_sec03_vibel.tex:25-74","GraphiteAnodeDischargeDQDV._S_vib;LCOCathodeDQDV._effective_dS_rxn","Anode_Fit_v1.0.23.py:417-448;1003-1020","phonon/electronic density of states,T","generic vibrational/electronic entropy","J/(mol K)","positive entropy integrands; reaction difference may change sign","document-only","source inspection","확정","The generic density-of-states integrals are explanatory. Code supplies only the optional Einstein specialization and the LCO phenomenological Sommerfeld gate."
"T009-049","1","eq:implicit_diff;eq:gj;eq:dxidT;eq:dwdT-nT;eq:weighted","_sections/ch2_sec05_mixing.tex:34-78","GraphiteAnodeDischargeDQDV._dwdT;GraphiteAnodeDischargeDQDV.entropy_coefficient;GraphiteAnodeDischargeDQDV.entropy_coefficient_x","Anode_Fit_v1.0.23.py:392-404;719-780;876-903","U_oc,T,Q_j,w_j,U_j","implicit derivative and normalized weights","V/K,dimensionless","positive g_j denominator weights","numerical","30-point entropy roundtrip; independent FD max rel=5.74e-6 near zero","확정","The analytic chain is evaluated after numerical conservation inversion; finite differences support internal derivative fidelity."
"T009-050","1","eq:hys_branch;eq:hys_rev","_sections/ch2_sec05_mixing.tex:205-212","func_U_branch;GraphiteAnodeDischargeDQDV.entropy_coefficient","Anode_Fit_v1.0.23.py:200-214;719-780","branch centers,T,Omega,gamma,h_eta","branch entropy coefficient","V/K","charge/discharge branch signs oppose","approximate","source inspection; hysteresis zero-limit check","확정","Branch centers are implemented, but entropy_coefficient itself is an equilibrium/branch-neutral API; hysteretic reversible heat requires caller-selected branch treatment."
"T009-051","1","eq:sc-frozen;eq:sc-ref","_sections/ch1_appE_selfconsistent.tex:34-41","_causal_memory_pointwise","Anode_Fit_v1.0.23.py:115-143","xi_eq,L_ref,V","zeroth-order lagged occupancy","dimensionless,V","causal exponential memory","numerical","selfconsistent G-E1/G-E2; source inspection","확정","The frozen reference problem is the primary pointwise memory implementation."
"T009-052","1","eq:sc-true;eq:sc-volterra-eq","_sections/ch1_appE_selfconsistent.tex:54-64","none","no independent nonlinear fixed-point public solver","xi_eq,xi_lag,Omega,chi_d,T","self-consistent nonlinear memory state","dimensionless,V","state-dependent positive lag factor","document-only","AST inventory; selfconsistent test-source inspection","확정","The equations are not exposed as an independent solver. Tests iterate the same update, and the equation itself uses the reduced forward factor rather than the complete-affinity denominator."
"T009-053","1","eq:sc-split;eq:sc-ratio","_sections/ch1_appE_selfconsistent.tex:81-89","_causal_memory_ratio;GraphiteAnodeDischargeDQDV._lag_ratio_geff","Anode_Fit_v1.0.23.py:146-177;466-478","xi_lag0,L_ref,g_eff","one-pass corrected occupancy","dimensionless,V","positive exponential ratio","approximate","selfconsistent G-E2/G-E3; independent solve_ivp check","확정","One-pass is explicitly approximate. At g_eff=2 the independent check reduced error from 0.20066 to 0.073636; 60 same-update iterations still differed from IVP by 4.43e-4."
"T009-054","1","eq:sc-valid","_sections/ch1_appE_selfconsistent.tex:147","GraphiteAnodeDischargeDQDV._lag_ratio_geff","Anode_Fit_v1.0.23.py:466-478","g_eff,occupancy excursion","epsilon heuristic","dimensionless","nonnegative bound","document-only","ratio probe; source inspection","확정","The criterion is a declared heuristic for the reduced forward-factor model, not a certificate for complete-affinity kinetics."
"T009-055","1","tab:staging","_sections/ch1_sec10_sum.tex:31-91","GRAPHITE_STAGING_LIT","Anode_Fit_v1.0.23.py:1027-1077","literature staging entries","default transition dictionaries","mixed literature/code units","signs converted to code convention","naming-mismatch","test_gates_v1023.py G1; code-map inspection","확정","The data map is structurally traceable, but field names and fitted defaults are code-normalized rather than literal table columns; provenance tiers remain essential."
"T009-056","2","eq:lco-n0sub;eq:lco-dUdT;eq:lco-kirchhoff","_sections/ch1_sec12_lcocenter.tex:22-76","func_U_j;LCOCathodeDQDV._effective_dS_rxn","Anode_Fit_v1.0.23.py:95-96;1003-1020","LCO reaction dH,dS,T","LCO center and dU/dT","V,V/K","cathode/substitution sign per document","approximate","LCO gates; electronic freeze probe","확정","Base center thermodynamics map to func_U_j; electronic augmentation is frozen at 298.15 K by the explicitly declared approximation."
"T009-057","2","eq:lco-J;eq:lco-gxi;eq:lco-gpp;eq:lco-spinodal;eq:lco-Veq;eq:lco-dUhys;eq:lco-Ubranch;eq:br-vanderven1998-1;eq:lco-mit;eq:lco-dope","_sections/ch1_sec13_lcohys.tex:16-212","func_dU_hys;func_U_branch;LCOCathodeDQDV","Anode_Fit_v1.0.23.py:200-214;977-1020","T,Omega,gamma,sigma_d,LCO transitions","LCO branch center/gap","J/mol,V","charge maps sigma_d=+1","approximate","test_gates_v1023.py LCO hysteresis/direction checks","확정","Generic spinodal/branch functions are reused. MIT/doping relations motivate parameter choices but are not independently solved."
"T009-058","2","eq:lco-Zfact;eq:lco-Sadd;eq:lco-configsplit;eq:lco-slots;eq:lco-decomp;eq:br-reynier2004-1","_sections/ch1_sec14_lcodecomp.tex:14-112","GraphiteAnodeDischargeDQDV.entropy_coefficient;LCOCathodeDQDV._effective_dS_rxn","Anode_Fit_v1.0.23.py:719-780;1003-1020","configurational,vibrational,electronic entropy terms","decomposed LCO dU/dT","J/(mol K),V/K","terms add with documented reaction sign","exact","entropy roundtrip; LCO source inspection","확정","The additive decomposition is represented by the inherited entropy path plus LCO electronic override; this is exact to the stated additive model."
"T009-059","2","eq:lco-mottcrit;eq:br-marianetti2004-1;eq:fd;eq:Se;eq:Sedirect;eq:dSe;eq:dSemolar;eq:gunit;eq:U1T2;eq:ggate;eq:dSegate","_sections/ch1_sec15_lcoelec.tex:45-260","func_dSe_molar;LCOCathodeDQDV._effective_dS_rxn","Anode_Fit_v1.0.23.py:236-252;1003-1020","x,T,g_max_eV,x_MIT,dx_MIT","gated electronic entropy and center correction","states/eV,J/(mol K),V","electronic contribution negative under the chosen reaction convention","approximate","Motohashi full-source check; electronic-temperature-freeze probe","확정","The formula is implemented, but Motohashi only derives 13 electrons/eV from susceptibility under Pauli attribution, does not establish per-atom normalization, studies the O1 x=0 endpoint, highlights x=0.35-0.40, and does not derive an x~0.85 logistic gate. Code additionally uses the disclosed 298.15 K freeze."
