"source_package","record_id","version","transition_from","chapter","artifact_path","artifact_role","planned_change","reported_result","artifact_evidence","change_class","prior_claim","verification_status","severity","source_lines","dependencies","notes"
"L1_v1010_v10182","L1-011","v1.0.12","v1.0.11/v1.0.10 effective baseline","Ch1","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.12\graphite_ica_ch1_v1.0.12.tex","LCO equation expansion","Convert and expand the LCO/MSMR narrative into equation-backed material.","v1.0.12 delivered the authoring pass.","Ch1 grows from 1,937 to 2,358 lines and from 97 to 123 labels, adding 26 labels with no label deletion; code changes are comments/caveats rather than new physical logic.","expansion","The unexecuted v1.0.11 goal was carried forward.","확정","Info","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.10\graphite_ica_ch1_v1.0.10.tex:1-1937 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.12\graphite_ica_ch1_v1.0.12.tex:1-2358 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.12\Anode_Fit_v1.0.12.py:1-860","v1.0.11 plan; Fable v1.0.12 plans/results","Label counts were extracted from fully read TeX sources."
"L1_v1010_v10182","L1-012","v1.0.12","v1.0.11/v1.0.10 effective baseline","tests","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1012_P43_verify10.md","verification report","Run a ten-agent/13-check convergence and regression gate.","The report records 13/13 PASS.","The committed candidate harness still hardcodes v1.0.10 and defaults to capture, so the PASS report is not independently reproducible from the final v1.0.12 test artifact alone. v1.0.13 later names and repairs this risk.","unsupported-closure/recurrence","v1.0.10 regression PASS.","확정","High","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1012_P43_verify10.md:1-241 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.12\test_regression_graphite.py:1-80 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1013_EXECUTION_LEDGER.md:1-32","v1.0.13 harness repair","A report saying PASS was not treated as proof. [merge normalization: original verification_status=확정(보고의 증명력 부족)]"
"L1_v1010_v10182","L1-013","v1.0.13","v1.0.12","Ch1","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.13\graphite_ica_ch1_v1.0.13.tex","structural rewrite","Rebuild Ch1 as Part 0 statistical mechanics, Part I graphite, and Part II LCO while preserving implementation traceability.","The result and handover report the restructure complete.","The final Ch1 is 2,934 lines/164 labels, adds Part 0 and Part II, and retains all prior labels; implementation links and LCO direction material are present.","relocation/expansion","v1.0.12 equation expansion.","확정","Info","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\plans\2026-07-02-v1013-restructure-master-plan.md:1-159 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\V1013_RESULT.md:1-50 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.13\graphite_ica_ch1_v1.0.13.tex:1-2934 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.13\HANDOVER_v1.0.13.md:1-24","V1013_STRUCTURE_MAP.md:1-50; V1013_TERMS_POLICY.md:1-90","No Ch1 label deletion was observed in this transition."
"L1_v1010_v10182","L1-014","v1.0.13","v1.0.12","Ch1/code/API","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.13\Anode_Fit_v1.0.13.py","direction API","Make charge/discharge mapping electrode-aware for LCO while keeping low-level s physical.","Review loop R9/R10 reports the mapping and guide repaired.","The code adds _delith_is_discharge, maps curve labels before low-level dqdv, and sets LCO to False; Ch1 defines eq:lco-sigmaslot. Read-only audit evaluation found LCO curve(charge) exactly equal to s=+1 and discharge to s=-1.","API-expansion/correction","Direction mapping was latent/ambiguous in earlier artifacts.","확정","High","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.13\Anode_Fit_v1.0.13.py:246-248 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.13\Anode_Fit_v1.0.13.py:536-548 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.13\Anode_Fit_v1.0.13.py:679-703 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.13\graphite_ica_ch1_v1.0.13.tex:1913-1944","V1013 review R9/R10 reports","The test is equality of implementation paths, not validation against external electrochemical data. [merge normalization: original verification_status=확정(독립 재검)]"
"L1_v1010_v10182","L1-015","v1.0.13","v1.0.12","Ch2/code","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.13\Anode_Fit_v1.0.13.py","entropy coefficient","Propagate the configured n_j factor into the configurational entropy term and gate it on n rather than w.","R2/R10 report the coefficient and w-only correction closed.","Code gates the configurational term on n and uses nR/F. Ch1/Ch2 explain the split. A read-only n=0.25 evaluation matched the expected coefficient with zero maximum difference.","correction","Earlier config term omitted n_j or treated w-only inconsistently.","확정","High","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.13\Anode_Fit_v1.0.13.py:562-605 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.13\graphite_ica_ch1_v1.0.13.tex:2577-2602 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1013_EXECUTION_LEDGER.md:1-32","V1013 review R2/R10 reports","Confirmed only for the implemented formula/path. [merge normalization: original verification_status=확정(독립 재검)]"
"L1_v1010_v10182","L1-016","v1.0.13","v1.0.12","code","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.13\Anode_Fit_v1.0.13.py","degenerate-input guard","Close the R10 High silent scalar-V dynamics error caused by v_span_floor.","R10 reports the guard fixed.","The final code detects a degenerate voltage span before dynamic processing. A read-only scalar evaluation returned finite dQ/dV=4.543888935135673 rather than silently following the old dynamic branch.","correction","R10 High scalar-V silent error.","확정","High","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.13\Anode_Fit_v1.0.13.py:440-445 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.13\Anode_Fit_v1.0.13.py:497-515 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1013_REVIEW_R10_B.md:11-19","V1013_CODE_MAP_ADDENDUM_R10.md","The High report range and final source ranges were fully read. [merge normalization: original verification_status=확정(독립 재검)]"
"L1_v1010_v10182","L1-017","v1.0.13","v1.0.12","tests","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.13\test_regression_graphite.py","regression harness","Repair candidate-module targeting and prevent accidental default capture.","The ledger reports the harness repaired.","The final harness adds environment/local candidate selection, explicit verification behavior, and invalid-mode handling; it is no longer the v1.0.10 hardcoded capture harness.","test-correction","v1.0.12 13/13 PASS despite weak committed harness.","확정","High","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.13\test_regression_graphite.py:1-85 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1013_EXECUTION_LEDGER.md:1-32","v1.0.10-v1.0.12 test_regression_graphite.py","This is a documentary harness repair; the audit did not execute scripts that create/capture golden files."
"L1_v1010_v10182","L1-018","v1.0.13","v1.0.12","all","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1013_EXECUTION_LEDGER.md","closure gate","Reach two consecutive zero-defect review rounds.","The release closed after ten rounds.","The ledger explicitly states that the formal two-consecutive-zero criterion was not met and closure used decreasing severity plus the round limit.","gate-exception","Formal convergence gate in the master plan.","확정","Medium","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\plans\2026-07-02-v1013-restructure-master-plan.md:1-159 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1013_EXECUTION_LEDGER.md:19-32","V1013_RESULT.md:1-50","Closure is historical and qualified, not equivalent to the planned convergence proof. [merge normalization: original verification_status=확정(계획 게이트 미충족)]"
"L1_v1010_v10182","L1-019","v1.0.14","v1.0.13","Ch1","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.14\graphite_ica_ch1_v1.0.14.tex","rigor/figure/reference expansion","Improve tone and rigor; add Hill/statistical-mechanics depth, PSD treatment, width budget, figures, and references.","The result reports completion after review/adjudication.","Ch1 grows to 3,445 lines/175 labels and 28 bibliography items. It adds the general PSD convolution, then explicitly excludes quantitative PSD inference, and adds a width-budget derivation/figure.","expansion/caveat","v1.0.13 structured textbook baseline.","확정","Info","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\plans\2026-07-04-v1014-tone-rigor-appendix-figures-plan.md:1-146 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\V1014_RESULT.md:1-52 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.14\graphite_ica_ch1_v1.0.14.tex:1672-1689 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.14\graphite_ica_ch1_v1.0.14.tex:1751-1759 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.14\graphite_ica_ch1_v1.0.14.tex:1787-1790 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.14\graphite_ica_ch1_v1.0.14.tex:1820-1823","v1.0.14 figures and references","The PSD exclusion is a deliberate caveat, not accidental loss."
"L1_v1010_v10182","L1-020","v1.0.14","v1.0.13","appendix","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.14\appendix_phase_separation.tex","new separate appendix","Create rigorous phase-separation derivations while deciding whether to merge them into Ch1.","Adjudication kept the appendix separate by user decision.","The 492-line appendix contains coordinate/sign caveats, free energy and derivatives, figures, Maxwell construction, nucleation/Cahn-Hilliard material, and links/references; Ch1 points to it rather than absorbing it.","new-artifact/relocation","Possible Ch1 integration.","확정","Info","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.14\appendix_phase_separation.tex:1-492 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1014_AUDIT_ADJUDICATION.md:1-27 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1014_EXECUTION_LEDGER.md:1-40","v1.0.14 plan","Separate location was deliberate."
"L1_v1010_v10182","L1-021","v1.0.14","v1.0.13","Ch1-Ch2/guide/appendix","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1014_AUDIT_ADJUDICATION.md","High-defect closure","Close review Highs involving width-budget sigma/scale, Omega lower-bound guidance, tail-threshold numerics, references, and appendix xi direction.","The adjudication/result reports closure.","The final Ch1 contains the corrected width-budget and tail caveats, the guide scopes Omega, and the appendix opens with explicit xi/sign-coordinate caveats. The claims have final-artifact counterparts.","correction","v1.0.14 review High findings.","확정","High","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1014_AUDIT_ADJUDICATION.md:1-27 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.14\graphite_ica_ch1_v1.0.14.tex:1672-1689 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.14\appendix_phase_separation.tex:1-61 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.14\FITTING_GUIDE.md:1-99","v1.0.14 review reports","No independent literature adjudication was performed. [merge normalization: original verification_status=확정(문서 대조)]"
