"finding_id","domain","severity","status","versions","location","finding","effect","evidence","independent_check","correction_or_strengthening","code_impact","confidence"
"P5-CH1-011","Activation-barrier provenance","High","확정","v1.0.19-v1.0.23","ch1_sec10_sum.tex:45-53; Anode_Fit_v1.0.23.py:1023-1056","The text says the 48 to 40 kJ/mol initialization decreases toward full lithiation in agreement with Persson DFT, but the fully read Persson PRB paper reports migration barriers increasing from about 218 meV in dilute/stage-II conditions to about 283-297 meV at higher local lithium content and states that diffusivity decreases with lithium content.","The direction of the claimed source trend is reversed; fitted Eyring barriers may be given a false first-principles interpretation even though the document admits no transition-specific anchor.","D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch1_sec10_sum.tex:45-53; D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/Anode_Fit_v1.0.23.py:1023-1056; D:/Projects/Project_Anode_Fit/Codex/work/phase005/literature/Persson_2010_PhysRevB_10.1103_PhysRevB.82.125416.txt:451-520,578-613; https://doi.org/10.1103/PhysRevB.82.125416","Direct full-text comparison finds the opposite composition trend. The meV migration barriers and the model's effective kJ/mol Eyring parameters are not automatically identical observables, which further prevents the claimed matching rather than rescuing it. Refutation failed.","Delete the Persson trend attribution; either retain 48-40 kJ/mol as unsupported fit starts with broad uncertainty, or derive a comparable effective barrier from a source measuring the same process and state variable.","Required documentation/provenance correction; default values should be relabeled or changed only with a comparable-basis calibration.","0.99 (high)"
"P5-CH1-012","Material-system transfer","High","확정","v1.0.20-v1.0.23","ch1_sec07_broadening.tex:13-26; ch1v22_bib.tex:25","A potassium-intercalated graphite paper is the load-bearing citation for classifying specified lithium-graphite transitions as continuous, even though the bibliography itself acknowledges that Li staging appears only as comparison context.","A material-transfer analogy is elevated into the phase-class rule that decides whether a logistic peak is an equilibrium isotherm or phenomenological broadening.","D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch1_sec07_broadening.tex:13-26; D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch1v22_bib.tex:25; https://doi.org/10.1039/D0TA12607A; D:/Projects/Project_Anode_Fit/Codex/results/phase004_existing_reference_claim_matrix.csv:21","The source identity and primary K-graphite system are certain; no fully read direct Li-graphite primary source was found that carries the detailed classification. The explicit tier-B disclosure mitigates hidden transfer but does not make the evidence direct. Refutation failed.","Replace the load-bearing classification with a fully read Li-graphite operando diffraction/thermodynamic primary source; retain Onuma only as a labeled comparison.","Documentation/citation correction required; no immediate numerical code change unless the direct Li evidence changes transition classes.","0.96 (high)"
"P5-CH1-013","Hysteresis regime/source mapping","Medium","확정","v1.0.20-v1.0.23","ch1_sec04_hys.tex:5-18,67-87,224-264; ch1_sec07_broadening.tex:68-100","The closed regular-solution spinodal voltage difference is mathematically a metastability upper bound, not a universal equilibrium or zero-current hysteresis identity; the chapter usually says this correctly but also calls the plateau and gap two faces of the same Dreyer result and generalizes residual splitting beyond the source's kinetic regimes.","Readers can conflate Maxwell equilibrium, metastable overshoot, nucleation/particle-ensemble hysteresis, and rate-dependent polarization, and can treat fitted gamma times the spinodal gap as source-derived graphite physics.","D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch1_sec04_hys.tex:5-18,67-87,224-264; D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch1_sec07_broadening.tex:68-100; D:/Projects/Project_Anode_Fit/Codex/work/phase005/literature/Dreyer_2011_ContinuumMechanicsThermodynamics_10.1007_s00161-010-0178-1.txt:1237-1274; https://doi.org/10.1007/s00161-010-0178-1; D:/Projects/Project_Anode_Fit/Codex/work/phase005/literature/Ferguson_Bazant_2014_ElectrochimActa_10.1016_j.electacta.2014.08.083.txt:120-141,211-227,295-305; https://doi.org/10.1016/j.electacta.2014.08.083","The local derivation, threshold, continuous Omega to 2RT limit, and upper-bound wording are correct, so the proposed equation-error refutation succeeds. Dreyer's full text gives no-hysteresis Maxwell behavior in the very-slow/entropy-dominant regime and maximal hysteresis only in an intermediate regime, so the universal/source-identity wording remains unrefuted.","Keep Delta U_spinodal named as a model-specific metastability upper bound; separate Maxwell/binodal, spinodal, nucleation, mosaic/ensemble, and transport regimes; cite Dreyer only for the conceptual regime structure.","Primarily documentation and parameter-semantics correction; the gap helper can remain if its name/domain and gamma interpretation are constrained.","0.95 (high)"
"P5-CH1-014","Thermal-method bibliography identity","High","확정","v1.0.19-v1.0.23","ch2_sec09_method.tex:18-20; ch1v22_bib.tex:40","The msmr_partI key at the claimed direct MCMB Part 1 method correspondence resolves to Garrick et al. JES 171 023502, while the intended MCMB Part 1 article is a different ECS Advances paper with DOI 10.1149/2754-2734/ad7d1c; the bibliography itself warns of the mismatch but the citation key remains wrong at the method claim.","A reader following the citation cannot audit the specific parameterization procedure; generic MSMR support is substituted for a claimed direct method lineage.","D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch2_sec09_method.tex:18-20; D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch1v22_bib.tex:40; D:/Projects/Project_Anode_Fit/Codex/results/phase004_existing_reference_claim_matrix.csv:36; https://doi.org/10.1149/1945-7111/ad1d27; https://doi.org/10.1149/2754-2734/ad7d1c","Identifier/title comparison independently confirms two distinct papers. The generic reaction-versus-equilibrium-entropy statements may remain supported by the JES paper, but the direct MCMB Part 1 method citation is not. Refutation failed.","Create a separate bibliography key for DOI 10.1149/2754-2734/ad7d1c and use it only for the specific MCMB Part 1 method; retain ad1d27 for generic MSMR thermodynamic statements.","Required bibliography/document correction; no numerical code change.","0.99 (high)"
"P5-CH1-015","MCMB entropy-coefficient magnitude","High","확정","v1.0.19-v1.0.23","ch2_sec02_config.tex:134-142; ch1v22_bib.tex:41","The body reports +3 to +4 mV/K for low-state MCMB graphite, while the fully retrieved primary Figure 1 peaks at about 2.8e-4 V/K (0.28 mV/K); the source contradiction is approximately one order of magnitude.","A confirmed tenfold entropy-coefficient error can propagate into reaction-entropy scale comparisons, temperature shifts, and reversible-heat interpretation if reused as an anchor.","D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch2_sec02_config.tex:134-142; D:/Projects/Project_Anode_Fit/Codex/work/phase010_sources/msmr_partII/full_source_check.md:1-49; official publisher PDF https://iopscience.iop.org/article/10.1149/1945-7111/ad70d9/pdf; https://doi.org/10.1149/1945-7111/ad70d9","The official 17-page publisher PDF was rendered and visually read pages 1-17. Figure 1 uses V/K and reaches about 0.00028 V/K at low state of lithiation; Figures 7 and 9 retain the same 1e-4 V/K scale. Refutation failed.","Replace +3 to +4 mV/K with an approximately +0.3 mV/K, material- and protocol-qualified statement anchored to Figure 1; audit every dependent entropy and reversible-heat number for factor-ten propagation.","Immediate documentation/source correction; trace actual runtime/default use before any code/input change.","0.99 (high)"
"P5-CH1-016","External thermal validation","Medium","확정","v1.0.19-v1.0.23","ch2_sec07_revheat.tex:68-72; ch2_sec08_synthesis.tex:97-108; test_gates_v1023.py:195-277","The +60.8 mV reversible-heat example is an internal regression of the same model and parameters, while the cited standardized potentiometric-method paper establishes a measurement protocol rather than independently validating this graphite half-cell sign and magnitude.","Passing the worked-value gate can be mistaken for physical validation; it proves implementation/document agreement only.","D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch2_sec07_revheat.tex:68-72; D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch2_sec08_synthesis.tex:97-108; D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/test_gates_v1023.py:195-277; https://doi.org/10.1149/1945-7111/ad4918; D:/Projects/Project_Anode_Fit/Codex/results/phase004_existing_reference_claim_matrix.csv:38","The isolated gate reproduces +60.806492 mV exactly, confirming code/document consistency. The current wording was already corrected from calorimetry to potentiometry, so that part of the earlier objection is refuted; no external graphite dataset was compared, so magnitude validation remains absent.","Label the table as a same-model worked regression; cite the method paper only for protocol and add an independent graphite half-cell entropy/reversible-heat dataset before claiming physical agreement.","Documentation/test-label correction required; external validation test/data are strengthening rather than a core forward-code change.","0.95 (high)"
"P6-CH2-001","LCO entropy source attribution","Critical","확정","v1.0.19-v1.0.23","Claude/docs/v1.0.23/_sections/ch1_sec15_lcoelec.tex:200-218,285-303","Reynier 2004의 약 0.18 k_B/atom을 O3의 config+vib+electronic 총 부분몰 엔트로피로 기술하지만 원문은 x=0.833 금속상에서 계산한 전자 상태 엔트로피를 가리킨다.","성분 정체와 미분/상태량을 바꾸므로 전자 게이트 크기 비교와 출처 신뢰도가 무너진다.","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.23\_sections\ch1_sec15_lcoelec.tex:200-218,285-303 | D:\Projects\Project_Anode_Fit\Codex\work\phase006\ch2_reynier2004_full_source_check.md:1-98 | https://doi.org/10.1103/PhysRevB.70.174304 | https://authors.library.caltech.edu/records/e9xj1-c1x65","저자 저장소 전문과 7/7-page visual-read record를 대조했다. 0.18은 S_el(x=.833), electronic lithiation entropy는 dS_el/dx, 실측 lithiation entropy는 equilibrated-voltage 온도미분으로 서로 다른 양이며 원문은 dS_el/dx가 O3 조성 추세에 작다고 결론낸다.","0.18의 성분·조성·정규화·상태량을 원문대로 정정하고 S_el(x), dS_el/dx, 실측 lithiation entropy, MIT endpoint difference를 분리해 모든 크기 비교를 다시 계산한다.","문서 필수 수정; 현재 코드 수식은 직접 바뀌지 않지만 g_max와 dS prior 재평가 필요","High"
"P6-CH2-002","LCO electronic parameter provenance","High","미검증","v1.0.19-v1.0.23","Claude/docs/v1.0.23/_sections/ch1_sec15_lcoelec.tex:160-168,236-287","g_max=13 states/eV/atom을 Li-rich O3 x≈0.85 gate 높이로 고정하지만 Motohashi 2009는 x=0 O1 CoO2의 χ0 차이를 전부 Pauli 항으로 귀속해 D(E_F)=13 electrons/eV를 계산했을 뿐 직접 DOS를 측정하거나 /atom 정규화를 확립하지 않는다.","상·조성·관측량·정규화가 미확정인 값을 이동시켜 -45.7 J/(mol K) 크기를 tier-A 문헌 고정값처럼 만든다.","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.23\_sections\ch1_sec15_lcoelec.tex:160-168,236-287 | D:\Projects\Project_Anode_Fit\Codex\work\phase006\ch2_motohashi2009_full_source_check.md:1-50 | https://doi.org/10.1103/PhysRevB.80.165114 | https://arxiv.org/pdf/0909.3556","29/29-page full-source record는 직접 관측이 susceptibility임, 원문 수치가 13 electrons/eV for CoO2이고 /atom 없음, endpoint가 O1 x=0, 논문의 highlighted critical point가 x=.35-.40임을 확인한다. O3 x≈.85 continuous g(E_F,x) 또는 logistic fit은 없다.","13을 provisional bounded prior 이하로 낮추고 /atom을 제거하거나 molar/formula/spin 정규화를 독립 복원한다. O1 endpoint, O3 transition location, interpolation form을 분리하고 O3 조성분해 DOS/열량 evidence로 교체한다.","LCO_MSMR_LIT 기본값과 전자 엔트로피·가역열 수치 재보정 필요","High"
"P6-CH2-003","Electronic gate model form","Critical","근거 미발견","v1.0.19-v1.0.23","Claude/docs/v1.0.23/_sections/ch1_sec15_lcoelec.tex:50-107,236-303","Fermi-Dirac 에너지 점유의 모양 유사성, 공존구간, Mott 전이 문헌은 g(E_F,x)의 logistic 커널, Δx=0.05, 그 미분 피크의 물리 진폭 또는 electronic-only uniqueness를 유도하지 않는다.","-45.678 J/(mol K) 계산은 선택한 ansatz의 산술일 뿐 source-validated electronic entropy가 아니며 config-only/competing models를 배제하지 못한다.","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.23\_sections\ch1_sec15_lcoelec.tex:50-107,236-303 | D:\Projects\Project_Anode_Fit\Codex\work\phase006\ch2_reynier2004_full_source_check.md:38-87 | D:\Projects\Project_Anode_Fit\Codex\work\phase006\ch2_motohashi2009_full_source_check.md:11-43 | https://doi.org/10.1038/nmat1178 | https://ceder.berkeley.edu/theses/2004_Chris_Marianetti_Thesis.pdf | https://doi.org/10.1103/PhysRevB.70.174304","코드가 가정한 per-Co/site 정규화 아래 중심 대입은 -45.678261885 J/(mol K), 적분 상태량은 9.135652377 J/(mol K)=1.098827565 R로 재현됐다. Reynier는 config trend dominance와 logistic 비유일성을, Motohashi는 highlighted critical point x=.35-.40 및 Li-rich continuous DOS/logistic 부재를 확인한다.","gate를 명시적 경쟁 가설로 재라벨하고 S_el(x), dS_el/dx, configurational-only, coupled, alternative-kernel 모델을 불확도·식별성과 함께 비교한다; 어느 공존구간도 Δx로 직접 변환하지 않는다.","함수 보존 가능하나 기본값·문서 claim·검증 게이트를 변경해야 함","High"
"P6-CH2-004","Composition-local electronic entropy implementation","Critical","확정","v1.0.19-v1.0.23","Claude/docs/v1.0.23/Anode_Fit_v1.0.23.py:232-252,953-1020","문서의 ΔS_e(x,T)와 달리 최종 코드는 모든 전위/총조성에서 x_center=0.85 한 점을 평가한 동일 상수 오프셋을 T1 슬롯에 넣는다; x(V) 또는 x(ξ) 매핑이 없다.","MIT 밖에서도 T1 overlap weight가 있는 한 전자 엔트로피가 작동하여 조성 국소성, x_MIT 위치, Δx 폭의 의미가 소실된다.","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.23\Anode_Fit_v1.0.23.py:232-252,953-1020 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.23\_sections\ch1_sec15_lcoelec.tex:340-390","x_bar=0.50에서도 재현값 dU/dT=-0.312435 mV/K에 frozen gate가 들어가며 문건 자체도 V-무관·국소성 없음이라고 확인한다.","implemented-frozen 모델과 proposed-local 모델을 API·수식·그림에서 분리하고 실제 stoichiometric x mapping을 정의한 뒤에만 local gate를 실행한다.","_effective_dS_rxn 및 solve_U_oc/entropy 경로의 입력 계약 변경 필요","High"
"P6-CH2-005","Electronic entropy temperature integration","Critical","확정","v1.0.19-v1.0.23","Claude/docs/v1.0.23/_sections/ch1_sec15_lcoelec.tex:214-234; Claude/docs/v1.0.23/Anode_Fit_v1.0.23.py:1003-1020","Sommerfeld 전자항 ΔS_e=a_e T를 문서는 올바르게 T^2로 적분하지만 코드는 ΔS_e(T_ref)를 동결해 U(T)를 선형으로 만든다.","온도 곡률과 다온도 식별 신호가 구현되지 않았고 frozen round-trip PASS는 proposed T^2 모델을 검증하지 않는다.","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.23\_sections\ch1_sec15_lcoelec.tex:214-234 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.23\Anode_Fit_v1.0.23.py:1003-1020 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.23\FITTING_GUIDE.md:53-70 | D:\Projects\Project_Anode_Fit\Codex\work\phase006\ch2_electronic_temperature_freeze_probe.csv:1-6","U_exact-U_frozen=a_e(T-T_ref)^2/(2F)로 재유도했으며 현재 값에서 |ΔT|=20/30/50 K일 때 -0.317574/-0.714542/-1.984838 mV다. 추가 probe의 전자항 단독 비교도 ±10/±20 K에서 code-document=+79.3935/+317.5740 μV로 정확히 일치한다; 총 T1 또는 implicit U_oc 값은 아니다.","전용 free-energy 적분으로 1/2 인자를 보존해 구현하거나 full T^2 모델이 미구현임을 장 전체에서 일관되게 제한한다.","_effective_dS_rxn만 바꾸면 factor-2 오류가 생기므로 center U와 dU/dT를 같은 자유에너지 seam에서 함께 변경해야 함","High"
"P6-CH2-006","Electronic gate identifiability","High","확정","v1.0.19-v1.0.23","Claude/docs/v1.0.23/Anode_Fit_v1.0.23.py:236-252,953-1020","endpoint 데이터에서는 x_center=x_MIT이고 한 점만 평가하므로 전자항은 g_max/(4Δx) 한 조합으로 축약되어 x_MIT는 소거되고 g_max와 Δx는 분리 식별되지 않는다.","세 파라미터를 독립 물리량/피팅값처럼 해석하면 불확도와 상관이 은폐된다.","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.23\Anode_Fit_v1.0.23.py:236-252,953-1020","(g_max,Δx)=(13,0.05),(26,0.10),(6.5,0.025)는 모두 -45.678261885 J/(mol K)를 주고 x_center=x_MIT를 0.75/0.85/0.95로 함께 이동해도 값이 동일함을 독립 계산했다.","frozen 모델은 단일 amplitude 파라미터로 축약하고 local 모델은 다조성 데이터·profile likelihood·parameter correlation으로 식별성을 검증한다.","LCO 데이터 schema와 fitting parameter exposure 수정 필요","High"
"P6-CH2-007","Electronic gate ablation","High","확정","v1.0.21-v1.0.23","Claude/docs/v1.0.23/_sections/ch1_sec15_lcoelec.tex:340-390; Claude/docs/v1.0.23/Anode_Fit_v1.0.23.py:953-1020","gate-off 예제는 gate-on 전자 엔트로피와 함께 T_ref OCV에 보정된 dH_rxn을 고정하여 reference calibration 변화까지 전자 효과로 센다.","보고된 -91 mV OCV 이동은 전자항의 독립 물리 증거가 아니며 계수 비교도 occupancy 재배치가 섞인다.","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.23\_sections\ch1_sec15_lcoelec.tex:340-390 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.23\Anode_Fit_v1.0.23.py:953-1020","고정-dH 결과 U_oc=4.100834→4.009535 V와 +0.160354→-0.127658 mV/K를 재현했다; dH를 -377397.126 J/mol로 재기준화하면 gate-off U_oc=4.009535 V가 유지되고 slope는 +0.106708 mV/K다.","T_ref OCV와 나머지 fitted observables를 고정한 nested refit ablation을 제시하고 fixed-dH intervention은 별도 민감도 분석으로 이름 붙인다.","테스트 fixture와 worked-example 생성 경로 수정; 현재 production 함수 자체는 산술대로 작동","High"
"P6-CH2-008","Entropy factorization and cross coupling","High","근거 미발견","v1.0.19-v1.0.23","Claude/docs/v1.0.23/_sections/ch1_sec14_lcodecomp.tex:7-26,60-124","Z≈Z_config Z_vib Z_e exp(-F_cross/RT) 뒤 F_cross≈0와 config/electronic orthogonality를 두지만 MIT·Li ordering·phonon 변화가 결합된 구간에서 그 미분항을 무시할 정량 근거가 없다.","각 성분의 합을 고유 분해로 해석하거나 gate 폭이 coupling을 흡수한다고 하면 double counting 또는 누락을 식별할 수 없다.","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.23\_sections\ch1_sec14_lcodecomp.tex:7-26,60-124 | https://doi.org/10.1103/PhysRevB.70.174304 | https://doi.org/10.1038/nmat1178","Reynier는 MIT에서 electronic과 configurational 변화가 비교 가능하다고 하고 Marianetti는 상분리와 correlation을 결합해 다룬다; F_cross의 상한이나 독립성 검증은 찾지 못했다.","분해를 non-unique additive ansatz로 표시하고 F_cross 민감도/공분산 또는 하나의 총 자유에너지 모델을 제시한다.","현재 dS_rxn+electronic+vib+config 가산 seam 전체의 해석에 영향","Medium-High"
"P6-CH2-009","Order-disorder and regular-solution mapping","Critical","확정","v1.0.19-v1.0.23","Claude/docs/v1.0.23/_sections/ch1_sec13_lcohys.tex:9-25,108-166; Claude/docs/v1.0.23/_sections/ch2_sec01_partition.tex:108-140","Van der Ven의 다체 cluster expansion과 x=1/2 ordered ground state를 단일 대칭 Ωξ(1-ξ)와 Ω>2RT iff ordered phase stable로 등치하는 축약은 원문에서 유도되지 않는다. 단일 조성축의 양의 Ω 정규용액은 demixing을 만들며, 같은 전체 조성에서 ordered/disordered 상태를 구분할 상태변수가 없다.","실제 점유 좌표의 Ω>0은 demixing이며 ordered phase에는 sublattice/order parameter와 여러 ECI가 필요하므로 fitted Ω를 미시 상호작용으로 해석할 수 없다. 현 모델은 phenomenological peak 또는 miscibility-gap fit으로만 제한할 수 있다.","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.23\_sections\ch1_sec13_lcohys.tex:9-25,108-166 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.23\_sections\ch2_sec01_partition.tex:108-140 | D:\Projects\Project_Anode_Fit\Codex\results\phase010_literature_structure_history_code_critique.csv:P10-R001 | https://doi.org/10.1103/PhysRevB.58.2975","정규용액의 g''(1/2)=4RT-2Ω이므로 Ω>2RT는 x=1/2를 조성 분리로 불안정화한다. 문서와 코드에서 별도 ordering state variable을 찾지 못했다. Phase 010 fresh-context critic이 같은 결함을 독립 재확인했으며 신규 루트가 아니라 본 행의 심각도 승격 근거로 병합했다.","sublattice/order-parameter 또는 cluster-interaction 모델을 근거·코드와 함께 도입하거나, T2/T3를 phenomenological transition fit으로 낮추고 literal microscopic-order equivalence와 iff 문구를 삭제한다.","Critical 문서/모델 의미 수정. 현재 LCO Ω는 미배정이라 기본 코드는 dormant지만, literal ordering 구현에는 새 상태변수와 equation-code traceability가 필요하다.","0.999 (high)"
"P6-CH2-010","Thermal width and configurational entropy","High","미검증","v1.0.19-v1.0.23","Claude/docs/v1.0.23/_sections/ch2_sec05_mixing.tex:57-114,146-194; Claude/docs/v1.0.23/Anode_Fit_v1.0.23.py:360-404,719-780","w=nRT/F를 쓰면 implicit derivative의 w'(T)logit 항은 대수적으로 맞지만 두상/비평형 peak에서 fitted broadening width를 평형 configurational entropy로 해석할 물리 검증이 없다.","heterogeneity·PSD·coherency·kinetics·instrument broadening이 섞인 폭에 R/F 열법칙을 강제하면 가역열을 잘못 배분한다.","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.23\_sections\ch2_sec05_mixing.tex:57-114,146-194 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.23\Anode_Fit_v1.0.23.py:360-404,719-780 | https://doi.org/10.1149/2.0341708jes","implicit differentiation과 same-model finite difference는 일치하지만 MSMR은 species/gallery decoupling을 명시적 가정으로 두며 다온도 폭의 물리 기원을 독립 확인하지 않는다.","single-phase thermodynamic width와 empirical broadening kernel을 분리하고 후자는 measured w(T)와 equilibrium entropymetry가 있을 때만 q_rev에 전파한다.","entropy_coefficient의 config 항 및 n/n_T1 schema 영향","Medium-High"
"P6-CH2-011","Hysteresis branch averaging","High","미검증","v1.0.19-v1.0.23","Claude/docs/v1.0.23/_sections/ch2_sec05_mixing.tex:196-228","charge/discharge entropy-coefficient의 산술 평균을 reversible equilibrium entropy로 놓는 것은 hysteresis가 정확히 반대칭이고 동일한 평형 중심 주위에 있으며 온도·경로 의존 잔여가 없을 때만 성립한다.","비대칭·protocol-dependent metastable branch에서는 평균도 상태함수 미분이 아니어서 reversible heat와 irreversible hysteresis를 섞는다.","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.23\_sections\ch2_sec05_mixing.tex:196-228 | https://doi.org/10.1016/j.jpowsour.2018.05.052 | https://doi.org/10.1007/s00161-010-0178-1 | https://doi.org/10.1149/2.0341708jes","U_±=U_eq±δ일 때만 derivative 평균이 dU_eq/dT로 소거됨을 재유도했다; LCO/NMC 문헌은 산화 전용 peak와 비대칭 및 온도 경로 의존을 보고한다.","충분히 이완된 equilibrium OCV의 직접 dU/dT를 기준으로 하고 branch mean은 symmetry diagnostic/heuristic로 낮춘다.","현재 entropy_coefficient는 equilibrium center만 사용하므로 직접 branch 평균 구현은 없지만 문서 해석과 향후 데이터 전처리에 영향","Medium-High"
"P6-CH2-012","Chapter dependency and claim boundary","High","확정","v1.0.22-v1.0.23","Claude/docs/v1.0.23/ch2_lco_v1.0.23.tex:1-31","Chapter 2 master는 Chapter 1 계열 LCO/thermal section을 import하고 여러 유도를 Chapter 1로 되돌리므로 독립 review/textbook 장이 아니라 의존형 extension이다.","상태변수·부호·범위·구현 경계가 master 밖에 흩어져 독립 독자가 full model과 frozen demonstration을 혼동한다.","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.23\ch2_lco_v1.0.23.tex:1-31 | D:\Projects\Project_Anode_Fit\Codex\results\phase004_model_dependency_graph.md:1-94","master include graph을 재구성해 LCO sections ch1_sec11-17과 thermal chain ch2_sec00-10 및 ch1 inputs/bibliography 의존을 확인했다.","extension/case-study로 제목과 범위를 바꾸거나 최소 state definitions·signs·observables·validity·code boundary를 장 안에 복제한다.","문서 구조만 영향; 실행 코드 없음","High"
"P6-CH2-013","Motohashi calorimetry provenance and assignment","Medium","확정","v1.0.19-v1.0.23","Claude/docs/v1.0.23/_sections/ch1_sec13_lcohys.tex:169-177; Claude/docs/v1.0.23/_sections/ch1_sec11_lcointro.tex:55-75","문건은 0.47/1.49 J/(mol K)의 Motohashi 귀속을 철회하지만 원 논문 DSC가 x=0.50/0.67의 82.2/272 J/mol latent heat를 직접 보고해 그 값의 1차 출처는 맞다; 다만 이를 T2/T3 OCV entropy slot에 배정하는 것은 별도 미검증이다.","유효한 provenance를 잃는 동시에 열적 charge-order transition entropy를 전압 peak parameter와 동일시할 위험이 남는다.","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.23\_sections\ch1_sec13_lcohys.tex:169-177 | https://doi.org/10.1103/PhysRevB.80.165114 | https://arxiv.org/pdf/0909.3556","82.2/약175=0.47 및 272/약183=1.49 J/(mol K)를 재계산했다; 측정 조성 x=0.50/0.67과 endpoint T2/T3 창 x≈0.55/0.48의 대응은 성립하지 않는다.","Motohashi를 DSC 값의 원전으로 복구하되 transition temperature·composition·normalization을 명시하고 OCV slot 배정은 fit 전 보류한다.","현재 LCO dS_rxn=-4/-2 placeholder에는 직접 사용되지 않아 기본 코드 영향 없음","High"
