"integration_id","source_id","chapter","target_section","current_statement","proposed_change_type","proposed_model_or_boundary","state_variables","parameters","required_data","code_impact","identifiability_risk","falsification_test","final_disposition"
"INT-LCO-004","RT-LCO-001;RT-LCO-004;RT-LCO-005;RT-LCO-006","2","ch1_sec15_entropy.tex","Electronic, vibrational, and configurational entropy terms are separately identified by OCV and reversible heat","IDENTIFIABILITY_BOUNDARY","Treat measured quantities as derivatives of total free energy; name separate components only with orthogonal CE/MC, phonon, and correlated-electron priors","x;eta;T;phase;total G","component functions plus explicit priors/discrepancy","same-sample multi-T OCV;calorimetry;diffraction;phonons;spectroscopy","Represent total model and optional prior-tagged components; report covariance","Gauge freedom permits compensating component functions with unchanged total observables","Fail component claims when alternate decompositions have identical total U and dU/dT","ADOPT_CRITICAL_BOUNDARY"
"INT-LCO-005","RT-LCO-001;RT-LCO-003;RT-LCO-004;RT-LCO-005;RT-LCO-006","2","all LCO sections","Immediate recovery is needed before new atomistic data exist","IMMEDIATE_RECOVERY_OPTION","Option A: branch-specific total U_ref(x) plus kappa(x) using constrained splines/small smooth bases; empirical localized features only","x;T;branch;dataset identity","spline/basis coefficients;direct feature amplitude/center/width;uncertainty","equilibrated multi-temperature branch-specific OCV and held-out ICA/DVA","Low burden replacement backend; remove false labels; no phase prediction claim","Flexible splines can overfit and features remain nonunique","Hold out temperatures,cells,branches,composition windows; require derivative and smoothing robustness","RECOMMENDED_NOW"
"INT-LCO-006","RT-LCO-001","2","interaction/order and phase sections","A textbook-level explicit ordering model can be built with current scalar x alone","MEDIUM_REBUILD_OPTION","Option B: sublattice or symmetry-complete Landau free energy g(x,eta,T), equilibrium minimization, common tangents, and CH/AC only if dynamics are claimed","x;eta or eta_1..eta_6;T;phase","a,b,c and coupling functions;gradient coefficients;mobilities only for dynamics","ordered structures;variant symmetry;transition temperature;diffraction;OCV","Medium/high burden solver with local-minimum tracking and Hessian/common-tangent checks","Single eta may still be the wrong symmetry; coefficients weakly identifiable from OCV","Require correct degeneracy,transition temperature,superstructure intensity,OCV and no false projected spinodal","MEDIUM_REBUILD_AFTER_DATA"
"INT-LCO-007","RT-LCO-001;RT-LCO-002","2","future research architecture","A parameter patch can make the chapter predictive over the full LCO composition range","LONG_TERM_RESEARCH_OPTION","Option C: direct-LCO DFT configuration set, cluster expansion, SGC/umbrella Monte Carlo, differentiable G(x,eta,T) surrogate, then separate compatible vibronic/electronic additions","Li/vacancy configuration sigma;x;eta vector;T;structural phase","ECIs;DFT/U choices;surrogate;finite-size and uncertainty controls","hundreds of configurations;multiple sizes/T/mu/seeds;held-out energies;phase/voltage/calorimetry","New offline physics pipeline plus stable thermodynamic service","DFT method dependence, finite-size effects, surrogate error, and missing MIT/phonons","Require out-of-sample energies,correct ground states,finite-size convergence,phase diagram and held-out voltage","LONG_TERM_RESEARCH_PROGRAM"
"INT-LCO-008","RT-LCO-001;RT-LCO-002;RT-LCO-006","2","potential landscape and OCV","Zero-K DFT energy, finite-T free energy, and measured dU/dT are interchangeable","THERMODYNAMIC_CATEGORY_CORRECTION","Separate E0, F_conf, F_vib, F_el, phase minimization/convexification, and total partial-molar reaction entropy","x;eta;T;phase;pressure/reference","method-tagged component functions and Li reference","calculated component data plus multi-T equilibrium measurements","Add typed provenance/category fields; no implicit conversion","Different omitted terms can compensate in voltage fits","Reject any transfer whose source output and target thermodynamic quantity do not match","ADOPT_CRITICAL_CORRECTION"
"INT-LCO-009","RT-LCO-002;RT-LCO-011;RT-LCO-012","2","ch1_sec11_lcointro.tex and validity domain","One reversible O3 model can be extrapolated through deep delithiation and oxygen/stacking changes","VALIDITY_BOUNDARY","Declare O3 reversible domain; treat H1-3/O1, oxygen redox/release, disorder and reconstruction as separate phase/degradation regimes","x;oxygen vacancy;structural phase;surface/bulk state","domain thresholds only when protocol/source matched","high-voltage structure,gas/spectroscopy and cycling data","Add domain guards/labels only in later implementation","Thresholds depend on material engineering,rate,surface and history","Fail extrapolation if held-out structural or gas data enter an omitted phase before the claimed boundary","ADOPT_BOUNDARY"
"INT-LCO-010","RT-LCO-001;RT-LCO-002","2","ch1_sec16_phase_separation.tex;ch1_sec17_msmr.tex","Spinodal limits, equilibrium coexistence, kinetic hysteresis and signal width are interchangeable","CONCEPTUAL_CORRECTION","Use convex hull/common tangent for equilibrium, Hessian loss for spinodal, explicit dynamics/history for hysteresis, and a separate observation operator for ICA width","x;eta;phase fraction;history;measurement state","free-energy and kinetic parameters kept distinct","equilibrium OCV;rate/rest scans;phase fraction;raw derivative data","Separate solver outputs and result labels","Similar plateaus/peaks can arise from different categories","Reject label transfer when changing rate/rest or convexification changes the inferred boundary","ADOPT_CRITICAL_CORRECTION"
"INT-CH3-001","CH3RT-002;CH3RT-004","3","blend capacity and composition basis","Silicon fraction can change denominator without an explicit basis","ARITHMETIC_AND_CONTRACT_CORRECTION","Declare fixed-total-active-mass replacement versus fixed-graphite-mass addition and propagate mass,capacity,density and volume bases","m_i;Q_i;rho_i;epsilon_i;basis_id","component capacities,densities,reference mass/volume","material formulation and electrode loading","Add typed basis contract before all blend calculations","Different bases can fit the same normalized curve","Mass and capacity conservation must close under limiting pure-host and zero-Si cases","AUDITED_CORRECTION; RECENT_SOURCE_FULL_READ_REQUIRED"
"INT-CH3-002","CH3RT-002;CH3RT-003","3","common chemical potential and interaction","A shared electrode potential proves separable G_int=0","VALIDITY_BOUNDARY","Keep common electrochemical potential as an equilibrium condition; make G_int=0 an explicit conditional assumption; Si-C may require internal exchange","c_Gr;c_Si;c_Cmatrix;mu_common;j_internal","host OCPs;optional G_int;internal exchange coefficients","host-resolved equilibrium and exchange/relaxation data","Expose separability flag and optional internal-host dynamics","Voltage alone cannot identify a cross free energy","Reject inferred G_int or separability if orthogonal host-state data are absent","PROVISIONAL_DIRECTION_FULL_READ_REQUIRED"
"INT-CH3-003","CH3RT-001;CH3RT-002;CH3RT-003;CH3RT-005","3","finite-rate blend model","Equilibrium host fractions determine finite-rate current split","REQUIRED_STATE_EXTENSION","Add separate host transport,reaction currents,active areas,electrolyte/solid potentials and total-current closure; distinct internal Si-C exchange","c_i(r,z,t);j_i;a_i;phi_s;phi_e;c_e;T","diffusivities;exchange currents;areas;conductivities","host-resolved current/state data across rate and rest","New finite-rate backend; preserve equilibrium-only mode with explicit label","Host kinetics,area and transport are confounded","Require current conservation,rest exchange and prediction across held-out rates/thickness positions","PROVISIONAL_DIRECTION_FULL_READ_REQUIRED"
"INT-CH3-004","CH3RT-006;CH3RT-007;CH3RT-008;CH3RT-010","3","chemo-mechanical free energy","Small-strain scalar correction is general for Si","REQUIRED_STATE_EXTENSION","Use multiplicative chemical-elastic-plastic/viscoplastic kinematics for general Si; label linear form a local truncation","F_ch;F_el;F_pl;c;plastic state;stress measure;geometry","Omega(c,phase,T);elasticity;yield/viscoplastic parameters","geometry-tagged strain,stress,voltage and phase/path data","New mechanics state/solver if general claims retained","Mechanism and parameter nonuniqueness across geometry/path","Reject generalization if finite-deformation model fails independent load/rate/geometry tests","PROVISIONAL_DIRECTION_FULL_READ_REQUIRED"
"INT-CH3-005","CH3RT-010;CH3RT-006;CH3RT-008","3","stress-potential coupling","Equibiaxial thin-film slope transfers directly to hydrostatic particles/composites","GEOMETRY_CORRECTION","Use Omega tr(sigma)/(3F) with declared sign/stress convention and geometry boundary; convert plane stress explicitly","full stress tensor;geometry;boundary condition;c","Omega and mechanical parameters tagged by material/path/geometry","independent mechanical perturbation plus voltage;particle/composite stress validation","Add stress adapter with geometry metadata","Stress and OCP branch effects are confounded without independent loading","Require predicted voltage jumps under independent stress perturbations and reject cross-geometry scalar transfer","PROVISIONAL_DIRECTION_FULL_READ_REQUIRED"
"INT-CH3-006","CH3RT-011;CH3RT-006","3","Si equilibrium voltage and hysteresis","One single-valued U_Si(z) and one mechanism cover all cycles and cutoffs","REQUIRED_STATE_EXTENSION","Add crystalline/amorphous phase,path,first-cycle,Li15Si4 transformation and history state; keep mechanical and phase hysteresis mechanisms separate","phase fraction;stoichiometry;branch;first_cycle;cutoff history;stress","phase/path free energies;kinetic/history parameters","phase-resolved spectroscopy/diffraction,cutoff series,relaxed voltage","Stateful OCP/phase module","Multiple mechanisms reproduce branch separation","Reject universal curve when held-out cutoff/cycle/phase data show path dependence","PROVISIONAL_DIRECTION_FULL_READ_REQUIRED"
"INT-CH3-007","CH3RT-003;CH3RT-004;CH3RT-014","3","SiOx and Si-C material definitions","Elemental Si, SiOx, Si-C and Si/graphite are interchangeable labels","MATERIAL_MODEL_CORRECTION","Define material identity and internal hosts; effective SiOx laws must state omitted conversion products and irreversible lithium","material_id;host fractions;conversion products;trapped Li;internal exchange","formulation-specific capacities,OCPs,volume laws,exchange","full formulation,first-cycle inventory,host-resolved data","Separate material adapters","Effective fits hide conversion and contact states","Reject transfer if formulation/cycle inventory differs or component conservation fails","PROVISIONAL_DIRECTION_FULL_READ_REQUIRED"
"INT-CH3-008","CH3RT-005;CH3RT-007;CH3RT-009","3","degradation and morphology","Degradation can be folded into an equilibrium voltage offset","REQUIRED_DEGRADATION_EXTENSION","Track crack area,LAM,SEI original/crack surface,resistance,cyclable Li and named unresolved CBD/contact/porosity states","crack/LAM;SEI;LLI;porosity;contact;active area","fracture,SEI,side-reaction and contact parameters","capacity,impedance,expansion,imaging and inventory across cycles","Separate degradation states and conservation laws","Many degradation states produce similar voltage/capacity signatures","Require multi-observable prediction and mass/Li conservation; voltage-only attribution is insufficient","PROVISIONAL_DIRECTION_FULL_READ_REQUIRED"
"INT-CH3-009","CH3RT-004;CH3RT-012;CH3RT-013;CRM-010;CRM-014;CRM-020","3","ICA/DVA degradation inference","Low-rate ICA/DVA uniquely separates Si and graphite degradation","OBSERVABLE_AND_IDENTIFIABILITY_BOUNDARY","Use protocol-matched host OCPs,balance/slippage and cross-sensitivity; add reference electrode or expansion/phase data where possible","LAM_i;LLI;capacity offsets;OCP identity;observable settings","noise/discrepancy and covariance","three-electrode,expansion or host-resolved phase data plus low-rate curves","Add uncertainty/cross-sensitivity report","Si/graphite/cathode modes cross-couple strongly","Reject absolute attribution if synthetic recovery or held-out orthogonal data exceed error bounds","PROVISIONAL_DIRECTION_FULL_READ_REQUIRED"
"INT-COM-001","CH1-RT-008;CRM-009","1-3","all derivative-observable sections","Processed ICA/DVA is treated as raw truth","METHOD_TRANSFER","Make acquisition,alignment,filtering,differentiation and uncertainty part of the statistical measurement model","raw observations;processing state;noise","noise/filter/alignment parameters","replicates and processing perturbations","Shared observation-model library","Preprocessing can mimic physical widths and shifts","Claims must survive prespecified processing sensitivity and boundary tests","ADOPT_METHOD_AFTER_FULL_READ"
"INT-COM-002","CRM-001;CRM-002;CRM-004;CRM-005;CRM-006;CRM-012","1-3","inverse/identifiability sections","Local Jacobian rank alone establishes practical uniqueness","METHOD_TRANSFER","Use nonlinear profiles/posterior geometry,correlations and model comparison where multimodality matters","parameter vector;model indicator;discrepancy","likelihood,priors,profile thresholds,model evidence","multi-protocol data","Shared inference diagnostics","Method papers diagnose but do not prove this project's identifiability","Project-specific synthetic recovery and profiles/posteriors are mandatory","ADOPT_METHOD_AFTER_FULL_READ"
"INT-COM-003","CRM-003;CRM-005;CRM-017","1-3","all calibrated models","Residuals are measurement noise only","MODEL_DISCREPANCY_BOUNDARY","Include explicit model discrepancy and stress-test conclusions against discrepancy choices","model output;discrepancy process;noise","discrepancy scale/kernel or feature model","replicates and structurally varied validation data","Likelihood/model layer change","Discrepancy can absorb missing physics and destroy parameter meaning","Reject parameter interpretation when it changes materially across plausible discrepancy models","ADOPT_METHOD_AFTER_FULL_READ"
"INT-COM-004","CRM-001;CRM-007;CRM-011;CRM-013;CRM-014;CRM-015;CRM-018;CRM-019","1-3","validation and experimental design","More voltage data of the same type resolves all confounding","DATA_REQUIREMENT","Select orthogonal protocols/observables: rate,temperature,impedance,expansion,reference electrode,phase/spectroscopy and mechanical perturbation","protocol design;observable set;state sensitivities","design criteria and measurement uncertainties","candidate experiment simulations and actual orthogonal data","No source-code change until design accepted","Additional same-manifold data may not improve rank","Accept added data only if predicted and observed information geometry improves for target parameters","RETRIEVE_AND_FULL_READ_BEFORE_USE"
"INT-COM-005","CRM-010;CRM-020","1-3","capacity and degradation observables","Normalized derivative shape alone fixes absolute capacity states","OBSERVABLE_BOUNDARY","Retain absolute capacity,balancing/slippage and expansion alongside normalized derivative features","absolute Q;electrode balances;expansion","capacity offsets and uncertainty","calibrated capacity and expansion/reference data","Data contract extension","Normalization removes observability of scale and inventory","Synthetic and held-out recovery must distinguish scale,slippage and shape changes","ADOPT_METHOD_AFTER_FULL_READ"
"INT-CH3-010","CH3RT-015;CRM-021","3","material-specific health and degradation diagnostics","One low-rate voltage or impedance feature uniquely identifies silicon loss and a fixed silicon-dominant window","OBSERVABLE_AND_CONDITIONING_BOUNDARY","Allow degradation-dependent effective Si OCP deformation and transition SoC only inside a protocol-conditioned estimator; condition EIS on SoC and temperature; preserve explicit uncertainty and require orthogonal validation","LAM_Si;LLI;effective U_Si;transition SoC;T;SoC;aging state;observable provenance","deformation basis;capacity/balance parameters;noise and discrepancy;interaction terms","complete Wan model and supplements; raw constant-current data; matched EIS; reference-electrode, expansion, or host-resolved validation","Future diagnostic layer and data contract; no thermodynamic backend change from targeted evidence alone","Effective OCP deformation, capacity loss, lithium inventory, cathode slippage, temperature, and preprocessing can compensate; statistical interaction is not microscopic identifiability","Fail material attribution when held-out pathway/cell/protocol data exceed uncertainty, when transition SoC is not stable under admissible preprocessing, or when orthogonal host evidence disagrees","RETRIEVE_AND_FULL_READ_BEFORE_IMPLEMENTATION"
