challenge_id,target_record_or_claim,source_location,first_pass_claim,challenge_result,evidence,status,severity_change,required_adjudication,confidence
"F1-011","L1-014","SNAPSHOT\Claude\docs\v1.0.13\Anode_Fit_v1.0.13.py:246-248,536-548,679-703 | SNAPSHOT\Claude\docs\v1.0.13\graphite_ica_ch1_v1.0.13.tex:1913-1944","v1.0.13 implemented electrode-aware direction mapping.","The implementation-path claim is upheld.","LCO sets _delith_is_discharge=False; curve labels map before low-level dqdv, and charge equals physical s=+1 in the read-only comparison.","UPHELD","SAME","Do not promote path equality to external electrochemical validation.","High"
"F1-012","L1-015","SNAPSHOT\Claude\docs\v1.0.13\Anode_Fit_v1.0.13.py:562-605 | SNAPSHOT\Claude\docs\v1.0.13\graphite_ica_ch1_v1.0.13.tex:2577-2602","v1.0.13 propagated n into the configurational entropy term and corrected w-only handling.","The implementation correction is present.","The code gates on n and uses nR/F; the direct n=0.25 calculation matched the implemented coefficient.","UPHELD","SAME","Limit closure to formula/code consistency.","High"
"F1-013","L1-016","SNAPSHOT\Claude\docs\v1.0.13\Anode_Fit_v1.0.13.py:440-445,497-515","v1.0.13 fixed the silent scalar-voltage dynamic branch.","The final guard and finite scalar result are present.","Degenerate span is detected before dynamic processing; the direct scalar evaluation remained finite.","UPHELD","SAME","No further lineage action.","High"
"F1-014","L1-021","SNAPSHOT\Claude\results\process\V1014_AUDIT_ADJUDICATION.md:1-27 | SNAPSHOT\Claude\docs\v1.0.14\graphite_ica_ch1_v1.0.14.tex:1672-1689 | SNAPSHOT\Claude\docs\v1.0.14\appendix_phase_separation.tex:1-61","Named v1.0.14 High documentary corrections landed.","Final-source counterparts exist for the width/tail/Omega/direction caveats.","The relevant Ch1, guide, and appendix text contains the adjudicated corrections.","UPHELD","SAME","Treat this as final-artifact closure only; primary-literature truth is deferred.","High"
"F1-015","L5-023","SNAPSHOT\Claude\results\process\V1014_EXECUTION_LEDGER.md:1-40 | SNAPSHOT\Claude\results\process\V1014_AUDIT_ADJUDICATION.md:1-27","Not every v1.0.14 load-bearing source claim was directly verified.","The source-verification limitation survives falsification.","The process record retains unavailable originals/evidence-missing items and a Park 2021 correction; metadata existence is not claim-level verification.","UPHELD","SAME","Carry the exact unavailable-source list into the later scientific source audit.","High"
"F1-016","L1-024","SNAPSHOT\Claude\docs\v1.0.15\Anode_Fit_v1.0.15.py:105-133,393-509 | SNAPSHOT\Claude\docs\v1.0.15\graphite_ica_ch1_v1.0.15.tex:1985-2105","v1.0.15 intentionally removed the grid/recurrence architecture and replaced it with pointwise memory.","Direct AST and plan-result evidence uphold intentional deletion rather than accidental loss.","Functions fell 30 to 29; _causal_memory_pointwise was added while _causal_lowpass and func_U_j_hys plus grid parameters were removed.","UPHELD","SAME","Classify as an intentional API break and scientific implementation transition.","High"
"F1-017","Major claim: v1.0.15 deletion approval/status","SNAPSHOT\Claude\plans\2026-07-05-v1015-code-doc-sync-master-plan.md:1-164 | SNAPSHOT\Claude\results\process\V1015_P2_PHYSICS_REVIEW.md:1-59 | SNAPSHOT\Claude\results\process\V1015_P3_RESULT.md:1-55 | SNAPSHOT\Claude\results\process\V1015_P7_RESULT.md:1-39","The deletion status remained unresolved because an early ledger entry said decision pending.","Later controlling records explicitly supersede preservation and record user approval; the pending marker is stale process metadata.","The master calls for dead grid-code/parameter deletion; P3/P7 state approval and application, matching the final AST.","DOWNGRADED","Medium->Low","Use the later controlling master and P3/P7 result as final status; annotate the early ledger as stale.","High"
"F1-018","L1-025; L1-055","SNAPSHOT\Claude\docs\v1.0.15\Anode_Fit_v1.0.15.py:393-509 | SNAPSHOT\Claude\docs\v1.0.15\graphite_ica_ch1_v1.0.15.tex:2081-2101,2754-2755","The pointwise transition closed the grid-threshold jump and corrected the direction-invariant tail-sign expression.","The final implementation and derivation do not contradict the claimed transition.","The grid switch is absent; the tail closes on an absolute nonnegative derivative and the later Sommerfeld wording uses the O(T^3) correction.","UPHELD","SAME","Keep numerical and scientific adequacy separate from lineage closure.","High"
"F1-019","L1-026","SNAPSHOT\Claude\results\process\V1015_P4_RESULT.md:1-49 | SNAPSHOT\Claude\results\process\V1015_P7_RESULT.md:1-39","The v1.0.15 worked example was corrected after fallback-width/n-precedence review.","Plan-versus-result history and final numbers support a correction event.","P4 supplied the example; P7 explicitly superseded its width-precedence values in the shipped result.","UPHELD","SAME","Retain both the initial error and final correction in lineage accounting.","High"
"F1-020","L1-029; L1-030","SNAPSHOT\Claude\docs\v1.0.16\Anode_Fit_v1.0.16.py:330-390,625-685 | SNAPSHOT\Claude\results\process\V1016_EXECUTION_LEDGER.md:1-21","v1.0.16 added n(T)/dwdT and repaired array-T APIs.","The optional keys, derivative propagation, and array handling are present.","Direct code inspection confirms n_T1/n_T_ref paths and array-temperature support; no active grid/nu control reappears.","UPHELD","SAME","Interpret as implemented API/formula consistency, not empirical identifiability.","High"
"F1-021","L1-056","SNAPSHOT\Claude\docs\v1.0.16\FITTING_GUIDE.md:1-115 | SNAPSHOT\Claude\results\process\V1016_EXECUTION_LEDGER.md:16-17","v1.0.16 removed stale active-nu guidance left after the v1.0.15 architecture change.","The final guide no longer prescribes nu/min_lag_grid_steps as an active control.","The guide describes pointwise memory and the ledger records the stale-reference correction.","UPHELD","SAME","No further lineage action.","High"
"F1-022","L1-032","SNAPSHOT\Claude\plans\2026-07-07-v1017-register-consistency-polish-plan.md:1-117 | SNAPSHOT\Claude\results\process\V1017_EXECUTION_LEDGER.md:1-26 | SNAPSHOT\Claude\results\process\V1017_REVIEW_COMPLETE.md:1-60","v1.0.17 initially omitted Chapter 2 and the appendix from extraction, then recovered full final review scope.","The omission was transient process loss, not final-state artifact loss.","The ledger records the incomplete extraction and later original-photo re-extraction; final review includes the omitted scopes.","DOWNGRADED","High->Low","Retain as workflow QA history; do not classify as endpoint scientific loss.","High"
"F1-023","L1-037","SNAPSHOT\Claude\docs\v1.0.18.2\Anode_Fit_v1.0.18.2.py:1-15,330-390,445-475,625-685 | SNAPSHOT\Claude\results\process\V1018_EXECUTION_LEDGER.md:1-33","v1.0.18.2 added the optional Einstein voltage/entropy pair.","The feature and its paired code paths exist; proposals 2-5 remain unimplemented roadmap items.","Four vibration helpers are added and executable changes are localized to equilibrium, dqdv, and entropy paths.","UPHELD","SAME","Limit the finding to implementation provenance; empirical need/magnitude is out of scope.","High"
"F1-024","L1-038; L5-026","SNAPSHOT\Claude\docs\v1.0.18.1\Anode_Fit_v1.0.18.1.py:1-end | SNAPSHOT\Claude\docs\v1.0.18.2\Anode_Fit_v1.0.18.2.py:1-end | SNAPSHOT\Claude\results\process\V1018_EXECUTION_LEDGER.md:1-33","theta_E absence was claimed bit-exact to v1.0.18.1.","The default-off contract and historical numeric checks are supported, but whole-file/AST identity is false and runtime parity was not re-executed in this read-only audit.","v1.0.18.2 adds four functions and changes three executable methods; exactness can only describe the disabled behavior, not source identity.","PARTIAL","High->Medium","State behavioral default-off parity separately from byte/AST identity and preserve the no-write execution limitation.","High"
"F1-025","L1-040","SNAPSHOT\Claude\docs\v1.0.18.2\Anode_Fit_v1.0.18.2.py:3-7 | SNAPSHOT\Claude\docs\v1.0.18.2\HANDOVER_v1.0.18.2.md:1-29","The v1.0.18.2 code header remained at v1.0.16 despite the Einstein body.","The contradiction is direct but is release metadata rather than scientific lineage loss.","Header, matched-document statement, and lineage stop at 1.0.16 while the body contains the v1.0.18.2 feature.","DOWNGRADED","High->Medium","Correct or explicitly mark stale header metadata; do not treat it as lost model implementation.","High"
"F1-026","L1-041","SNAPSHOT\Claude\docs\v1.0.18.2\FITTING_GUIDE.md:1-3,50-58,116-125","The v1.0.18.2 guide partially documented theta_E but retained v1.0.16 release pointers.","The partial-fix conclusion is upheld; severity is metadata/workflow rather than scientific.","theta_E is documented, while title, code filename, and suite/sample references remain v1.0.16.","DOWNGRADED","High->Medium","Classify as stale operator metadata and synchronize in a future release surface.","High"
"F1-027","L1-050; L3-014","SNAPSHOT\Claude\results\process\V1010_P5_final-check_RESULT.md:1-51 | SNAPSHOT\Claude\results\process\V1012_P43_verify10.md:1-241 | SNAPSHOT\Claude\docs\v1.0.22\results\HANDOVER_v1.0.22.md:1-147","Repeated PASS/H0/model-review claims cannot establish monotonic scientific confidence.","The recurrence conclusion is upheld.","Later reversals, harness repairs, partial closures, stale metadata, and openly retained debt contradict any universal zero-defect reading.","UPHELD","SAME","Keep PASS/H0 as bounded process evidence only.","High"
"F1-028","L1-052","SNAPSHOT\Claude\results\process\V1010_INSPECT_verify10.md:5-10 | SNAPSHOT\Claude\docs\v1.0.12\FITTING_GUIDE.md:5-32 | SNAPSHOT\Claude\results\process\V1015_P3_RESULT.md:5-11","Three v1.0.10 Highs closed at different later transitions rather than with the Critical retraction.","The split-closure chronology is supported.","v1.0.11 closes none; v1.0.12 corrects direction/Omega wording; v1.0.15 removes the grid-threshold/default-tail architecture.","UPHELD","SAME","Preserve separate closure versions for the three findings.","High"
"F1-029","L5-017","SNAPSHOT\Claude\old\_archive\graphite_ica_ch1_Opus_v5.tex:1-1883 | SNAPSHOT\Claude\old\_archive\graphite_ica_ch1_Opus_v6.tex:1-1903 | SNAPSHOT\Claude\old\Ch1_v7\v7-11.tex:1-893 | SNAPSHOT\Claude\old\Ch1_v8\v8-11.tex:1-1208 | SNAPSHOT\Claude\old\Ch1_v9\graphite_ica_ch1_v9.tex:1-1644 | SNAPSHOT\Claude\docs\v1.0.10\graphite_ica_ch1_v1.0.10.tex:1-1852","v7 lost derivations, v8 partially restored them, and v10 restored broadening while w_eff remained removed.","Full-file byte/label scans support the loss/restoration sequence, but the v7 contraction was a deliberate rescope rather than unexplained accidental loss.","Labels fall from 135 in v6 to 43 in v7, rise to 68/92/94 in v8/v9/v10, and broadening reappears at v10.","PARTIAL","High->Medium","Describe as deliberate historical rescope followed by partial restoration; do not infer scientific quality from label counts.","Medium"
"F1-030","L2-004","SNAPSHOT\Claude\results\process\V1019_EXECUTION_LEDGER.md:14-24,49-55 | SNAPSHOT\Claude\docs\v1.0.19\graphite_ica_ch2_v1.0.19.tex:1-37","v1.0.19's initial Chapter-1-only freeze was superseded by a user-directed Chapter 2 rewrite.","The later controlling scope reversal is explicit and final artifacts match it.","C-P1 through C-P5 and the direction correction are recorded; fifteen Chapter 2 sections exist.","UPHELD","SAME","Use the later ledger entries as controlling plan status.","High"
"F1-031","L2-005; L5-029","SNAPSHOT\Claude\results\process\V1019_CH2_UNION_DEFECTS.md:5-18 | SNAPSHOT\Claude\docs\v1.0.19\_sections\ch2_sec01_partition.tex:35-70 | SNAPSHOT\Claude\results\process\V1019_EXECUTION_LEDGER.md:52-54","CU-1 was a High sign error introduced during rewrite and corrected in final source; zero-defect-throughout language is false.","Final correction is upheld, while the historical zero-defect scope is refuted.","The union names the wrong sign; final source gives s_int=-df_int/dT with leading +k_B ln q and consistent molar conversion.","PARTIAL","High->Medium","State final-source closure and historical review failure separately.","High"
"F1-032","L2-007","SNAPSHOT\Claude\docs\v1.0.19\Anode_Fit_v1.0.19.py:622-694,710-830 | SNAPSHOT\Claude\results\process\V1019_EXECUTION_LEDGER.md:38-40","v1.0.19 added x-bar APIs and return_terms while retaining inherited routes.","The additive API transition is directly present.","solve_U_oc, entropy_coefficient_x, reversible_heat_x, and return_terms exist; the ledger identifies them as additive.","UPHELD","SAME","Do not promote API existence or same-model tests to empirical validation.","High"
"F1-033","L2-011; L2-043; L3-027; L3-054; L4-042","SNAPSHOT\Claude\docs\v1.0.19\FITTING_GUIDE.md:31-33 | SNAPSHOT\Claude\docs\v1.0.22\_sections\ch1_sec13_lcohys.tex:27-39 | SNAPSHOT\Claude\results\research\CH1v9_LCO\30_synthesis_gap.md:1-35","LCO Omega/dH_a and related quantitative anchors remained unresolved across releases.","The debt is real but honestly disclosed and retained; it is not hidden scientific lineage loss.","Guides, chapters, and research synthesis identify missing calibration anchors and conditional activation through the endpoint.","DOWNGRADED","High->Info","Carry to the scientific calibration audit, while closing it as a provenance-retention issue.","High"
"F1-034","L2-012; L2-044; L3-055","SNAPSHOT\Claude\docs\v1.0.19\_sections\ch1_sec17_msmr.tex:100-116 | SNAPSHOT\Claude\docs\v1.0.23\FITTING_GUIDE.md:63-70","LCO electronic behavior remained frozen at T_ref/x_center rather than implementing the full local T/x theory.","The implementation limitation is direct and consistently disclosed, so it is scope debt rather than accidental loss.","The guide explicitly says T restoration and T-squared center integration are unimplemented; later code inherits the frozen approximation.","DOWNGRADED","High->Medium","Preserve the document-code boundary and defer adequacy to the scientific audit.","High"
"F1-035","L2-021","SNAPSHOT\Claude\docs\v1.0.20\plans\2026-07-16-v1020-master-plan.md:84-98,143-150,200-207","v1.0.20's controlling scope became a bounded quality edition after substantive extensions moved to v1.0.21.","The plan correction history directly supports the scope split.","The master records expansion and later v5 deferral; final package matches the quality-only scope.","UPHELD","SAME","Use the final master revision, not superseded intermediate intent.","High"
"F1-036","L2-029","SNAPSHOT\Claude\docs\v1.0.20\_sections\ch2_sec08_synthesis.tex:42-53 | SNAPSHOT\Claude\docs\v1.0.20\_sections\ch2_appB_codemap.tex:62-67","v1.0.20 added the exact U_j evaluation convention needed to reproduce 74.4 mV.","The convention and bounded reproduction claim are upheld.","Both final files prohibit rounded display inputs and give the thermodynamic conversion; the read-only calculation gave 74.351141 mV.","UPHELD","SAME","Keep this as reproducibility of the stated calculation, not empirical truth.","High"
"F1-037","L2-036","SNAPSHOT\Claude\docs\v1.0.19\Anode_Fit_v1.0.19.py:1-1151 | SNAPSHOT\Claude\docs\v1.0.20\Anode_Fit_v1.0.20.py:1-1152","v1.0.20 code is a metadata-matched copy rather than a new scientific implementation.","Whole-module AST identity is exact after metadata/header differences.","v1.0.19 and v1.0.20 have the same executable AST; no function, class, data, or self-test body changes.","UPHELD","SAME","Describe the transition as metadata/comment bump only.","High"
"F1-038","L2-047","SNAPSHOT\Claude\docs\v1.0.20\results\DIRECTION_SI_LCO_REPORT.md:129-143,236-250,285-291 | SNAPSHOT\Claude\docs\v1.0.20\HANDOVER_v1.0.20.md:37-44,59-66","v1.0.20 did not create Chapter 3 and explicitly deferred the independent chapter.","Inventory and direct records uphold the defer.","No Chapter 3 master exists in v1.0.20; the report recommends a preliminary appendix for v1.0.21 and later independent chapter.","UPHELD","SAME","No further lineage action.","High"
"F1-039","L2-049","SNAPSHOT\Claude\docs\v1.0.20\HANDOVER_v1.0.20.md:46-57 | SNAPSHOT\Claude\docs\v1.0.20\FITTING_GUIDE.md:31-33,68,117-126","The v1.0.20 handover's blanket statement that no evidence gaps remained is false.","The blanket claim is contradicted, but the underlying debts were disclosed elsewhere in the same release rather than lost.","The guide names missing LCO anchors and frozen electronics while the handover says none; candidate figures remain explicitly unverified.","PARTIAL","High->Medium","Correct the handover confidence language; do not classify disclosed science debt as hidden lineage loss.","High"
"F1-040","L5-030","SNAPSHOT\Claude\docs\v1.0.20\results\V1020_REFERENCE_LEDGER.md:1-54 | SNAPSHOT\Claude\docs\v1.0.23\results\V1023_REFERENCE_LEDGER.md:1-32","Reference metadata/DOI verification was sometimes promoted beyond claim-level primary-text verification.","The provenance limitation is upheld.","Safran detail and later Sethuraman page support remain qualified/pending; a ledger row is not direct verification of every scientific claim.","UPHELD","SAME","Maintain separate fields for metadata verified, full text opened, and claim passage verified.","High"
"F1-041","L3-010","SNAPSHOT\Claude\plans\2026-07-16-v1021-master-plan.md:1-76 | SNAPSHOT\Claude\docs\v1.0.21\results\V1021_EXECUTION_LEDGER.md:1-19 | SNAPSHOT\Claude\docs\v1.0.21\_sections\ch1_appD_si.tex:1-91","D21-3 selected an independent Chapter 3, but v1.0.21 delivered a Chapter 1 appendix.","The artifact-form defer is real and explicitly documented; the scientific mapping content was not lost.","The final ledger calls Q7 a preliminary appendix and defers the independent chapter; the 91-line appendix exists.","DOWNGRADED","High->Medium","Classify as documented scope compression, not hidden science deletion.","High"
"F1-042","L3-013","SNAPSHOT\Claude\docs\v1.0.21\results\V1021_EXECUTION_LEDGER.md:1-19 | SNAPSHOT\Claude\plans\2026-07-17-v1022-master-plan.md:1-99","v1.0.21 Q9/Q10 were absorbed into v1.0.22 R0 instead of independently completed.","The handoff is traceable and not an unexplained missing result.","The v1.0.21 ledger and v1.0.22 master both identify the absorption.","DOWNGRADED","High->Medium","Record Q9/Q10 as superseded-by-R0 rather than completed in v1.0.21.","High"
"F1-043","L3-031","SNAPSHOT\Claude\docs\v1.0.22\_sections\ch1_sec05_width.tex:1-end | SNAPSHOT\Claude\docs\v1.0.22\results\HANDOVER_v1.0.22.md:1-147","The exact independent-site fluctuation identity is scoped to Omega=0, not to every implemented two-phase width.","The final caveat narrows the claim, so the remaining question is scientific scope rather than lineage loss.","Final source separates exact fluctuation-response from the independent-site variance identity and preserves the Omega=0 condition.","DOWNGRADED","High->Medium","Retain the caveat and defer general physical adequacy.","High"
"F1-044","L3-032","SNAPSHOT\Claude\docs\v1.0.22\results\HANDOVER_v1.0.22.md:1-147 | SNAPSHOT\Claude\docs\v1.0.22\results\MERGE_READINESS.md:1-204 | SNAPSHOT\Claude\docs\v1.0.22\results\V1022_EXECUTION_LEDGER.md:1-24","Twenty-three model reviews and PASS_FR_T are strong process evidence but not scientific proof.","The overclaim remains, but Critical is too high for provenance because the closeout itself discloses open and deferred debt.","The handover lists unresolved P3-P5, Medium/Low pools, skipped items, LCO gaps, and GS-1/GS-2 while the review count reports agreement.","DOWNGRADED","Critical->High","Treat consensus as audit provenance; require independent scientific/source phases for truth claims.","High"
"F1-045","L3-033; L3-034; L3-035; L3-037; L3-038; L3-039","SNAPSHOT\Claude\docs\v1.0.22\results\V1022_CHANGE_LOG.md:1-49 | SNAPSHOT\Claude\docs\v1.0.22\_sections:direct cited-file ranges for C-040-C-049","The named C-040-C-049 High correction families are present in final TeX.","Direct final-source checks uphold editorial/internal-consistency closure, but not scientific truth of the corrected model.","Staging, width/tail, entropy/affinity, TST, attribution/pointer, and Chapter 3 wording fixes all have final-source counterparts.","PARTIAL","High->Medium","Close only the named artifact edits; route scientific adequacy to later phases.","High"
"F1-046","L3-036","SNAPSHOT\Claude\docs\v1.0.22\results\V1022_CHANGE_LOG.md:1-49 | SNAPSHOT\Claude\docs\v1.0.22\_sections\ch2_sec04_einstein.tex:38-58,112-125,183-196 | SNAPSHOT\Claude\docs\v1.0.22\results\HANDOVER_v1.0.22.md:87-98","Three named A13 High issues were corrected, but the signed-amplitude/two-theta generalization was not implemented.","The first pass's partial-closure distinction is upheld.","Final source corrects reference entropy, scope, and identifiability while closeout retains the broader generalization as debt.","UPHELD","SAME","Do not record A13 as fully generalized.","High"
"F1-047","L3-040","SNAPSHOT\Claude\docs\v1.0.22\results\MERGE_READINESS.md:1-204 | SNAPSHOT\Claude\docs\v1.0.22\results\HANDOVER_v1.0.22.md:1-147","All 29 High items were dispositioned, but that accounting does not prove underlying science and one A13 item was partial.","Closure accounting is supported; proof language is not.","The ledger/change log enumerate dispositions while the handover retains partial and deferred work.","PARTIAL","High->Medium","Report issue disposition and scientific validation as separate gates.","High"
"F1-048","L3-043","SNAPSHOT\Claude\docs\v1.0.21\Anode_Fit_v1.0.21.py:1-1152 | SNAPSHOT\Claude\docs\v1.0.22\Anode_Fit_v1.0.22.py:1-1500","v1.0.22 added BlendedAnodeDQDV without deleting inherited code.","Direct AST comparison upholds additive code inheritance.","Thirty-eight inherited functions are AST-identical and nine BlendedAnodeDQDV methods are added; no inherited function is removed.","UPHELD","SAME","Classify as authorship/implementation provenance only.","High"
"F1-049","L3-044; L3-047","SNAPSHOT\Claude\docs\v1.0.22\Anode_Fit_v1.0.22.py:BlendedAnodeDQDV.from_wt and tests | SNAPSHOT\Claude\docs\v1.0.22\results\V1022_CHANGE_LOG.md:1-49","mSi wt fraction and internal fSi capacity fraction are not numerically interchangeable, and G3 did not cover the converted 30 wt% endpoint.","The coordinate/coverage gap is upheld.","from_wt maps mSi=0.30 for the Si-C defaults to about fSi=0.78, while G3 samples fSi only at 0, 0.1, 0.3, and 0.5.","UPHELD","SAME","Require composition-domain statements to name the coordinate and tested envelope.","High"
"F1-050","L3-045; L4-051","SNAPSHOT\Claude\docs\v1.0.22\Anode_Fit_v1.0.22.py:Si presets and GS methods | SNAPSHOT\Claude\docs\v1.0.23\CODE_GUIDE_v23.md:1-196","SiOx placeholders and GS-1/GS-2 missing closures are explicit endpoint boundaries.","The absence is honest scope/debt retention, not a lineage regression.","SiOx uses placeholder U values and GS methods raise NotImplementedError; guides retain the warnings.","DOWNGRADED","High->Info","Keep the stubs visible and route implementation/science work to a later phase.","High"
"F1-051","L3-046","SNAPSHOT\Claude\docs\v1.0.22\test_gates_v1022.py:1-end | SNAPSHOT\Claude\docs\v1.0.22\results\V1022_CHANGE_LOG.md:1-49","The expanded harness reportedly exits 0 but does not prove external scientific correctness.","The test-meaning conclusion is upheld; this read-only audit did not rerun a potentially writing harness.","The test exercises inherited paths, feature off-state, selected blend points, warnings, and explicit unimplemented boundaries only.","UPHELD","SAME","Use PASS as implementation regression evidence within its sampled domain.","High"
"F1-052","L3-052","SNAPSHOT\Claude\docs\v1.0.20\FITTING_GUIDE.md:1-137 | SNAPSHOT\Claude\docs\v1.0.21\FITTING_GUIDE.md:1-137 | SNAPSHOT\Claude\docs\v1.0.22\FITTING_GUIDE.md:1-137","The v1.0.22 fitting guide remained a byte-identical carryover and omitted the blend API.","The stale release surface is direct, but it is metadata/operator debt rather than scientific lineage loss.","All three guide files are byte-identical and still describe v1.0.20/v1.0.19 workflows.","DOWNGRADED","High->Medium","Synchronize or explicitly freeze the guide; do not infer missing code from stale prose.","High"
"F1-053","L3-028","SNAPSHOT\Claude\docs\v1.0.22\results\comp_R4\REPORT_R4_COMPLETE.md:1-end | SNAPSHOT\Claude\docs\v1.0.22\results\comp_R4\upgraded:full survey directory | SNAPSHOT\Claude\docs\v1.0.22\results\HANDOVER_v1.0.22.md:1-147","R4 acquired candidate evidence but did not establish every Chapter 3 numerical claim.","The survey's explicit gaps falsify any all-values-confirmed reading; the acquisition work itself is genuine.","The upgraded surveys list 22 candidate sources alongside quantitative holes and unavailable confirmations.","DOWNGRADED","High->Medium","Maintain per-value source status rather than a package-level confirmation label.","Medium"
