finding_id,source_finding_id,chapter,domain,severity,evidence_status,critic_disposition,controlling_location,claim_or_problem,refutation_attempt,calculation_or_primary_evidence,final_judgment,required_correction,code_impact,confidence
"P10-PCM-011","P5-CH1-014","1","Thermal-method bibliography identity","High","확정","AFFIRM","D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch2_sec09_method.tex:18-20; D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch1v22_bib.tex:40","The msmr_partI key used for direct MCMB Part I method lineage resolves to Garrick JES 171 023502 rather than the distinct MCMB Part I ECS Advances article.","Tried to treat the Garrick paper as the intended method source; DOI/title comparison shows ad1d27 and ad7d1c are separate works, and generic MSMR support does not prove direct MCMB lineage.","Official identifier comparison: Garrick DOI 10.1149/1945-7111/ad1d27; intended MCMB Part I DOI 10.1149/2754-2734/ad7d1c.","The citation identity at the method claim is wrong even though generic thermodynamic statements may remain supported.","Create and use a distinct key for ad7d1c at the MCMB method claim; retain ad1d27 only for claims it directly supports.","Bibliography/document-only required correction.","0.999"
"P10-PCM-012","P5-CH1-015","1","MCMB entropy-coefficient magnitude","High","미검증","UNRESOLVED","D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch2_sec02_config.tex:134-142; D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch1v22_bib.tex:41","The body repeats +3 to +4 mV/K while its footnote warns the value is unverified and may differ by a factor of ten.","Tried to settle +3 to +4 versus about +0.3 mV/K from official metadata and indexed article snippets. The exact primary figure/equation was not accessible; ResearchGate returned HTTP 429.","Metadata and abstract do not expose the needed units/value. The local caveat correctly prevents calling the number verified but does not support retaining it as an anchor.","The magnitude remains unresolved and equation-level adoption is 미검증; neither side of the factor-ten conflict is promoted to fact.","Remove the numerical anchor pending a full primary figure/table read, or provide exact locator, unit conversion, specimen, and protocol and then re-audit dependent heat numbers.","Documentation now; code/input changes only after primary adjudication.","0.80"
"P10-PCM-013","P6-CH2-001","2","LCO entropy source identity","Critical","확정","AFFIRM","D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch1_sec15_lcoelec.tex:200-218,285-303","Reynier's about 0.18 kB/atom is described as total O3 partial-molar config+vib+electronic entropy, although the source defines an electronic state entropy at x=0.833.","Tried to read 0.18 as a shorthand scale comparison. Full pages 1-7 separate S_el(x), dS_el/dx, and measured lithiation entropy and conclude the electronic derivative is too small for the broad O3 trend.","0.18 kB/atom converts to 0.18R=1.49652 J/(mol K), but that conversion preserves the state-entropy identity; it does not turn it into a partial derivative. Reynier Eq.11 is the Sommerfeld state entropy.","The component and state-variable attribution is wrong and load-bearing scale comparisons must be redone.","Correct the identity and separately track S_el(x), dS_el/dx, measured lithiation entropy, and any endpoint difference.","Document correction mandatory; electronic priors/defaults must be re-evaluated before quantitative use.","0.999"
"P10-PCM-014","P6-CH2-002","2","LCO electronic endpoint provenance","High","미검증","AFFIRM","D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch1_sec15_lcoelec.tex:160-168,236-287","g_max=13 states/eV/atom is transferred to a Li-rich O3 gate around x=0.85, but Motohashi infers 13 electrons/eV for O1 CoO2 from susceptibility under a Pauli attribution and does not establish the adopted normalization or gate.","Tried to defend CoO2 as a metallic endpoint for the same CoO2 layers. Full pages 1-29 show a different phase/composition and highlighted x=0.35-0.40 transition; no O3 x=0.85 continuous DOS or logistic law is supplied.","The shipped center arithmetic is -45.678261885287 J/(mol K), and the implied Sommerfeld endpoint state entropy is 9.135652377057 J/(mol K)=1.098827565198R. Those numbers validate arithmetic only, not transfer.","The provenance defect is affirmed; equation-level O1-to-O3 gate adoption remains 미검증.","Treat 13 as an assumption-dependent bounded prior, reconstruct molar/formula/spin normalization, and separately source O3 gate location and form.","LCO default/prior and quantitative entropy outputs require re-calibration; algebra need not be discarded.","0.985"
"P10-PCM-015","P6-CH2-003","2","Electronic gate model form","Critical","근거 미발견","AFFIRM","D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch1_sec15_lcoelec.tex:50-107,236-303","Fermi-Dirac shape analogy and MIT/coexistence evidence are used as if they derive a logistic g(E_F,x), dx=0.05, its derivative amplitude, and electronic-only uniqueness.","Tried to derive the logistic composition kernel from Fermi occupation. Energy occupancy is not composition-dependent phase fraction; Reynier and Motohashi provide no such kernel or width.","At the chosen center the code gives -45.678261885287 J/(mol K), while the same formula at x=0.50 gives -0.166309285757 J/(mol K). This is ansatz arithmetic; no inspected primary source fixes the shape, width, or exclusivity.","The gate can be a phenomenological hypothesis, but its claimed source derivation and quantitative uniqueness have 근거 미발견.","Relabel it as a competing ansatz and compare configurational-only, coupled, and alternative-kernel models with uncertainty and identifiability analysis.","Function may remain optional; default values, claims, and validation gate require change.","0.98"
"P10-PCM-016","P6-CH2-004","2","Composition-local electronic entropy","Critical","확정","AFFIRM","D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/Anode_Fit_v1.0.23.py:232-252,953-1020; D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch1_sec15_lcoelec.tex:340-390","The document's Delta S_e(x,T) is not implemented locally: runtime evaluates x_center=0.85 once and applies the same constant through the T1 overlap everywhere.","Tried to find an implicit x(V) or x(xi) map in solve_U_oc, equilibrium, dqdv, and entropy paths. _effective_dS_rxn has no x argument and uses only transition metadata.","Direct calls at input T=278.15, 298.15, and 318.15 K all returned effective dS=-39.678261885287 J/(mol K). The local formula itself varies from -0.1663093 at x=0.50 to -45.6782619 at x=0.85, proving the lost locality.","The shipped model is a transition-wide frozen offset, not the advertised composition-local gate.","Separate frozen demonstration and local model contracts; define a stoichiometric x mapping before activating local evaluation.","Required API/free-energy seam change across equilibrium, implicit OCV, and entropy paths.","0.999"
"P10-PCM-017","P6-CH2-005","2","Electronic T versus T-squared integration","Critical","확정","AFFIRM","D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch1_sec15_lcoelec.tex:214-234; D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/Anode_Fit_v1.0.23.py:1003-1020; D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/FITTING_GUIDE.md:53-70","For Sommerfeld Delta S_e=a_e T, the document integrates to a T-squared voltage term with factor 1/2, while code freezes Delta S_e(T_ref) and makes U linear in T.","Tried to justify a local linearization near T_ref. It is a valid approximation only if labeled and bounded; it does not implement or validate the stated multi-temperature model.","U_exact-U_frozen=a_e(T-T_ref)^2/(2F). With shipped parameters the differences are -0.317574009 mV at +/-20 K, -0.714541519 mV at +/-30 K, and -1.984837553 mV at +/-50 K.","The document derivation is correct; the runtime path is a disclosed but scientifically different frozen approximation.","Implement U and dU/dT together from one integrated free energy preserving the 1/2 factor, or limit all claims consistently to the frozen local approximation.","Required coordinated center and derivative change; changing only _effective_dS_rxn would create a factor-two error.","0.999"
"P10-PCM-018","P6-CH2-006","2","Electronic gate identifiability","High","확정","AFFIRM","D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/Anode_Fit_v1.0.23.py:236-252,953-1020","At x_center=x_MIT and one frozen evaluation, g_max, dx_MIT, and x_MIT are presented as separate physical parameters although only one amplitude combination is observable.","Tried to use center translation and width effects in the rest of the curve; the runtime never evaluates the electronic function away from the center.","Parameter sets (13,0.05), (26,0.10), and (6.5,0.025) all returned -45.678261885287 J/(mol K). Translating x_center=x_MIT together through 0.75, 0.85, and 0.95 also left the value unchanged.","The endpoint model structurally identifies only g_max/(4 dx_MIT); x_MIT cancels.","Collapse the frozen schema to one amplitude, or introduce measured multi-x behavior and report profiles/correlations before fitting center, width, and height separately.","Required LCO parameter-schema and fitting-exposure correction.","0.999"
"P10-PCM-019","P6-CH2-007","2","Electronic-gate ablation","High","확정","AFFIRM","D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch1_sec15_lcoelec.tex:340-390; D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/Anode_Fit_v1.0.23.py:953-1020","The gate-off demonstration holds dH fixed even though dH was calibrated with the gate-on entropy at T_ref, so the reported 91 mV shift mixes reference recalibration with electronic physics.","Tried to defend fixed-parameter removal as a causal intervention. It is a valid sensitivity, but not an indispensability test when a coupled calibration parameter is intentionally left inconsistent.","At x_bar=0.85: gate on U=4.009535354 V and slope=-0.127657667 mV/K; fixed-dH gate off U=4.100834215 V and +0.160354448 mV/K. Re-basing dH1 to -377397.126219 J/mol preserves U=4.009535354 V and gives +0.106707636 mV/K.","The 91 mV reference shift is not isolated electronic evidence; a slope change remains but inherits the unvalidated gate prior.","Use a nested reference-preserving re-fit for the scientific ablation and label fixed-dH removal as a separate sensitivity.","Worked-example/test fixture change; production arithmetic is internally consistent with its inputs.","0.998"
"P10-PCM-020","P6-CH2-008","2","Entropy factorization and cross coupling","High","근거 미발견","AFFIRM","D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch1_sec14_lcodecomp.tex:7-26,60-124","Config, vibrational, and electronic contributions are treated as additive with F_cross approximately zero near a region where ordering, phonons, and the metal-insulator transition can be coupled, without a quantitative bound.","Tried to accept additive decomposition as a first-order convention. It is permissible as an ansatz, but neither Reynier nor inspected transition evidence bounds F_cross or its x and T derivatives.","A two-binary-host counterexample with beta J=1 gives Z_independent=4 and Z_cross=3.367879441171, ratio=0.841969860293; additive state variables do not by themselves imply a factorized partition function.","The decomposition is usable only as a non-unique modeling ansatz; physical orthogonality and negligible cross terms have 근거 미발견.","Label non-uniqueness, carry an F_cross sensitivity/covariance or use a total free-energy model, and avoid component-unique interpretation.","Affects the interpretation of every additive entropy seam; no single local arithmetic fix suffices.","0.94"
"P10-PCM-021","P6-CH2-009","2","Regular solution versus cluster expansion","High","확정","AFFIRM","D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch1_sec13_lcohys.tex:108-166; D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch2_sec01_partition.tex:108-140","A many-body cluster expansion and ordered x=1/2 ground state are equated with one symmetric Omega x(1-x) coordinate and an iff ordered-stability condition Omega>2RT.","Tried to interpret Omega as a coarse-grained effective interaction. That can define a surrogate, but without an order parameter and coefficient matching it cannot be equivalent to ECIs or prove ordering.","For the regular solution g''(0.5)=4RT-2Omega and the critical curvature occurs at Omega=2RT. At fixed x=0.5 this scalar model is unchanged by sublattice order eta, while a cluster/order energy such as J eta^2 changes; the state spaces are not equivalent.","The regular-solution critical condition is mathematically correct for its chosen composition coordinate, but the ECI/ordered-phase equivalence is not.","Retain Omega only as a phase-separation surrogate unless a coarse-graining map, order parameter, and ECI matching are derived; remove iff/source-equivalence wording.","Current LCO Omega is dormant; future hysteresis interpretation and defaults are affected.","0.997"
"P10-PCM-022","P6-CH2-010","2","Thermal width as configurational entropy","High","미검증","UNRESOLVED","D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch2_sec05_mixing.tex:57-114,146-194; D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/Anode_Fit_v1.0.23.py:360-404,719-780","The exact derivative of w=nRT/F is used to interpret a fitted peak width as equilibrium configurational entropy even when broadening may include heterogeneity, PSD, coherency, kinetics, or instrumentation.","Tried to refute with direct finite differences: for explicit n=1.7, finite dw/dT=1.464870187026e-4 and analytic=1.464870187076e-4 V/K, so the calculus is correct. No retrieved experiment establishes that the fitted two-phase width has this physical origin.","Same-model derivative agreement establishes implementation consistency only. The required multi-temperature width/entropymetry source was not fully retrieved for equation-level adoption.","The algebra is confirmed but the physical identification remains UNRESOLVED and 미검증.","Separate thermodynamic single-phase width from empirical broadening and propagate the latter into reversible heat only after measured w(T) and equilibrium entropy validation.","Entropy schema/interpretation affected; no forward-width arithmetic correction when nRT/F is genuinely intended.","0.88"
"P10-PCM-023","P6-CH2-011","2","Hysteresis branch averaging","Medium","확정","MODIFY","D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch2_sec05_mixing.tex:196-228","The boxed arithmetic mean of charge/discharge entropy coefficients is not generally an equilibrium reversible derivative; it requires antisymmetric branches around one center and no path-dependent residual.","Tried to refute by reading the local qualification. Lines 214-219 explicitly limit exactness to equal shapes/linearization and state O(Delta U_hys^2) corrections, which materially narrows the overclaim. Full Dreyer text supports Maxwell equilibrium at sufficiently slow loading but does not derive arithmetic branch averaging.","Counterexample: dUeq/dT=0.100 mV/K with branch residual slopes +0.300 and +0.100 gives mean 0.300, not 0.100. Residuals +0.300 and -0.300 recover 0.100 exactly.","Modified: the conditional symmetry identity is correct and already partly disclosed; the boxed expression is not a general reversible-heat law. Severity is reduced from High to Medium.","Keep the box explicitly conditional, use relaxed equilibrium dU/dT as reference, and label branch mean a symmetry diagnostic/heuristic outside that limit.","Document/data-preprocessing interpretation only; runtime currently uses equilibrium centers rather than an explicit branch mean.","0.96"
