chapter,master,order,file,total_lines,purpose_class,purpose,headings,labels,structure_notes
1,ch1_graphite_v1.0.23.tex,23,_sections/ch2_sec09_method.tex,64,inverse-method,Propose multi-temperature fitting and state limitations.,section:방법론 출구와 정직한 한계 || subsection:다온도 $dQ/dV$ 에서 중심 표준값 추정 절차 || subsection:정직한 한계,sec:method;ssec:procedure;ssec:gaps,
1,ch1_graphite_v1.0.23.tex,24,_sections/ch2_sec10_closing.tex,29,closing,Close the thermal-properties part.,section:Part T 맺음,,
1,ch1_graphite_v1.0.23.tex,25,_sections/ch1_sec18_inputs.tex,70,fitting-interface,Consolidate model inputs and fitting workflow.,section:전체 입력 인자와 피팅 준비 --- 진행 요약 || subsection:전체 진행 요약,sec:inputs;sec:facade,
1,ch1_graphite_v1.0.23.tex,26,_sections/ch1_appA_signcheck.tex,89,verification-appendix,Audit the Chapter 1 sign chain.,section:곡선 부호 사슬 검산표,sec:signcheck,
1,ch1_graphite_v1.0.23.tex,27,_sections/ch1_appB_codemap.tex,157,code-appendix,Map physical symbols and nodes to implementation identifiers.,section:곡선 계산 구현 대응표,sec:appendix-code,
1,ch1_graphite_v1.0.23.tex,28,_sections/ch2_appA_traps.tex,75,verification-appendix,Collect thermal sign and notation traps.,section:부록 C --- 열특성 기호$\cdot$부호 함정 검산표,,
1,ch1_graphite_v1.0.23.tex,29,_sections/ch2_appB_codemap.tex,75,code-appendix,Specify thermal code regression targets and compatibility.,section:부록 D --- 열특성 코드 구현 요구명세(회귀 기준$\cdot$하위호환),,
1,ch1_graphite_v1.0.23.tex,30,_sections/ch1_appE_selfconsistent.tex,212,advanced-appendix,"Introduce optional ratio closure, claimed validity bound, and transfer-function view.",section:자기일관 해법 --- ratio 닫힘과 전달함수 || subsection:참 문제 --- 비선형 Volterra 자기일관과 동결 0차 기준 || subsection:1차 ratio 닫힘 --- 사용자 방법론의 이식 || subsection:ref.\ 방법론 도입 기록 --- 서지$\cdot$위치$\cdot$구조$\cdot$매핑$\cdot$가정차 || subsection:타당성 부등식 --- 동결 근사의 안전 증명서 || subsection:전달함수 --- 동결 기준해의 주파수영역 형태 || subsection:구현 대응 지도,sec:appendix-selfconsistent;sec:sc-volterra;sec:sc-ratio;sec:sc-p35;sec:sc-valid-sub;sec:sc-transfer;sec:sc-codemap,Advanced optional approximation follows implementation appendices; validity claim requires scientific correction before pedagogical adoption.
1,ch1_graphite_v1.0.23.tex,31,_sections/ch1v22_bib.tex,54,references,Provide Chapter 1 bibliography.,,,
2,ch2_lco_v1.0.23.tex,1,_sections/ch2v22_sec00_intro.tex,11,orientation,Frame LCO as graphite-skeleton reuse plus added terms.,,,Chapter is intentionally non-standalone and depends on Chapter 1 for its thermodynamic spine.
2,ch2_lco_v1.0.23.tex,2,_sections/ch2v22_notation.tex,14,conventions,Declare inherited and LCO-specific notation.,subsection:기호 --- 계승과 신규,,
2,ch2_lco_v1.0.23.tex,3,_sections/ch1_sec11_lcointro.tex,175,material-scope,"Introduce LCO phases, transitions, direction labels, and parameter seeds.","section:Chapter 2 도입 --- 전극-중립 골격과 방향 규약 (N0$'$) || subsection:전극-중립 골격 --- 무엇이 전극 무관인가 || subsection:방향 규약 --- $\sigma_d$ 입력 슬롯의 물리 내용은 탈리튬화 여부다 || subsection:MSMR 대응 개관 --- 같은 logistic, 같은 부호 규약",sec:lco-intro;sec:lco-map;sec:lco-direction;sec:lco-preview,File lineage name leaks the pre-reorganization chapter but is not visible to readers.
2,ch2_lco_v1.0.23.tex,4,_sections/ch1_sec12_lcocenter.tex,112,derivation,Transfer center-temperature relations and discuss Kirchhoff consistency.,section:LCO 평형 중심과 $\partial U_j/\partial T$ --- 양극 부호와 Kirchhoff 일관성 (N2$'$) || subsection:세 진입점과 온도 계수의 이중 경로 || subsection:다온도 전자항과 Kirchhoff 일관성,sec:lco-center;sec:lco-center-deriv;sec:lco-center-kirchhoff,File lineage name leaks the pre-reorganization chapter but is not visible to readers.
2,ch2_lco_v1.0.23.tex,5,_sections/ch1_sec13_lcohys.tex,223,model-transfer,Apply regular-solution hysteresis language to LCO order-disorder and MIT regions.,section:LCO order--disorder 와 MIT 2상역 --- 같은 정규용액 틀 (N3$'$) || subsection:LCO 세 전이를 같은 정규용액 자유에너지에 || subsection:gap 의 닫힌 꼴과 분기 중심 --- 흑연 대입형 || subsection:T2$\cdot$T3 order--disorder --- 유효 인력과 $\Omega$/config 구분 || subsection:T1 MIT 2상역 --- 구조/전자 슬롯 분리 || subsection:도핑 보정(우리 시료; 갭 G3),sec:lco-hys;sec:lco-hys-gxi;sec:lco-hys-gap;sec:lco-hys-od;sec:lco-hys-mit;sec:lco-hys-dope,File lineage name leaks the pre-reorganization chapter but is not visible to readers.
2,ch2_lco_v1.0.23.tex,6,_sections/ch1_sec14_lcodecomp.tex,143,mechanism-decomposition,"Separate configurational, vibrational, and electronic contributions.",section:반응 엔트로피 삼분해와 슬롯 규칙 (N9$'$) || subsection:분배함수 인수분해에서 부분몰 가법성으로 || subsection:config 분리와 슬롯 규칙 || subsection:분해 박스와 가산성 vs 무이중계산 || subsection:세 갭과 두 설계 항목,sec:lco-decomp;sec:lco-decomp-add;sec:lco-decomp-slots;sec:lco-decomp-box;sec:lco-decomp-gaps,File lineage name leaks the pre-reorganization chapter but is not visible to readers.
2,ch2_lco_v1.0.23.tex,7,_sections/ch1_sec15_lcoelec.tex,396,model-derivation,Derive a Sommerfeld term and introduce the project-specific MIT logistic gate.,"section:LCO 전자 엔트로피 항 --- 흑연엔 없는 성분 (N5$+$) || subsection:왜 흑연에는 없고 LCO 에는 있는가 --- MIT 의 물리 || subsection:Fermi--Dirac 에서 Sommerfeld 전자 엔트로피로 --- 유도 || subsection:단위 환산과 부호$\cdot$온도 의존 || subsection:$g(E_F,x)$ 의 MIT-logistic 게이트 --- 모델 가정과 그 정당화 || subsection:크기 검산과 세 양의 구분 || subsection:한 점 시연 --- 게이트 골이 $\partial U_\mathrm{oc",sec:lco-electronic;sec:lco-why;sec:lco-Se;sec:lco-Se-units;sec:lco-gate;sec:lco-Se-scale,File lineage name leaks the pre-reorganization chapter but is not visible to readers.
2,ch2_lco_v1.0.23.tex,8,_sections/ch1_sec16_lcopeak.tex,70,observable,Map the LCO terms to three dQ/dV peaks.,section:LCO dQ/dV peak --- 양극 영역의 세 peak,sec:lco-peak,File lineage name leaks the pre-reorganization chapter but is not visible to readers.
2,ch2_lco_v1.0.23.tex,9,_sections/ch1_sec17_msmr.tex,176,code-model-map,Relate the representation to MSMR and the electronic plug-in.,"section:MSMR 동형과 전자항 plug-in --- LCO 로의 일반화 (파라미터 교체 $+$ 전자항 추가) || subsection:MSMR 대응 --- 같은 logistic, 같은 부호 규약 || subsection:두 변경과 전자항 plug-in 사슬",sec:lco-code;sec:lco-code-msmr;sec:lco-code-plugin,File lineage name leaks the pre-reorganization chapter but is not visible to readers.
2,ch2_lco_v1.0.23.tex,10,_sections/ch2v22_bib.tex,21,references,Provide Chapter 2 bibliography.,,,
3,ch3_si_v1.0.23.tex,1,_sections/ch3v22_sec00_intro.tex,12,orientation,Frame Chapter 3 as a survival map and extension boundary.,,,
3,ch3_si_v1.0.23.tex,2,_sections/ch3v22_notation.tex,46,conventions,Declare inherited and Si/blend-specific notation.,subsection:기호 --- 계승과 신규,,
3,ch3_si_v1.0.23.tex,3,_sections/ch3v22_sec01_map.tex,132,scope-taxonomy,"Classify which graphite nodes survive, require reinterpretation, or fail for Si.","section:생존 지도 --- 무엇이 이월되고, 무엇이 재해석되고, 무엇이 골격 밖 새 물리인가 || subsection:세 활물질의 교과서 사슬 --- 이 장이 놓이는 자리 || subsection:Si 가 흑연과 갈라지는 곳 --- 확립 사실 여덟, 노드별로 읽기 || subsection:네 판정과 생존 지도 || subsection:살아남는 최강 자산 --- 전하 보존의 전극 중립성 || subsection:장의 읽는 순서 --- 지도가 목차다",sec:si-map;ssec:si-arc;ssec:si-stress;ssec:si-verdicts;ssec:si-carry;ssec:si-guide,
3,ch3_si_v1.0.23.tex,4,_sections/ch3v22_sec02_cases.tex,162,material-review,"Compare elemental Si, SiOx, and Si-C cases and placeholder parameter sets.",section:케이스별 활물질 --- 원소 Si$\cdot$SiO$_x$$\cdot$Si--C 복합 || subsection:원소 Si --- 두-상 평탄역과 결정화 peak || subsection:SiO$_x$ --- 비정질 연속 경로와 실리케이트 비가역 || subsection:Si--C 복합 --- 상용급 개형과 피크 분리 || subsection:케이스 열특성 --- 엔트로피 계수 실측,sec:si-cases;ssec:si-elemental;ssec:si-siox;ssec:si-sic;ssec:si-thermal,
3,ch3_si_v1.0.23.tex,5,_sections/ch3v22_sec03_blend.tex,278,derivation-model,Generalize charge balance to two hosts and declare additive-approximation limits.,section:혼합 음극 --- 공통-$\mu$ 대정준 반전과 그 1차 근사 한계 || subsection:클래스곱에서 host 곱으로 --- 한 줄 일반화 || subsection:정직 공백 GS-2 --- 공통-$\mu$ 완전 동시반응은 1차 근사다,sec:si-blend;ssec:si-blend-derive;ssec:si-blend-gs2,
3,ch3_si_v1.0.23.tex,6,_sections/ch3v22_sec04_mech.tex,111,derivation-gap,Attempt Larché-Cahn voltage coupling and expose the missing plastic closure.,section:기계 히스테리시스 --- Larché--Cahn 유도 시도와 정직 공백 GS-1 || subsection:닫히는 데까지 --- 가역 화학역학 결합의 전위 이동 || subsection:닫히지 않는 데 --- 정직 공백 GS-1,sec:si-mech;ssec:si-lc-derive;ssec:si-lc-gap,"The section ends at an explicit constitutive gap, so it reads as a research roadmap rather than a closed textbook treatment."
3,ch3_si_v1.0.23.tex,7,_sections/ch3v22_sec05_code.tex,70,code-specification,"Specify the BlendedAnodeDQDV API, gates, and explicit unimplemented boundaries.","section:코드 확장 요구명세 --- \code{BlendedAnodeDQDV(f\_Si, si\_case) || subsection:계약 --- $f_\mathrm{Si || subsection:합성 --- 용량 배분과 공통 $V_n$ || subsection:Si 케이스 셋 --- \code{si\_case || subsection:게이트와 정직한 경계",ssec:code-synth;ssec:code-gates,A full API/code-gate section sits in the main chapter rather than an appendix; this weakens textbook/review register.
3,ch3_si_v1.0.23.tex,8,_sections/ch3v22_bib.tex,42,references,Provide Chapter 3 bibliography.,,,
