critic_id,source_finding_or_record,domain,chapter_or_version,severity,evidence_status,critic_disposition,controlling_location,claim_or_problem,refutation_attempt,verified_source_or_artifact_evidence,final_judgment,required_action_or_integration_role,adoption_risk_or_code_impact,confidence
"P10-E009","REF-026","LITERATURE_EXISTING","Ch1","Critical","확정","AFFIRM","Codex/results/phase004_existing_reference_claim_matrix.csv:27","The 48-to-40 kJ/mol decreasing sequence is said to match Persson DFT.","Compared the reported trend direction.","https://doi.org/10.1103/PhysRevB.82.125416 contradicts the claimed matching direction/basis.","The citation-backed trend claim is rejected.","Reverse or re-derive on a comparable basis, or label the sequence unsupported initialization values.","Wrong trend changes relative transition-rate priors and can invert mechanistic interpretation.","0.999"
"P10-E010","REF-035","LITERATURE_EXISTING","Ch1","High","확정","AFFIRM","Codex/results/phase004_existing_reference_claim_matrix.csv:36","One MSMR bibliography key conflates two distinct records.","Resolved DOI identity at each occurrence.","The generic framework is https://doi.org/10.1149/1945-7111/ad1d27; the MCMB Part 1 occurrence belongs to https://doi.org/10.1149/2754-2734/ad7d1c.","Bibliographic conflation is affirmed.","Create a separate key for ad7d1c and keep ad1d27 only for the generic framework.","Readers cannot trace the method/data source correctly.","0.999"
"P10-E011","REF-036","LITERATURE_EXISTING","Ch1","Critical","확정","AFFIRM","Codex/results/phase004_existing_reference_claim_matrix.csv:37","The text reports +3 to +4 mV/K where the source is approximately +0.3 mV/K.","Rechecked the magnitude and unit scale.","https://doi.org/10.1149/1945-7111/ad70d9 supports approximately +0.3 mV/K under the stated MCMB protocol.","The factor-of-ten contradiction is affirmed.","Correct the value and audit all entropy-coefficient unit conversions.","A 10x entropy error directly scales reversible heat and temperature shifts.","0.999"
"P10-E012","REF-037","LITERATURE_EXISTING","Ch1","High","확정","AFFIRM","Codex/results/phase004_existing_reference_claim_matrix.csv:38","A standardized protocol paper is used for graphite stage-specific entropy sign/magnitude and a +60.8 mV example.","Separated protocol guidance from material-specific numerical evidence.","https://doi.org/10.1149/1945-7111/ad4918 supports measurement standardization, not the cited stage magnitude.","Support is insufficient.","Restrict it to protocol; add a graphite half-cell primary source and independently validate +60.8 mV.","Unsupported entropy values propagate to thermal predictions.","0.995"
"P10-E013","REF-038","LITERATURE_EXISTING","Ch1/Part T","High","확정","AFFIRM","Codex/results/phase004_existing_reference_claim_matrix.csv:39","A temperature-path uncertainty paper is used as direct support for graphite branch-center splitting and branch-averaged reversible heat.","Checked material and equation directness.","https://doi.org/10.1016/j.jpowsour.2018.05.052 supports temperature-path uncertainty but does not establish the graphite-specific branch average.","The transfer defect is affirmed.","Keep only the measurement-uncertainty role; source or explicitly label branch averaging as a disclosed approximation.","Branch averaging can suppress path dependence in q_rev.","0.995"
"P10-E014","REF-039","LITERATURE_EXISTING","Ch1","High","확정","AFFIRM","Codex/results/phase004_existing_reference_claim_matrix.csv:40","An internal numerical-verification record is presented in the external bibliography.","Looked for an external bibliographic identity or independent publication.","No DOI or official publication exists; numverif2026 is a project artifact.","The source-category defect is affirmed.","Move it to reproducibility evidence with file hash, command, inputs, and criterion.","Internal self-checks cannot serve as external scientific authority.","0.999"
"P10-E015","REF-041","LITERATURE_EXISTING","Ch1 Appendix E","High","미결","AFFIRM","Codex/results/phase004_existing_reference_claim_matrix.csv:42","Lee 2011 is invoked as derivational support for the self-consistent correction despite unresolved source identity/mapping.","Compared the implemented iteration to the named method and sought the original derivation.","Correct identity is https://doi.org/10.1063/1.3565476; the original derivation was not retrieved in this audit, while the local method is a lagged-coefficient/Picard iteration.","The canonical traceability defect is affirmed; equation transfer remains unresolved.","Correct the bibliography; call the local method Picard/lagged-coefficient iteration until the mapping conditions are demonstrated.","False method identity can obscure the separate complete-affinity defect.","0.985"
"P10-E016","REF-043","LITERATURE_EXISTING","Ch2","High","확정","AFFIRM","Codex/results/phase004_existing_reference_claim_matrix.csv:44","Reimers diffraction evidence is treated as validating a single-Omega regular-solution/spinodal model.","Separated observed phase locations from the reduced free-energy form.","https://doi.org/10.1149/1.2221184 anchors diffraction phase behavior, not a unique single-Omega reduction.","Insufficient model support is affirmed.","Use for phase locations only; label Omega/spinodal equations phenomenological and calibrate independently.","Observed topology is otherwise conflated with model identification.","0.999"
"P10-E017","REF-044","LITERATURE_EXISTING","Ch2","Critical","확정","AFFIRM","Codex/results/phase004_existing_reference_claim_matrix.csv:45","Van der Ven's cluster expansion is equated to a single positive Omega and used for high-x MIT support.","Tested whether multi-ECI ordering physics reduces uniquely to the symmetric regular-solution term.","https://doi.org/10.1103/PhysRevB.58.2975 contains multiple effective cluster interactions and explicit ordered states; it neither uniquely supplies one Omega nor supports the high-x MIT transfer.","The claimed equivalence is contradicted.","Retain only qualitative ordering/topology evidence; remove ECI-to-Omega equivalence and high-x MIT support.","This is a model-class error, not merely an uncertain coefficient.","0.999"
"P10-E018","REF-050","LITERATURE_EXISTING","Ch2","Critical","확정","AFFIRM","Codex/results/phase004_existing_reference_claim_matrix.csv:53","Motohashi's susceptibility-derived endpoint is used as a direct per-atom O3 DOS and logistic x about 0.85 gate.","Re-read all 29 source pages and tested normalization, phase, composition, and interpolation claims.","https://doi.org/10.1103/PhysRevB.80.165114 derives an estimate under Pauli assumptions for x=0 O1 CoO2 and highlights x=0.35-0.40; it does not establish /atom, O3 x=0.85, or a logistic law.","The provenance/default defect is affirmed.","Treat 13 electrons/eV as an assumption-dependent prior; remove /atom absent reconstruction; independently source or fit O3 gate center, width, and amplitude.","Defaults produce a source-unsupported entropy well of about -45.68 J mol^-1 K^-1.","0.999"
"P10-E019","REF-052","LITERATURE_EXISTING","Ch2","Critical","확정","AFFIRM","Codex/results/phase004_existing_reference_claim_matrix.csv:55","Reynier's 0.18 k_B/atom state electronic entropy is used as a total partial-molar anchor and evidence for a unique logistic gate.","Compared state entropy with the composition derivative required by voltage/heat equations.","https://doi.org/10.1103/PhysRevB.70.174304 addresses electronic state entropy; it is not the total partial-molar entropy and does not establish logistic uniqueness/dominance.","Quantity and model attribution are contradicted.","Compare like quantities, use composition derivatives explicitly, and label the logistic gate a testable hypothesis.","Unit/derivative mismatch can set both scale and shape incorrectly.","0.999"
"P10-E020","REF-054","LITERATURE_EXISTING","Ch2","High","확정","AFFIRM","Codex/results/phase004_existing_reference_claim_matrix.csv:57","An MSMR source is cited for the chapter's direction-sign identity and hysteresis extension.","Separated equilibrium isotherm notation from local direction conventions.","https://doi.org/10.1149/2.0341708jes supports an equilibrium width relation, not f=+sigma_d or the added branch convention.","Source-derived sign claim is contradicted.","Write w=omega RT/F for equilibrium and label direction/hysteresis slots as chapter conventions/extensions.","Source laundering can conceal a sign error even when local tests pass.","0.999"
"P10-E021","REF-057","LITERATURE_EXISTING","Ch2","High","확정","AFFIRM","Codex/results/phase004_existing_reference_claim_matrix.csv:60","A configurational order-disorder model is used to exclude an electronic-entropy MIT contribution.","Checked whether the model evaluates the omitted electronic channel.","https://doi.org/10.1016/j.jmps.2024.105726 addresses configurational ordering and does not evaluate the MIT electronic-entropy contribution.","The exclusionary inference is unsupported.","State only the configurational model's scope; leave the electronic contribution open.","Premature exclusion biases decomposition and inverse priors.","0.995"
"P10-E022","REF-059","LITERATURE_EXISTING","Ch3","High","미결","AFFIRM","Codex/results/phase004_existing_reference_claim_matrix.csv:62","Limthongkul is used for 1000 mAh/g, 25-30% loss, mechanistic loss allocation, and mixed capacity bases without full-text verification.","Separated identity/qualitative support from numerical and phase-resolved claims.","Identity is https://doi.org/10.1016/S1359-6454(02)00514-1; original tables/curves were not retrieved, so exact values and allocation remain unresolved.","The numerical/basis defect is affirmed.","Retrieve tables/curves; use one reversible, cycle/rate/window/mass-normalized capacity basis or require q_Si explicitly.","Mixed bases directly alter blend capacity fractions and absolute capacity.","0.980"
"P10-E023","REF-060","LITERATURE_EXISTING","Ch3","High","확정","AFFIRM","Codex/results/phase004_existing_reference_claim_matrix.csv:63","Li and Dahn 2007 is cited for a sharp moving core-shell boundary.","Checked whether the source is spatially resolved.","https://doi.org/10.1149/1.2409862 supports crystalline-to-amorphous structural evolution, not direct observation of a sharp moving boundary.","The direct-support claim is insufficient.","Use it only for structural evolution and add spatially resolved TEM evidence for a sharp boundary.","An assumed boundary changes the host response model.","0.995"
"P10-E024","REF-063","LITERATURE_EXISTING","Ch3","High","확정","AFFIRM","Codex/results/phase004_existing_reference_claim_matrix.csv:66","Beaulieu's expansion scale is used to close Si mechanics with one constant partial molar volume.","Compared the reported expansion and geometry to the scalar closure.","https://doi.org/10.1149/1.1388178 supports about 310% calculated full-lithiation expansion but not a composition-independent finite-strain closure.","The closure inference is unsupported.","Use the expansion only as a scale; require composition-dependent finite-strain chemo-mechanics and geometry-consistent stress conversion.","Constant-volume closure is invalid over extreme strain.","0.999"
"P10-E025","REF-064","LITERATURE_EXISTING","Ch3","High","확정","AFFIRM","Codex/results/phase004_existing_reference_claim_matrix.csv:67","A substrate-constrained biaxial-film experiment is generalized to dominant mechanical dissipation.","Checked stress geometry and the paper's energy comparison.","https://doi.org/10.1016/j.jpowsour.2010.02.013 reports equi-biaxial film stress and mechanical dissipation comparable to polarization loss, not universal dominance.","The geometry and dominance overclaim is affirmed.","State the constrained-film geometry/protocol and replace dominance with the source-bounded comparison.","Wrong stress measure and energy ranking distort mechanics conclusions.","0.999"
"P10-E026","REF-068","LITERATURE_EXISTING","Ch3","High","미결","AFFIRM","Codex/results/phase004_existing_reference_claim_matrix.csv:71","A single Li-Si electrode model is presented as direct proof of a two-host common-chemical-potential blend law and exact logistic speciation.","Tested system transfer and sought the original derivation/data.","https://doi.org/10.1149/2.0581602jes is structural precedent for one Li-Si electrode; the exact derivation and limitations were not retrieved here and do not prove two-host additivity.","The direct-proof claim is rejected; exact equation support remains unresolved.","Derive/validate the two-host extension independently and retrieve the original reaction definitions and fit data.","Unverified transfer masks finite-rate nonadditivity.","0.985"
"P10-E027","REF-070","LITERATURE_EXISTING","Ch3","High","미검증","AFFIRM","Codex/results/phase004_existing_reference_claim_matrix.csv:73","The 1973 Larché-Cahn citation is treated as direct verification of the displayed hydrostatic coefficient for high-strain Si.","Sought the original derivation and checked its small-strain transfer boundary.","Identity is https://doi.org/10.1016/0001-6160(73)90021-7; the original article was not retrieved in this audit, and later Si evidence flags finite-strain limitations.","Direct verification is unavailable.","Retrieve the original derivation and define stress measure, reference state, geometry, finite strain, and composition-dependent volume before quantitative use.","A wrong coefficient maps stress to voltage incorrectly.","0.975"
"P10-E028","REF-072","LITERATURE_EXISTING","Ch3","High","확정","AFFIRM","Codex/results/phase004_existing_reference_claim_matrix.csv:75","First-lithiation evidence is extended to a subsequent-cycle solid-solution switch.","Checked cycle coverage.","https://doi.org/10.1021/nl304379k supports two-step first lithiation of amorphous Si only.","The subsequent-cycle claim is unsupported.","Limit the citation to first lithiation and add cycle-resolved evidence for later-cycle switching.","Cycle-history misclassification changes case selection.","0.999"
"P10-E029","REF-073","LITERATURE_EXISTING","Ch3","High","확정","AFFIRM","Codex/results/phase004_existing_reference_claim_matrix.csv:76","Sharp first-cycle two-phase lithiation is generalized to later cycles.","Checked the experiment's temporal scope.","https://doi.org/10.1021/nl3044508 supports sharp two-phase lithiation of amorphous nanospheres in the observed first-lithiation context.","Later-cycle transfer is insufficient.","Split first-cycle and later-cycle claims and source the latter independently.","Incorrect history dependence changes roadmap branches.","0.999"
"P10-E030","REF-075","LITERATURE_EXISTING","Ch3","High","미검증","UNRESOLVED","Codex/results/phase004_existing_reference_claim_matrix.csv:78","Miyachi is used for priority, XPS phase assignment, irreversibility, and buffer role without primary retrieval.","Attempted claim-level verification from available identity only.","Identity is https://doi.org/10.1149/1.2013210; original XPS assignments were not retrieved.","The claims remain unresolved and cannot be retained as verified.","Retrieve and cite exact XPS passages or weaken to explicitly secondary attribution.","Unverified phase products affect SiO mechanism and capacity-loss allocation.","0.970"
"P10-E031","REF-078","LITERATURE_EXISTING","Ch3","High","확정","AFFIRM","Codex/results/phase004_existing_reference_claim_matrix.csv:81","Yom total first-cycle inefficiency is quantitatively allocated to silicate/Li2O without a phase-resolved lithium balance.","Separated total Coulombic efficiency from phase-resolved allocation.","https://doi.org/10.1016/j.jpowsour.2016.02.025 supports 58.52% and 82.12% efficiencies for the stated treatment, not allocation of all loss to named phases.","The allocation claim is insufficient.","Report total inefficiency and exact protocol; require a phase-resolved Li balance for allocation.","Loss partition affects case parameters and mechanistic conclusions.","0.999"
"P10-E032","REF-079","LITERATURE_EXISTING","Ch3","High","확정","AFFIRM","Codex/results/phase004_existing_reference_claim_matrix.csv:82","Andersen's 3117 mAh/g-Si first-charge value and long-cycle result are treated as one generic composite capacity basis.","Checked denominator, formulation, and operating condition.","https://doi.org/10.1038/s41598-019-51324-4 reports 3117 per Si for a 60Si/30graphite/10inactive formulation, while long cycling is limited near 1000 per Si.","The basis/condition transfer defect is affirmed.","Label every denominator and condition; do not transfer long-cycle durability to operation at 3117 mAh/g-Si.","The current q_Si default is not a commensurate reversible blend capacity.","0.999"
"P10-E033","REF-080","LITERATURE_EXISTING","Ch3","High","확정","AFFIRM","Codex/results/phase004_existing_reference_claim_matrix.csv:83","Component-resolved voltage-axis comparison is called validation of equilibrium common-mu additivity.","Tested whether peak separation proves chemical-potential inversion/additivity.","https://doi.org/10.1021/acsomega.0c04811 supports component voltage-axis comparison and formulation-dependent ICE, not common-mu proof.","The validation label is unsupported.","Relabel as comparison evidence and validate equilibrium inversion independently; report loading and graphite modification.","False validation overstates blend physics.","0.999"
"P10-E034","REF-083","LITERATURE_EXISTING","Ch3","High","확정","AFFIRM","Codex/results/phase004_existing_reference_claim_matrix.csv:86","Protocol-specific calorimetry is claimed to corroborate a mechanical origin of voltage hysteresis.","Checked whether the thermal partition identifies mechanical causation.","https://doi.org/10.1149/1945-7111/ac315c supports thermal observations but not causal mechanics attribution.","The corroboration claim is insufficient.","Present only the protocol-specific thermal observation.","Causal overreach can misdirect model escalation.","0.995"
"P10-E035","REF-085","LITERATURE_EXISTING","Ch3","High","확정","AFFIRM","Codex/results/phase004_existing_reference_claim_matrix.csv:88","A full-cell entropy profile is described as directly component-separated measurement.","Checked measurement versus interpretive decomposition.","https://doi.org/10.1149/1945-7111/ac87d1 is a full-cell profile interpreted with half-cell references and model/literature host attribution.","Misattribution is affirmed.","Call it interpreted host attribution and label Si-aging assignments as hypotheses where the paper does.","Latent decomposition may be mistaken for direct observation.","0.999"
"P10-E036","REF-086","LITERATURE_EXISTING","Ch3","High","확정","AFFIRM","Codex/results/phase004_existing_reference_claim_matrix.csv:89","An internal continuity gate and a specific blend datum are used to imply physical continuity and absolute wt%-basis fidelity.","Separated numerical continuity from experimental basis validation.","https://doi.org/10.1021/acsami.4c10178 supports a specific Si15Gr75 formulation and 82.9% value; G2 is internal and the implementation holds graphite capacity fixed.","The evidence/basis defect is affirmed.","Call G2 internal only; compare measured compositions; scale both host masses on fixed total active mass or relabel the mode.","Absolute capacity is inflated under the public wt% interpretation.","0.999"
"P10-E037","REF-088","LITERATURE_EXISTING","Ch3","Medium","확정","AFFIRM","Codex/results/phase004_existing_reference_claim_matrix.csv:91","One 30 wt% datum is used as evidence for continuity/interpolation across 20-30 wt%.","Tested whether a discrete observation establishes a continuous law.","https://doi.org/10.1002/batt.202500104 supplies a discrete comparison, not continuity proof.","The transfer is insufficient.","Use only as a discrete external comparison and retain G2 as internal numerical continuity.","Interpolation may be presented as empirically validated when it is not.","0.995"
"P10-E038","REF-089","LITERATURE_EXISTING","Ch3","Critical","확정","AFFIRM","Codex/results/phase004_existing_reference_claim_matrix.csv:92","The code/document fixed-graphite absolute-Q sweep is presented as a fixed-total-active-mass wt% sweep.","Derived both mass balances and compared them to the cited equation.","https://doi.org/10.1149/1945-7111/ac4545 supports f_Si=m q_Si/[m q_Si+(1-m)q_gr] and absolute Q_gr=(1-m)M q_gr, Q_Si=mM q_Si.","The cited mass balance directly contradicts the current absolute-Q interpretation.","Implement/label explicit basis modes and use fixed-total-mass equations for wt% claims.","Absolute Q inflation is 1/(1-m): 1.111, 1.25, and 1.429 at 10, 20, and 30 wt%.","0.999"
"P10-A001","LIT-050-RAUE","LITERATURE_ADDITIONAL","Ch1/Ch2/Ch3","High","확정","MODIFY","Codex/results/phase004_additional_literature_source_matrix.csv:51","The volume lacks a common operational test for structural versus practical identifiability.","Read the official OUP full HTML and tested whether profile likelihood transfers as method discipline without importing model-specific parameters.","Raue, Kreutz, and Timmer, Bioinformatics 25, 1923-1929, https://doi.org/10.1093/bioinformatics/btp358; official publisher full HTML accessed 2026-07-19.","Adopt now for inverse-method criteria, not battery priors.","Place in Chapter 1 after kinetics/synthesis and before validity/UQ; cross-reference in Chapter 2 and Chapter 3 local inverse sections for profile likelihood, practical non-identifiability, and confidence intervals.","Low transfer risk for method criteria; high risk if treated as proof that this model is identifiable.","0.999"
