trace_id,chapter,equation_label,document_location,code_symbol,code_location,inputs,outputs,units,signs,class,numeric_test,status,notes
T009-011,1,eq:lag;eq:reversal,_sections/ch1_sec09_tail.tex:60;_sections/ch1_sec09_tail.tex:179,_causal_memory_pointwise;GraphiteAnodeDischargeDQDV.dqdv,Anode_Fit_v1.0.23.py:115-143;Anode_Fit_v1.0.23.py:548-672,"V progression,xi_eq,L_V,sigma_d",xi_lag,"V,dimensionless",causal direction reversed on charge,numerical,test_gates_v1023.py,PASS,Piecewise-linear interval integration with explicit small-step guard.
T009-012,1,eq:peakshape;eq:tail-limit,_sections/ch1_sec09_tail.tex:103;_sections/ch1_sec09_tail.tex:139,GraphiteAnodeDischargeDQDV.dqdv,Anode_Fit_v1.0.23.py:548-672,"xi_eq,xi_lag,L_V,w",peak shape,1/V,direction inherited from progression,numerical,test_gates_v1023.py,PASS,Analytic equilibrium limit is used when the lag kernel is unresolved.
T009-013,1,eq:sum,_sections/ch1_sec10_sum.tex:12,GraphiteAnodeDischargeDQDV.dqdv,Anode_Fit_v1.0.23.py:548-672,"Q_j,peak_j,Cbg",dQ/dV,capacity/V,signed axis convention inherited,exact,test_gates_v1023.py,PASS,Pointwise capacity-weighted sum.
T009-014,1,eq:sc-ratio-local;eq:sc-valid,_sections/ch1_appE_selfconsistent.tex:94;_sections/ch1_appE_selfconsistent.tex:147,_causal_memory_ratio;GraphiteAnodeDischargeDQDV._lag_ratio_geff,Anode_Fit_v1.0.23.py:146-177;Anode_Fit_v1.0.23.py:466-478,"xi_lag0,L_V,Omega,chi_d,T","xi_lag1,L_local","dimensionless,V",positive local lag,approximate,probe_ch1_ratio_complete_affinity.py; test_selfconsistent_gates_v1023.py,DEFECT,"The optional ratio path restores interaction dependence only through the forward/local-lag exponential, while the document's complete-affinity denominator is not restored. The epsilon bound is therefore a heuristic, not a certificate."
T009-015,1,eq:sc-transfer,_sections/ch1_appE_selfconsistent.tex:182,transfer_apparent_from_equilibrium,Anode_Fit_v1.0.23.py:180-195,"uniform V,peak_eq,L_V",filtered peak,capacity/V,FFT frequency sign convention,numerical,test_selfconsistent_gates_v1023.py,CONDITIONAL,"Algebraic transfer function is present, but FFT circular-boundary behavior is not part of the API contract or gate."
T009-016,1,eq:dSegate,_sections/ch1_sec15_lcoelec.tex:260,func_dSe_molar,Anode_Fit_v1.0.23.py:236-252,"x,T,g_max_eV,x_MIT,dx_MIT",Delta S_e,J/(mol K),negative gated contribution,exact,test_gates_v1023.py,CONDITIONAL,Code matches the document formula. Source attribution and transfer of g=13 to Li-rich O3 LCO are independently disputed.
T009-017,1,eq:lco-sigmaslot,_sections/ch1_sec11_lcointro.tex:95,LCOCathodeDQDV;GraphiteAnodeDischargeDQDV.curve,Anode_Fit_v1.0.23.py:977-1020;Anode_Fit_v1.0.23.py:675-705,cell direction label,delithiation sigma_d,dimensionless,LCO charge maps to +1,exact,source inspection,PASS,Low-level dqdv still expects the physical sign directly.
T009-018,2,eq:implicit,_sections/ch2_sec05_mixing.tex:18,GraphiteAnodeDischargeDQDV.solve_U_oc,Anode_Fit_v1.0.23.py:796-874,"x_bar,T,Q_j,U_j,n_j",U_oc,"dimensionless,K,capacity,V",monotone increasing charge function,numerical,probe_ch2_entropy_roundtrip.py; test_gates_v1023.py,PASS,Bisection reproduces the declared independent-logistic charge balance.
T009-019,2,eq:dxidT;eq:weighted;eq:complete,_sections/ch2_sec05_mixing.tex:53;_sections/ch2_sec05_mixing.tex:78;_sections/ch2_sec08_synthesis.tex:20,GraphiteAnodeDischargeDQDV._dwdT;GraphiteAnodeDischargeDQDV.entropy_coefficient;GraphiteAnodeDischargeDQDV.entropy_coefficient_x,Anode_Fit_v1.0.23.py:392-404;Anode_Fit_v1.0.23.py:719-780;Anode_Fit_v1.0.23.py:876-903,"V_n or x_bar,T,transition thermodynamics",dU_oc/dT,V/K,Delta S/F plus configurational term,exact,probe_ch2_entropy_roundtrip.py,PASS,Thirty-point analytic/finite-difference round-trip worst relative error 3.507e-7; this proves internal derivative consistency only.
T009-020,2,eq:Svib-einstein;eq:dSvib;eq:dUvib,_sections/ch2_sec04_einstein.tex:36;_sections/ch2_sec04_einstein.tex:66;_sections/ch2_sec04_einstein.tex:101,GraphiteAnodeDischargeDQDV._S_vib;GraphiteAnodeDischargeDQDV._vib_dS;GraphiteAnodeDischargeDQDV._vib_dU,Anode_Fit_v1.0.23.py:417-423;Anode_Fit_v1.0.23.py:440-448;Anode_Fit_v1.0.23.py:425-438,"T,theta_E,T_ref","S_vib,dS_vib,dU_vib","J/(mol K),V",d(dU_vib)/dT=dS_vib/F,exact,test_gates_v1023.py theta_E optional gate,PASS,theta_E absent path is bit-exact with the pre-extension implementation.
T009-021,2,eq:qrev,_sections/ch2_sec07_revheat.tex:19,GraphiteAnodeDischargeDQDV.reversible_heat;GraphiteAnodeDischargeDQDV.reversible_heat_x,Anode_Fit_v1.0.23.py:782-793;Anode_Fit_v1.0.23.py:905-916,"I,T,dU_oc/dT",q_rev,W,q_rev=-I T dU/dT,exact,probe_ch2_entropy_roundtrip.py,PASS,Sign and single-T factor match the declared Bernardi convention.
T009-022,2,eq:U1T2;eq:dSegate,_sections/ch1_sec15_lcoelec.tex:226;_sections/ch1_sec15_lcoelec.tex:260,LCOCathodeDQDV._effective_dS_rxn,Anode_Fit_v1.0.23.py:1003-1020,"transition,T",effective dS_rxn,J/(mol K),electronic term added,approximate,source inspection,DOCUMENT_CODE_GAP,The document derives a T-dependent Sommerfeld contribution and quadratic center correction; code freezes the electronic entropy at 298.15 K and explicitly defers the T^2 center term.
T009-023,2,eq:qrev,_sections/ch2_sec07_revheat.tex:19,GraphiteAnodeDischargeDQDV.irreversible_heat,Anode_Fit_v1.0.23.py:918-926,"I,U_oc,V",q_irr,W,I(U_oc-V),code-only,source inspection,CODE_ONLY,Lumped irreversible heat is implemented although the boxed equation label primarily names reversible heat; decomposition is explicitly outside scope.
T009-024,3,eq:blend-factor;eq:blend-occ,_sections/ch3v22_sec03_blend.tex:39;_sections/ch3v22_sec03_blend.tex:56,BlendedAnodeDQDV,Anode_Fit_v1.0.23.py:1146-1404,"host transitions,V,T",host occupancies,dimensionless,common voltage axis,approximate,source inspection,CONDITIONAL,"Two independent host models share V, but a coupled non-ideal partition function is not represented."
T009-025,3,eq:blend-balance,_sections/ch3v22_sec03_blend.tex:74,BlendedAnodeDQDV.__init__;BlendedAnodeDQDV.solve_U_oc,Anode_Fit_v1.0.23.py:1207-1284;Anode_Fit_v1.0.23.py:1355-1365,"f_Si,Q_gr,Q_Si,x_bar,T",U_oc,"capacity,V",pooled monotone balance,numerical,test_gates_v1023.py G3; probe_ch3_blend_normalization.py,CONDITIONAL,"Capacity-fraction balance is internally exact. The constructor keeps native graphite mass/capacity fixed and adds Si, so from_wt comparisons are not a fixed-total-mass composition sweep."
T009-026,3,eq:blend-dqdv,_sections/ch3v22_sec03_blend.tex:121,BlendedAnodeDQDV.equilibrium;BlendedAnodeDQDV.dqdv;BlendedAnodeDQDV.host_contributions,Anode_Fit_v1.0.23.py:1322-1328;Anode_Fit_v1.0.23.py:1331-1340;Anode_Fit_v1.0.23.py:1368-1380,"two host curves,Cbg",blend dQ/dV,capacity/V,additive on common V axis,exact,test_gates_v1023.py G1/G2/G3,PASS_WITH_SCOPE,Exact for the declared additive simultaneous-reaction approximation; not evidence for finite-rate host switching or nonadditivity.
T009-027,3,eq:blend-factor,_sections/ch3v22_sec03_blend.tex:39,BlendedAnodeDQDV.from_wt,Anode_Fit_v1.0.23.py:1288-1319,"m_Si,q_Si,q_gr",f_Si,"mass fraction,mAh/g",positive conversion,exact,probe_ch3_blend_normalization.py,DEFECT,"The conversion formula itself is correct, but the resulting model changes total active mass/capacity because graphite remains fixed; curve amplitudes therefore inflate by 1/(1-m_Si) under a nominal wt% sweep."
T009-028,3,eq:si-code-bitexact;eq:blend-limit,_sections/ch3v22_sec05_code.tex:18;_sections/ch3v22_sec03_blend.tex:106,BlendedAnodeDQDV.__init__;BlendedAnodeDQDV.equilibrium;BlendedAnodeDQDV.dqdv;BlendedAnodeDQDV.solve_U_oc,Anode_Fit_v1.0.23.py:1207-1284;Anode_Fit_v1.0.23.py:1322-1328;Anode_Fit_v1.0.23.py:1331-1340;Anode_Fit_v1.0.23.py:1355-1365,f_Si=0,graphite-only outputs,same as host,same sign conventions,exact,test_gates_v1023.py G1,PASS,Thirty arrays and 13 golden values were bit-exact against the graphite path.
T009-029,3,eq:si-vshift,_sections/ch3v22_sec04_mech.tex:45,BlendedAnodeDQDV.__init__,Anode_Fit_v1.0.23.py:1207-1284,si_stress_offset,shifted Si transition centers,V,caller supplies signed offset,approximate,source inspection,DOCUMENT_CODE_GAP,"Only a precomputed voltage offset is accepted. Hydrostatic stress, partial molar volume, and the biaxial-to-hydrostatic conversion are absent."
T009-030,3,eq:si-lcmu;eq:si-lcbal;eq:si-coupling,_sections/ch3v22_sec04_mech.tex:25;_sections/ch3v22_sec04_mech.tex:36;_sections/ch3v22_sec04_mech.tex:54,BlendedAnodeDQDV.__init__,Anode_Fit_v1.0.23.py:1207-1284,external stress model,none,"Pa,V",document sign chain,document-only,source inspection,DOCUMENT_ONLY,Larché-Cahn mechanics are explanatory only; code exposes no constitutive stress evolution or finite-strain state.
T009-031,3,eq:si-plastic,_sections/ch3v22_sec04_mech.tex:82,BlendedAnodeDQDV.plastic_hysteresis_loop,Anode_Fit_v1.0.23.py:1383-1392,stress history,none,not applicable,not applicable,explicit-boundary,NotImplementedError source inspection,OUT_OF_SCOPE_EXPLICIT,The unimplemented plastic closure is honestly exposed as GS-1.
T009-032,3,eq:blend-dqdv,_sections/ch3v22_sec03_blend.tex:121,BlendedAnodeDQDV.nonadditive_correction,Anode_Fit_v1.0.23.py:1395-1404,finite-rate host switching,none,not applicable,not applicable,explicit-boundary,NotImplementedError source inspection,OUT_OF_SCOPE_EXPLICIT,Finite-rate nonadditive correction is honestly exposed as GS-2.
