symbol,kind,owner,visibility,line_start,line_end,signature,direct_calls,docstring_first_line,source_sha256
GraphiteAnodeDischargeDQDV._width,method,GraphiteAnodeDischargeDQDV,private,382,389,"(self, tr: Dict[str, Any], T: ScalarOrArray) -> ScalarOrArray",ValueError;_n_factor;all;asarray;func_w,"전이 폭 w [V] = nRT/F(=func_w, eq:wbase). w|n 직접 지정 우선, 없으면 n=1.",0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
GraphiteAnodeDischargeDQDV._dwdT,method,GraphiteAnodeDischargeDQDV,private,392,404,"(self, tr: Dict[str, Any], T: ScalarOrArray) -> ScalarOrArray",_finite;asarray;get,봉우리 폭의 온도 미분 ∂w_j/∂T [V/K] — 가역열 config 항 계수(Ch2 eq:dxidT 둘째 조각).,0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
GraphiteAnodeDischargeDQDV._vib_theta,method,GraphiteAnodeDischargeDQDV,private,407,415,"(self, tr: Dict[str, Any]) -> Optional[float]",ValueError;_finite;get,"전이의 Einstein 온도 θ_E [K](키 'theta_E'), 부재=None.",0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
GraphiteAnodeDischargeDQDV._S_vib,method,GraphiteAnodeDischargeDQDV,private,417,423,"(self, T: ScalarOrArray, theta_E: float) -> ScalarOrArray",asarray;exp;expm1;log1p,단일 모드 Einstein 진동 엔트로피 [J/(mol·K)],0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
GraphiteAnodeDischargeDQDV._vib_dU,method,GraphiteAnodeDischargeDQDV,private,425,438,"(self, tr: Dict[str, Any], T: ScalarOrArray) -> ScalarOrArray",_S_vib;_finite;_vib_theta;asarray;dF;exp;float;get;log1p,vib 양자 보정의 평형 중심 U_j 이동 [V] — Helmholtz 자유에너지 편차.,0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
GraphiteAnodeDischargeDQDV._vib_dS,method,GraphiteAnodeDischargeDQDV,private,440,448,"(self, tr: Dict[str, Any], T: ScalarOrArray) -> ScalarOrArray",_S_vib;_finite;_vib_theta;float;get,vib 양자 보정의 표준엔트로피 편차 S_vib(T)−S_vib(T_ref) [J/(mol·K)] —,0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
GraphiteAnodeDischargeDQDV._chi_d,method,GraphiteAnodeDischargeDQDV,private,451,454,"(self, sigma_d: int) -> float",chi_split;float,"전달계수 χ_d = chi_split(χ, σ_d). 기본 func_chi_d(방전 χ / 충전 1−χ).",0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
GraphiteAnodeDischargeDQDV._chi_and_dH_eff,method,GraphiteAnodeDischargeDQDV,private,457,464,"(self, dH_a: float, Omega: float, sigma_d: int, use_dH_eff: Optional[bool] = None) -> Tuple[float, float]",_chi_d;bool;float;func_dH_a_eff,"방향별 (χ_d, ΔH_a^eff) 한 곳에서 산출(eq:chid·eq:dHeff).",0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
GraphiteAnodeDischargeDQDV._lag_ratio_geff,method,GraphiteAnodeDischargeDQDV,private,466,478,"(self, transition: Dict[str, Any], T: float, sigma_d: int) -> float",_chi_d;_finite_nonneg;bool;get,1차 ratio 보정의 상태의존 세기 g_eff = 2·χ_d·(Ω/RT) (부록 E.1 sec:sc-volterra).,0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
GraphiteAnodeDischargeDQDV._resolve_lag_length,method,GraphiteAnodeDischargeDQDV,private,481,525,"(self, transition: Dict[str, Any], T: float, I: float, Q_cell: float, n_j: float, sigma_d: int = +1) -> float",ValueError;_chi_and_dH_eff;_finite;_finite_nonneg;_finite_pos;abs;float;func_L_q;get;isfinite;min,전이 하나의 지연 길이 L_V [V] (eq:LV: L_V=|dV/dq|_qa·L_q).,0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
GraphiteAnodeDischargeDQDV.equilibrium,method,GraphiteAnodeDischargeDQDV,public,528,545,"(self, V_n: ScalarOrArray, T: float = 298.15) -> ScalarOrArray",Cbg;_effective_dS_rxn;_finite_pos;_n_factor;_vib_dU;_width;asarray;callable;float;full_like;func_U_j;func_ksi_eq;ones_like,평형 dQ/dV (|I|→0). 충방전 방향 불변(평형 peak; eq:eqpeak).,0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
GraphiteAnodeDischargeDQDV.dqdv,method,GraphiteAnodeDischargeDQDV,public,548,672,"(self, V_app: ScalarOrArray, T: Union[float, np.ndarray], I_abs: float, Q_cell: float, s: int = +1) -> ScalarOrArray",Cbg;ValueError;_causal_memory_pointwise;_causal_memory_ratio;_effective_dS_rxn;_finite_nonneg;_finite_pos;_lag_ratio_geff;_n_factor;_resolve_lag_length;_vib_dU;_width;abs;all;any;arange;argsort;asarray;atleast_1d;callable;diff;empty;float;full;full_like;func_U_branch;func_U_j;func_ksi_eq;get;isfinite;mean;median;ones_like;reshape;zeros,관측 dQ/dV (eq:vn 분극 → eq:sum 점별 합산).,0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
GraphiteAnodeDischargeDQDV.curve,method,GraphiteAnodeDischargeDQDV,public,675,705,"(self, V_app: ScalarOrArray, direction: Union[int, str] = 'discharge', c_rate: float = 0.0, Q_cell: float = 1.0, T: Union[float, np.ndarray] = 298.15, I_abs: Optional[float] = None) -> ScalarOrArray",_direction_to_sigma;_finite_nonneg;_finite_pos;dqdv,"실험조건 → dQ/dV 상위 편의 메서드(내부는 dqdv 재사용, 새 물리 X; 환산은 eq:n0map).",0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
GraphiteAnodeDischargeDQDV._effective_dS_rxn,method,GraphiteAnodeDischargeDQDV,private,708,717,"(self, tr: Dict[str, Any], T: Union[float, np.ndarray]) -> ScalarOrArray",,전이의 유효 표준 엔트로피 ΔS_rxn [J/(mol·K)] — 흑연 base = 항등(값 그대로).,0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
GraphiteAnodeDischargeDQDV.entropy_coefficient,method,GraphiteAnodeDischargeDQDV,public,719,780,"(self, V_n: ScalarOrArray, T: Union[float, np.ndarray] = 298.15, return_terms: bool = False) -> Union[ScalarOrArray, Dict[str, ScalarOrArray]]",ValueError;_dwdT;_effective_dS_rxn;_n_factor;_vib_dS;_vib_dU;_width;all;any;asarray;atleast_1d;clip;float;func_U_j;func_ksi_eq;isfinite;log;maximum;where;zeros_like,가역 엔트로피 계수 ∂U_oc/∂T(x) [V/K] — Ch2 가중식 eq:weighted 의 완전식 확장(§2.8 keybox 종합식 eq:complete).,0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
GraphiteAnodeDischargeDQDV.reversible_heat,method,GraphiteAnodeDischargeDQDV,public,782,793,"(self, V_n: ScalarOrArray, T: Union[float, np.ndarray] = 298.15, I: float = 1.0) -> ScalarOrArray",asarray;entropy_coefficient;float,"가역 발열 q_rev = −I·T·∂U_oc/∂T [W] (Ch2 eq:qrev, ★T 한 번).",0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
GraphiteAnodeDischargeDQDV.solve_U_oc,method,GraphiteAnodeDischargeDQDV,public,796,874,"(self, x_bar: ScalarOrArray, T: float = 298.15, U_lo: Optional[float] = None, U_hi: Optional[float] = None, tol: float = 1e-13, max_iter: int = 200) -> ScalarOrArray",ValueError;_charge;_effective_dS_rxn;_finite;_finite_pos;_n_factor;_vib_dU;abs;all;any;append;asarray;atleast_1d;empty;enumerate;float;func_U_j;func_ksi_eq;func_w;int;isfinite;max;min;range;reshape,"전하 보존 음함수(Ch2 eq:implicit) Σ_j Q_j·ξ_eq,j(U_oc,T) = Q·x̄ 의 해 U_oc [V].",0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
GraphiteAnodeDischargeDQDV.entropy_coefficient_x,method,GraphiteAnodeDischargeDQDV,public,876,903,"(self, x_bar: ScalarOrArray, T: float = 298.15, return_terms: bool = False) -> Union[ScalarOrArray, Dict[str, ScalarOrArray]]",asarray;atleast_1d;entropy_coefficient;float;solve_U_oc,x̄ 진입점 가역 엔트로피 계수 ∂U_oc/∂T(x̄) [V/K] — Ch2 §2.8 계산 순서(C-106) 실현.,0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
GraphiteAnodeDischargeDQDV.reversible_heat_x,method,GraphiteAnodeDischargeDQDV,public,905,916,"(self, x_bar: ScalarOrArray, T: float = 298.15, I: float = 1.0) -> ScalarOrArray",entropy_coefficient_x;float,x̄ 진입점 가역 발열 q_rev(x̄) = −I·T·∂U_oc/∂T(x̄) [W] (Ch2 eq:qrev·§2.8(e)).,0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
GraphiteAnodeDischargeDQDV.irreversible_heat,method,GraphiteAnodeDischargeDQDV,public,918,926,"(self, U_oc: ScalarOrArray, V: ScalarOrArray, I: float) -> ScalarOrArray",asarray,비가역 발열(과전압 소산) q_irr = I·(U_oc−V) ≥ 0 [W] — lumped(Ch2 eq:qrev 첫 항).,0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
GraphiteAnodeDischargeDQDV._direction_to_sigma,method,GraphiteAnodeDischargeDQDV,private,929,942,"(direction: Union[int, str]) -> int",ValueError;_finite;isinstance;lower;strip,방향 입력(문자열/정수)을 σ_d(+1 방전 / −1 충전)로 환산.,0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
LCOCathodeDQDV,class,,public,977,1020,,,"LCO 양극 dQ/dV — MSMR 동형(Ch1 sec:lco-code: X_j↔Q_j, U_j⁰↔U_j^d, ω_j↔w_j,",0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
LCOCathodeDQDV._effective_dS_rxn,method,LCOCathodeDQDV,private,1003,1020,"(self, tr: Dict[str, Any], T: Union[float, np.ndarray]) -> ScalarOrArray",func_dSe_molar;get,LCO 유효 표준 엔트로피 = ΔS_rxn + (MIT 전이면) 전자항 ΔS_e,0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
BlendedAnodeDQDV,class,,public,1146,1404,,,흑연+Si 블렌드(혼합) 음극 dQ/dV — 공통-μ 대정준 반전의 코드판(문건 v1.0.23 §3.3·§3.5).,0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
BlendedAnodeDQDV.__init__,method,BlendedAnodeDQDV,private,1207,1284,"(self, f_Si: float, si_case: str = 'sic', graphite_transitions: Optional[List[Dict[str, Any]]] = None, si_transitions: Optional[List[Dict[str, Any]]] = None, Cbg: Union[float, Callable] = 0.0, si_stress_offset: Optional[float] = None, **host_kwargs) -> None",GraphiteAnodeDischargeDQDV;ValueError;_finite;_finite_nonneg;dict;float;get;join;list;sorted;sum;warn,,0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
BlendedAnodeDQDV.from_wt,method,BlendedAnodeDQDV,public,1288,1319,"(cls, m_Si: float, q_Si: Optional[float] = None, q_gr: float = GRAPHITE_SPECIFIC_CAPACITY, si_case: str = 'sic', **kwargs) -> 'BlendedAnodeDQDV'",ValueError;_finite_nonneg;_finite_pos;cls;get,"질량 분율 m_Si(wt%) 선언 → 용량 분율 f_Si 환산 후 생성(C-052, §3.3 각주·§notation).",0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
BlendedAnodeDQDV.equilibrium,method,BlendedAnodeDQDV,public,1322,1328,"(self, V_n: ScalarOrArray, T: float = 298.15) -> ScalarOrArray",equilibrium,"평형 dQ/dV(|I|→0) — 배경 위 두 host 평형 종의 합(eq:blend-dqdv, |I|→0).",0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
BlendedAnodeDQDV.dqdv,method,BlendedAnodeDQDV,public,1331,1340,"(self, V_app: ScalarOrArray, T: Union[float, np.ndarray], I_abs: float, Q_cell: float, s: int = +1) -> ScalarOrArray",dqdv,관측 dQ/dV — 두 host 표준 dqdv 의 합(eq:blend-dqdv). 인자·규약은 host dqdv 와 동일.,0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
BlendedAnodeDQDV.curve,method,BlendedAnodeDQDV,public,1343,1352,"(self, V_app: ScalarOrArray, direction: Union[int, str] = 'discharge', c_rate: float = 0.0, Q_cell: float = 1.0, T: Union[float, np.ndarray] = 298.15, I_abs: Optional[float] = None) -> ScalarOrArray",curve,"실험조건 → 블렌드 dQ/dV(두 host curve 의 합; 내부는 host dqdv 재사용, 새 물리 X).",0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
BlendedAnodeDQDV.solve_U_oc,method,BlendedAnodeDQDV,public,1355,1365,"(self, x_bar: ScalarOrArray, T: float = 298.15, **kw) -> ScalarOrArray",solve_U_oc,공통-μ 전하 보존 음함수(중심식 eq:blend-balance)의 해 U_oc [V].,0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
BlendedAnodeDQDV.host_contributions,method,BlendedAnodeDQDV,public,1368,1380,"(self, V_n: ScalarOrArray, T: float = 298.15) -> Tuple[np.ndarray, np.ndarray]",Cbg;asarray;callable;equilibrium;float;full_like;ones_like,"(흑연 기여, Si 기여) 배경 제외 평형 종 [dQ/dV]. 합 = equilibrium(V,T) − C_bg.",0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
BlendedAnodeDQDV.plastic_hysteresis_loop,method,BlendedAnodeDQDV,public,1383,1392,"(self, *args, **kwargs) -> None",NotImplementedError,⚠ 미구현(정직 공백 GS-1). Si 소성(응력 이력) 히스테리시스 폐합은 본 블렌드 골격 밖이다.,0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
BlendedAnodeDQDV.nonadditive_correction,method,BlendedAnodeDQDV,public,1395,1404,"(self, *args, **kwargs) -> None",NotImplementedError,⚠ 미구현(정직 공백 GS-2). 구간별 host 전환·유한 율속 비가산 보정은 본 골격 밖이다.,0298bb5fdf47ed5faf2f8301b6d84dc88fd580a69c8e616daa3942d35ceae7cf
