"source_id","track","bibliographic_identity","publication_date","doi_or_official_url","theory_type","material_regime","full_text_status","exact_locator","gap_ids","proposed_role","target_section","transfer_risk","worker_disposition","parent_disposition","confidence"
"CH1-RT-011","CH1","Cordoba, Plapp, and Chandesris, Analysis of Lithium Insertion Dynamics in Graphite Particles Using a Multi-Layer Cahn-Hilliard Model, Journal of The Electrochemical Society 173, 030511 (2026)","2026-02-06","https://doi.org/10.1149/1945-7111/ae3d8a","multilayer Cahn-Hilliard single-particle insertion dynamics","single graphite particle; imposed C-rate series from quasi-equilibrium to diffusion-limited regimes; exact full rate list pending retrieval","abstract, introduction, conclusion, and Figure 8 indexing available; version-of-record PDF not page-complete read","Figure 8 relative stage weights versus Li_xC6 filling for lithiation/delithiation; conclusion reports effective diffusivity 10-200 times below tracer D=1.25e-12 m2 s^-1 and rate-dependent stage-3 suppression; retrieve equations and parameter table","CH1-GAP-PHASE-DYN;CH1-GAP-HET-TRANS;CH1-GAP-ICA-FWD","model correction; validity boundary","Chapter 1 rate-dependent staging, directionality, and apparent transport","Single ideal particle; no surface heterogeneity, SEI, or defects; stage 2L complexity omitted; numerical factor and exact rates require full-text verification","RETRIEVE","RETRIEVE","high"
"CH1-RT-012","CH1","Abucide-Armas, Mushtaq, Zulueta, Arcelus, and Carrasco, Mesoscale heterogeneities in graphite electrodes: Modeling the effect of microstructure and non-ideal anisotropic diffusion on the electrochemical response, Journal of Energy Storage 152, 120772 (2026)","2026-03-30 issue date","https://doi.org/10.1016/j.est.2026.120772","3D microstructure-resolved porous-electrode model; anisotropic non-ideal solid diffusion; Fickian/Cahn-Hilliard comparison","stochastic spherical and ellipsoidal graphite electrodes with carbon-binder domain; 0.1C, 1C, and 3C; 0.59-0.003 V","open publisher HTML/indexed body inspected; supplement containing detailed equations and parameters not retrieved; not page-complete READ_FULL","Section 2.2 computational model and Fick/NSD/CH comparison in Fig.S4; Fig.2 voltage/utilization; Fig.3 particle state-of-lithiation maps; Fig.5 isotropic-anisotropic differences; Section 4 Conclusion","CH1-GAP-HET-TRANS;CH1-GAP-ICA-FWD;CH1-GAP-PHASE-DYN","model correction; validity boundary","Chapter 1 porous-electrode and particle-heterogeneity broadening","NSD approximates rather than explicitly resolves graphite stages; stochastic virtual structures and assumed diffusion tensors; supplementary equations/parameters must be checked before quantitative transfer","RETRIEVE","RETRIEVE","high"
"CH1-RT-013","CH1","Malik, Snyder, Liu, and Yu, Phase-field electrochemical simulations of reconstructed graphite electrodes, Journal of Energy Storage 77, 109937 (2024)","2024-01-01","https://doi.org/10.1016/j.est.2023.109937","reconstructed-electrode phase-field electrochemistry; Cahn-Hilliard with smoothed-boundary method","reconstructed graphite microstructures; lithiation through plating-onset regime; exact temperature and rate grid pending full-text read","publisher full-text indexing available; targeted model/results/conclusion inspection, not page-complete READ_FULL","model section for Cahn-Hilliard and smoothed boundary; results comparing solid-solution and phase-field response; conclusion on particle size, thick-electrode tortuosity, and tunneled structures; exact figure/page extraction pending","CH1-GAP-HET-TRANS;CH1-GAP-PHASE-DYN;CH1-GAP-ICA-FWD","model correction; validity boundary","Chapter 1 microstructure-resolved transport broadening","Lithiation only; reconstructed geometry and boundary assumptions; solid-solution overprediction is model-specific; equation and parameter verification incomplete","RETRIEVE","RETRIEVE","medium-high"
"CH1-RT-014","CH1","Lian and Bazant, Modeling Lithium Plating Onset on Porous Graphite Electrodes Under Fast Charging with Hierarchical Multiphase Porous Electrode Theory, Journal of The Electrochemical Society 171, 010526 (2024)","2024-01-24","https://doi.org/10.1149/1945-7111/ad1e3d","hierarchical multiphase porous-electrode theory; generalized Cahn-Hilliard reaction model","graphite fast charging at approximately 2C-6C with plating-onset prediction; full parameter and temperature grid pending retrieval","abstract and indexed conclusions available; full equation-level text not obtained","abstract/conclusion-level hierarchical model and 2C-6C onset results; retrieve governing equations, graphite OCV/free energy, boundary conditions, and validation figures before use","CH1-GAP-HET-TRANS;CH1-GAP-PHASE-DYN;CH1-GAP-ICA-FWD","validity boundary; future work","Chapter 1 high-rate transport/plating boundary and porous-electrode operator","Fast-charge/plating focus rather than low-rate ICA; model hierarchy and plating kinetics add parameters; no transfer to equilibrium peak widths without full validation","RETRIEVE","RETRIEVE","medium-high"
"CH1-RT-015","CH1","Qu and Yu, Multiphysics Electrochemical Impedance Simulations of Complex Multiphase Graphite Electrodes, ACS Applied Energy Materials 6, 3468-3485 (2023)","2023-03-13","https://doi.org/10.1021/acsaem.3c00034","multiphysics phase-field electrochemical impedance simulation","state-dependent Li_xC6 multiphase microstructures under small-signal impedance; exact composition, temperature, and perturbation grid pending full text","abstract/publisher metadata available; full equation-level text not obtained","retrieve pp.3468-3485 for Cahn-Hilliard free energy, microstructure construction, impedance linearization, and state-specific figures before claim-level use","CH1-GAP-PHASE-DYN;CH1-GAP-HET-TRANS","competing model; future work","Chapter 1 dynamic/impedance extension and phase-interface transport","Impedance-domain perturbation is not galvanostatic ICA/DVA; parameter and geometry sensitivity unknown until full read; do not transfer impedance broadening directly","RETRIEVE","RETRIEVE","medium"
"CH1-RT-016","CH1","Fujimoto et al., Phase Diagram of Li-Graphite Intercalation Compound Formed by the Charge/Discharge Reaction in Li-Ion Battery, Journal of The Electrochemical Society 169, 070507 (2022)","2022-07-13","https://doi.org/10.1149/1945-7111/ac7e77","precision derivative-potential analysis synchronized with operando synchrotron XRD phase mapping","graphite under decreasing low-current loads; potential-capacity and potential-composition derivatives; exact load/temperature table pending page-complete read","open Kyoto repository PDF identified; metadata and abstract verified; page-complete read not performed","repository record and abstract; indexed Figure 10 dynamic graphite changes at 0.00-0.10 V; retrieve full PDF for current table, derivative peaks, operando-XRD synchronization, and complete phase-diagram figure locators","CH1-GAP-FT-STAGE;CH1-GAP-ICA-FWD","parameter prior; validity boundary","Chapter 1 stage-voltage provenance and low-rate derivative assignment","Experimental rather than theoretical; proposed/unconfirmed superlattice assignments and current dependence require exact figure-level adjudication; voltage table may be graphite/protocol specific","RETRIEVE","RETRIEVE","high"
"CH1-RT-017","CH1","Yao, Sebastian, and Viswanathan, Unifying Chemical and Electrochemical Thermodynamics of Electrodes, arXiv:2507.10677 (2025)","2025-07-14","https://arxiv.org/abs/2507.10677","finite-temperature thermodynamic integration/fitting using thermochemistry, OCV, and entropy data","graphite near-equilibrium thermodynamics; training OCV/entropy over approximately 25-57 C and reported 10 C extrapolation; exact dataset partition pending full adjudication","preprint metadata and targeted graphite results inspected; no peer-reviewed version located by cutoff; not READ_FULL","preprint graphite phase diagram and temperature-dependent OCV/entropy sections; reported 10 C OCV mean absolute error 3.8 mV versus about 2.9-3.6 mV in training range; exact equation/page adoption deferred","CH1-GAP-FT-STAGE;CH1-GAP-ENTROPY","future work; competing model","Future Chapter 1 finite-temperature thermodynamic model","Preprint-only; combined data sources and fitted heat-capacity form require independent validation; no claim-level adoption before peer review and full read","HOLD","HOLD","medium"
"CH1-RT-018","CH1","Lin and Khoo, Identifiability study of lithium-ion battery capacity fade using degradation mode sensitivity for a minimally and intuitively parametrized electrode-specific cell open-circuit voltage model, Journal of Power Sources 605, 234446 (2024)","2024-06-15 issue date","https://doi.org/10.1016/j.jpowsour.2024.234446","analytical sensitivity gradients; Fisher-information practical identifiability","near-equilibrium full-cell OCV over selected SOC windows; N/P and Li/P health parameters; not a graphite ICA finite-mixture model","full arXiv version identified and publisher abstract/methodology indexed; not page-complete READ_FULL for this assignment","methodology derives electrode slippage and cell-OCV gradients; differential-voltage fractions; Fisher-information SOC windows; four capacity-limitation regimes; no locator addressing graphite peak-mixture component count","CH1-GAP-IDENT","future work; validity boundary","Chapter 1 identifiability methodology and explicit negative comparison","LFP/graphite full-cell aging parameters, not overlapping graphite ICA components; does not establish structural identifiability of peak number, centers, widths, or amplitudes","HOLD","HOLD","high"
"RT-LCO-001","LCO","Shojaei et al.; Bridging scales with Machine Learning: From first principles statistical mechanics to continuum phase field computations to study order-disorder transitions in Li_xCoO2; JMPS 190 105726","2024-09 (Crossref month precision)","https://doi.org/10.1016/j.jmps.2024.105726","DFT+U cluster expansion semi-grand/umbrella Monte Carlo differentiable free-energy surrogate phase field","O3 Li_xCoO2; x>=1/3; Li_0.5 ordering; 12 variants","FULL_READ_AUTHOR_PREPRINT_46_OF_46; VOR access unresolved","preprint pp.1-3 Figs.1-2; p.9 Fig.3 and Eq.(4); pp.9-11 Eqs.(5)-(13); pp.6-7 x-only artifact discussion; supplement pp.2-5 Eqs.(S5),(S8)-(S11); supplement pp.36-39 Figs.S7-S9","P6-CH2-008;P6-CH2-009;P6-CH2-010;P6-CH2-018;P6-CH2-020","Controlling architecture for finite-T Li/vacancy ordering and configurational free energy; negative evidence for x-only ordering","ch1_sec14_interaction.tex;ch1_sec15_entropy.tex;ch1_sec16_phase_separation.tex;ch1_sec17_msmr.tex","Cannot transfer U=2.5 eV or quantitative free energy without reproducing training/MC; omits vibrational entropy and misses high-x MIT plateau","ADOPT_CORE_ARCHITECTURE","ADOPT_CORE_ARCHITECTURE","HIGH"
"RT-LCO-002","LCO","Kuroda Hagiwara and Otani; Structural changes in the lithium cobalt dioxide electrode: A combined approach with cluster expansion and Bayesian optimization; PR Materials 7 115402","2023-11-13","https://doi.org/10.1103/PhysRevMaterials.7.115402","PBE+U cluster-expansion descriptors Gaussian-process Bayesian optimization thermodynamic convex hull NEB","Li_xCoO_(2-y); O3 O1 H1-3 parents; Co3O4; x=0..1 and oxygen deficiency","FULL_READ_VOR_8_OF_8","p.115402-2 Eqs.(1)-(2) and computational details; pp.115402-3 to -4 Fig.3; pp.115402-4 to -6 Figs.4 and 6","P6-CH2-005;P6-CH2-009;P6-CH2-013;P6-CH2-018","Static-versus-finite-T category control and oxygen-loss/low-x validity boundary","ch1_sec11_lcointro.tex;ch1_sec12_potential_landscape.tex;ch1_sec13_ocv.tex;ch1_sec16_phase_separation.tex","300 K label is not a complete finite-T solid Gibbs model; do not transfer U_eff=2 eV or metastability cutoff","ADOPT_VALIDITY_BOUNDARY","ADOPT_VALIDITY_BOUNDARY","HIGH"
"RT-LCO-003","LCO","Xie Mellin Jaegermann Hofmann de Groot and Zhang; Redox Chemistry of LiCoO2 LiNiO2 and LiNi1/3Mn1/3Co1/3O2 Cathodes: Deduced via XPS DFT+DMFT and Charge Transfer Multiplet Simulations; arXiv:2510.02875v1","2025-10-03","https://arxiv.org/abs/2510.02875","charge-self-consistent DFT+DMFT CTQMC XPS charge-transfer-multiplet simulation","Direct LCO at x=1 and x=1/3 with fixed LCO lattice/coordinates; adjacent oxides comparative only","FULL_READ_PREPRINT_27_OF_27; NOT_PEER_REVIEWED","pp.5-6 Fig.1 and fixed-coordinate statement; pp.14-16 conclusions; pp.17-18 DFT+DMFT method; pp.18-19 Eqs.(3)-(4) and Table 1","P6-CH2-002;P6-CH2-003;P6-CH2-004;P6-CH2-005;P6-CH2-006;P6-CH2-008","Preprint-level constraint that LCO electronic evolution is non-rigid and hybridization-dependent; negative evidence for logistic derivation","ch1_sec11_lcointro.tex;ch1_sec13_ocv.tex;ch1_sec15_entropy.tex","Only two LCO compositions and frozen structure; no electronic entropy or Delta x; preprint status","ADOPT_ELECTRONIC_CONSTRAINT_PREPRINT","ADOPT_ELECTRONIC_CONSTRAINT_PREPRINT","MEDIUM_HIGH"
"RT-LCO-004","LCO","Fantin van Roekeghem and Benayad; Self-Regulated Ligand-Metal Charge Transfer upon Lithium-Ion Deintercalation Process from LiCoO2 to CoO2; PRX Energy 2 043010","2023-11-03","https://doi.org/10.1103/PRXEnergy.2.043010","DFT Wannier analysis single-cluster exact diagonalization HAXPES theory/experiment","LiCoO2 and CoO2 theory endpoints; Li_0.12CoO2 experimental comparison; O3/O1 endpoint structures","FULL_READ_VOR_10_OF_10","pp.1-2 endpoint mechanism; p.3 Fig.1 and Table I; p.4 Fig.2; p.5 Fig.3 and O3/O1 comparison; pp.6-8 Eqs.(1)-(12)","P6-CH2-001;P6-CH2-002;P6-CH2-003;P6-CH2-006;P6-CH2-008","Ligand-metal charge-transfer constraint; rejection of scalar DOS-transfer microscopic identity","ch1_sec11_lcointro.tex;ch1_sec15_entropy.tex","Endpoint spectra cannot supply continuous g(E_F,x) electronic entropy g_max or Delta x","ADOPT_ELECTRONIC_CONSTRAINT","ADOPT_ELECTRONIC_CONSTRAINT","HIGH"
"RT-LCO-005","LCO","Ahn Kim Kim and Kim; First-principles study on small polaron and Li diffusion in layered LiCoO2; PCCP 25 27848-27853","2023-09-26","https://doi.org/10.1039/D3CP02998K","PBE+U HSE06 magnetic-state comparison and nudged elastic band","layered approximately Li_0.96CoO2 divacancy supercell","FULL_READ_AUTHOR_PREPRINT_17_OF_17","pp.5-6 methods; pp.7-8 Fig.2; pp.9-10 Fig.3; pp.11-12 Fig.4; pp.13-14 Fig.5","P6-CH2-002;P6-CH2-003;P6-CH2-004;P6-CH2-006;P6-CH2-008","Near-stoichiometric magnetic/polaron electronic-state constraint","ch1_sec11_lcointro.tex;ch1_sec15_entropy.tex","Single near-stoichiometric composition; barriers and DOS are not reaction entropy; cannot set gate width","ADOPT_ELECTRONIC_CONSTRAINT","ADOPT_ELECTRONIC_CONSTRAINT","HIGH"
"RT-LCO-006","LCO","Chen Cui and Yang; First principles study of LiCoO2 cathode material for lithium ion batteries at different temperatures; Journal of Functional Materials 52(7) 7046-7051","2021-07-30","https://doi.org/10.3969/j.issn.1001-9731.2021.07.008","DFT phonons harmonic vibrational free energy endpoint voltage","Li metal stoichiometric LiCoO2 and fully delithiated CoO2 endpoint","FULL_READ_OFFICIAL_PDF_6_OF_6","pp.7047-7048 lattice dynamics; p.7049 Eqs.(5)-(11) and Fig.4; p.7050 conclusion","P6-CH2-004;P6-CH2-005;P6-CH2-008;P6-CH2-014;P6-CH2-017","Conceptual separation of static energy and endpoint vibrational reaction free energy","ch1_sec13_ocv.tex;ch1_sec15_entropy.tex","Endpoint-only harmonic result cannot identify x-dependent partial-molar vibrational entropy or measured dU/dT","ADOPT_CONCEPT_ONLY","ADOPT_CONCEPT_ONLY","MEDIUM"
"RT-LCO-007","LCO","Robinson Lund Vikrant and Garcia; Grain boundary metal-insulator transitions in polycrystalline LiCoO2; Journal of Power Sources 547 231918","2022-11 (issue month)","https://doi.org/10.1016/j.jpowsour.2022.231918","thermodynamically consistent multiphase-field model","polycrystalline Li_xCoO2; O3(I) O3(II) H1-3 metallic insulating and grain-boundary states","PARTIAL_PUBLISHER_PREVIEW; FULL_TEXT_PAYWALLED","official abstract/highlights; introduction preview; first displayed Helmholtz free-energy equation; no verified page locator","P6-CH2-002;P6-CH2-003;P6-CH2-009;P6-CH2-011;P6-CH2-018","Potential explicit electronic/structural phase-field replacement; retrieve before use","ch1_sec11_lcointro.tex;ch1_sec12_potential_landscape.tex;ch1_sec15_entropy.tex;ch1_sec16_phase_separation.tex","Parameters/equations/validation unread; percolation composition cannot be treated as logistic Delta x","RETRIEVE_FIRST","RETRIEVE_FIRST","MEDIUM_HIGH"
"RT-LCO-008","LCO","Liu and Fang; Electrochemical phase transition of Li_xCoO2 from machine-learning-based global optimization; Chemical Physics Letters 825 140577","2023-08-16","https://doi.org/10.1016/j.cplett.2023.140577","stochastic-surface-walking neural-network global optimization with DFT validation","Li_xCoO2 across discrete Li counts; reported structural transitions especially x<0.5","PARTIAL_PUBLISHER_PREVIEW; FULL_TEXT_PAYWALLED","official abstract/highlights and publisher introduction/conclusion preview; no verified equation/page locator","P6-CH2-009;P6-CH2-013;P6-CH2-018","Candidate zero-K structure and voltage map; retrieve before any phase claim","ch1_sec11_lcointro.tex;ch1_sec12_potential_landscape.tex;ch1_sec16_phase_separation.tex","Zero-K/global structure output cannot be assumed to be finite-T ordering or Gibbs free energy","RETRIEVE_FIRST","RETRIEVE_FIRST","MEDIUM"
"RT-LCO-009","LCO","Paese Zeller Chatain and Gueneau; Thermodynamic properties of LiNiO2 LiCoO2 and LiMnO2 using density-functional theory; PCCP 25 20641-20656","2023-07-17","https://doi.org/10.1039/D3CP01771K","DFT formation-energy Hess cycles harmonic and quasi-harmonic phonons CALPHAD input","stoichiometric rhombohedral LiCoO2; other endmembers comparative","PARTIAL_OPEN_HTML_SCREEN; NOT_FULL_READ","official HTML abstract lines 18-22; introduction/method discussion lines 24-121; no ADOPT locator","P6-CH2-005;P6-CH2-008;P6-CH2-014","Background for stoichiometric phonon/QHA methodology and heat-capacity validation","ch1_sec15_entropy.tex","Stoichiometric heat capacity cannot supply delithiation partial-molar entropy versus x","HOLD_BACKGROUND_ONLY","HOLD_BACKGROUND_ONLY","HIGH"
