chapter,dimension,terra_score_0_5,sol_score_0_5,terra_status,sol_status,agreement,controlling_evidence,adjudicated_judgment,required_change,confidence
"Chapter 2","textbook_prerequisite_order","3","4","확정","확정","MODIFY","ch2_lco_v1.0.23.tex:2-7,20-29; ch2v22_sec00_intro.tex:4-8; ch2v22_notation.tex:5-14; 2026-07-17-v1022-master-plan.md:4,8-14,39-45","Judged under its actual contract, Chapter 2 is a coherent dependent volume chapter: it intentionally reuses Chapter 1 and explains only material-specific changes. It is not a standalone review, but standalone closure is not the correct prerequisite criterion here.","Label it explicitly as a volume chapter and add a compact local state/equation recap. Do not duplicate the complete Chapter 1 derivations or score their deliberate inheritance as an ordering defect.","high"
"Chapter 2","review_evidence_balance","2","2","확정","확정","AFFIRM","PHASE_004_SCIENTIFIC_CONVENTION_AND_SOURCE_BASELINE_RESULT.md:107-142,165-188; ch1_sec13_lcohys.tex:27-42; ch1_sec15_lcoelec.tex:160-179","Material-specific citations and tier language are present, but Phase 004 identifies multiple misattributions, scale errors, unsupported transfers, and component-validation overreach. The evidence balance remains weak.","Put measured phase/order and entropy-observable evidence before each reduction; attach the Phase 004 role and access boundary at the exact claim, and remove no uncertainty or tier language.","high"
"Chapter 2","notation_consistency","4","4","확정","확정","AFFIRM","ch2v22_notation.tex:5-14; ch2v22_sec00_intro.tex:4-8; ch2_lco_v1.0.23.tex:6-7; phase004_model_dependency_graph.md:12-23","The inherited/new split is explicit and prevents silent symbol redefinition. Dependence on Chapter 1 lowers standalone convenience but does not make the notation inconsistent within the volume.","Retain all inherited names and the two-tier table; add a compact equation glossary with live references and keep LCO-specific state variables local.","high"
"Chapter 2","derivation_transparency","3","4","확정","확정","MODIFY","ch1_sec14_lcodecomp.tex:120-141; ch1_sec15_lcoelec.tex:150-179,340-391; ch1_sec17_msmr.tex:96-174; PHASE_004_SCIENTIFIC_CONVENTION_AND_SOURCE_BASELINE_RESULT.md:119-139","The chapter exposes the decomposition, frozen approximations, tier-C example status, and MSMR non-identity in substantial detail. Scientific support for some premises is defective, but transparency of the derivation and approximation chain is stronger than Terra scored.","Move a concise status box ahead of the first electronic-gate use, distinguish identity from project factorization and numerical device, and link every approximation to its later validation target.","high"
"Chapter 2","example_quality","2","3","미검증","미검증","MODIFY","ch1_sec15_lcoelec.tex:340-391; ch1_sec14_lcodecomp.tex:127-141; PHASE_004_SCIENTIFIC_CONVENTION_AND_SOURCE_BASELINE_RESULT.md:107-142,230-233","The worked gate example is transparent about being a tier-C, frozen, round-trip-pending demonstration and is therefore pedagogically useful. It is not material- and protocol-linked validation.","Retain it as a demonstration, correct any Phase 004 scientific defects before reuse, and add a separate measured example with material identity, composition, temperature protocol, uncertainty, and residual comparison.","high"
"Chapter 2","validity_and_uq","1","2","근거 미발견","확정","MODIFY","ch1_sec13_lcohys.tex:27-42; ch1_sec14_lcodecomp.tex:127-141; ch1_sec15_lcoelec.tex:150-179; PHASE_004_SCIENTIFIC_CONVENTION_AND_SOURCE_BASELINE_RESULT.md:109-139,175-188","Tier separation, frozen-approximation boundaries, and unresolved gaps provide local validity disclosure. They do not constitute an integrated domain or quantitative uncertainty treatment.","Add a final validity/UQ section covering composition, temperature, phase history, material/protocol dependence, component non-separability, parameter intervals, model discrepancy, and external validation requirements.","high"
"Chapter 2","identifiability","1","1","근거 미발견","근거 미발견","AFFIRM","ch1_sec14_lcodecomp.tex:127-141; ch1_sec15_lcoelec.tex:340-391; ch1_sec17_msmr.tex:169-174; phase004_model_dependency_graph.md:36-38,68-75","No result shows that centers, interaction terms, entropy components, and electronic-gate parameters are separately recoverable from the stated observables. Tier labels and exposed parameters do not close identifiability.","Add a material-specific inverse section with multi-temperature experiment design, component-separation limits, profile or likelihood diagnostics, parameter correlations, and explicitly unrecoverable combinations.","high"
"Chapter 2","three_chapter_coherence","3","4","확정","확정","MODIFY","ch2v22_sec00_intro.tex:4-8; ch2_lco_v1.0.23.tex:3-7,20-29; 2026-07-17-v1022-master-plan.md:8-14,39-45; HANDOVER_v1.0.22.md:10-17","As a material-delta chapter, Chapter 2 implements the intended three-volume logic clearly. The remaining incoherence is distributional: some LCO workflow and code navigation remain in Chapter 1, and the handover's self-contained-review wording conflicts with the explicit inherited-equation design.","State the dependent-volume genre unambiguously, move LCO-only workflow/interface material local, and distinguish shared volume equations from LCO evidence and project adaptations at the opening and close.","high"
"Chapter 2","code_separation","4","4","확정","확정","AFFIRM","ch2_lco_v1.0.23.tex:20-29; ch1_sec17_msmr.tex:96-176; ch2_appB_codemap.tex:8-71; 2026-07-16-v1020-master-plan.md:27-29","The main chapter remains physics-led and detailed implementation criteria are outside its explanatory body. Inconvenient appendix ownership affects usability, not the separation score.","Keep executable/API detail in an appendix and add a Chapter 2-local reproducibility pointer to the single canonical code map.","high"
"Chapter 2","fitting_usability","2","2","추정","추정","AFFIRM","ch2_sec09_method.tex:9-29,52-61; ch1_sec18_inputs.tex:5-24,55-68; ch2_appB_codemap.tex:13-71","The volume provides a relevant multi-temperature method but distributes inputs, interfaces, and diagnostics across Chapter 1 and appendices. It is not yet a chapter-local fitting guide.","Consolidate LCO data requirements, parameter classes, bounds, objective, identifiability diagnostics, uncertainty reporting, and validity limits in a local fitting section while retaining one canonical shared implementation map.","high"
"Chapter 3","textbook_prerequisite_order","2","3","확정","확정","REJECT","ch3v22_sec00_intro.tex:4-9; ch3v22_sec01_map.tex:6-31,75-127; ch3v22_notation.tex:5-43; 2026-07-17-v1022-master-plan.md:12,45,60,66-67","The survival map is not a premature conclusion; it is the chapter's transfer-learning prerequisite that decides which inherited equations may be used at all. Moving it behind a full material model would reverse the chapter's epistemic logic, although a concise state/history/reference orientation is missing.","Keep the survival map as the first substantive section. Insert only a short pre-map orientation defining material identity, cycle/history, reference state, geometry/stress measure, capacity basis, and observable vocabulary.","high"
"Chapter 3","review_evidence_balance","3","3","확정","확정","AFFIRM","ch3v22_sec01_map.tex:16-31; ch3v22_sec02_cases.tex:15-35,91-97; ch3v22_sec03_blend.tex:229-273; PHASE_004_SCIENTIFIC_CONVENTION_AND_SOURCE_BASELINE_RESULT.md:165-188,220-233","The chapter is unusually candid about literature-only scope, tier-C devices, placeholders, and GS-1/GS-2. Its evidence remains a selective transfer scaffold, and Phase 004 access and adoption bounds prevent treatment as an exhaustive review.","Place bounded Si, formulation, finite-rate, and finite-deformation evidence at the first transfer claim; add an unresolved-questions section without upgrading abstract-only or targeted-review evidence into equation or parameter support.","high"
"Chapter 3","notation_consistency","3","3","확정","확정","AFFIRM","ch3v22_notation.tex:5-43; ch3v22_sec03_blend.tex:61-89; PHASE_004_SCIENTIFIC_CONVENTION_AND_SOURCE_BASELINE_RESULT.md:67-75","Inherited and new symbols, host sums, and mass-to-capacity conversion are explicit. The normalization and stress-measure edges remain underdeclared or scientifically mismatched, so stronger local definition is required before a higher score.","Preserve all symbol names. Add explicit total-active-mass versus fixed-graphite-add-Si basis, plane-stress versus hydrostatic mapping, finite-strain domain, reference state, and cycle/history definitions before first quantitative use.","high"
"Chapter 3","derivation_transparency","2","3","확정","확정","MODIFY","ch3v22_sec03_blend.tex:4-15,17-132,229-273; ch3v22_sec04_mech.tex:4-20,71-105; PHASE_004_SCIENTIFIC_CONVENTION_AND_SOURCE_BASELINE_RESULT.md:67-75","The common-mu derivation, recovery limit, and GS-1/GS-2 stopping points are explicit enough for a research-roadmap chapter. It is not a closed mechanics derivation, and Phase 004 exposes missing normalization, stress conversion, and finite-deformation guards.","Retain the equilibrium derivation and honest stopping points; place the normalization and mechanics validity envelopes before the equations and label the unclosed constitutive layers as research requirements.","high"
"Chapter 3","example_quality","2","3","미검증","미검증","MODIFY","ch3v22_sec02_cases.tex:15-35,91-97; ch3v22_sec03_blend.tex:203-222; PHASE_004_SCIENTIFIC_CONVENTION_AND_SOURCE_BASELINE_RESULT.md:230-233","The case table and blend-family calculation are useful, reproducible, and explicit about tier-C and placeholder status. They are not representative experimental validation, and some normalization assumptions are scientifically unresolved.","Keep them as illustrative devices; correct the normalization basis, and add provenance-complete host-resolved or operando comparisons with cycle, protocol, utilization, uncertainty, and fit-versus-demonstration status.","high"
"Chapter 3","validity_and_uq","2","2","확정","확정","AFFIRM","ch3v22_sec03_blend.tex:229-273; ch3v22_sec04_mech.tex:61-105; ch3v22_sec05_code.tex:54-61; PHASE_004_SCIENTIFIC_CONVENTION_AND_SOURCE_BASELINE_RESULT.md:67-75,230-233","GS-1, GS-2, placeholders, and unimplemented boundaries provide strong qualitative honesty, but the stress and normalization validity limits arrive too late and no quantitative UQ or model-discrepancy method exists.","Add one consolidated validity/UQ section before reproducibility, with formulation, basis, rate, aging, stress measure, finite deformation, geometry, parameter uncertainty, and model discrepancy.","high"
"Chapter 3","identifiability","1","1","근거 미발견","근거 미발견","AFFIRM","ch3v22_sec02_cases.tex:15-35; ch3v22_sec03_blend.tex:203-273; ch3v22_sec05_code.tex:40-61; phase004_model_dependency_graph.md:36-38,68-75","No analysis shows that ICA/DVA can distinguish host fraction, utilization, latent host curves, stress, hysteresis, and degradation. Gates for forward conservation and continuity do not establish inverse identifiability.","Add a pre-code inverse section demonstrating non-uniqueness and specifying host-resolved, operando, mechanical, and multi-rate data needed before mechanistic parameter interpretation.","high"
"Chapter 3","three_chapter_coherence","3","4","확정","확정","MODIFY","ch3v22_sec01_map.tex:6-24,97-127; ch3_si_v1.0.23.tex:6-28; 2026-07-17-v1022-master-plan.md:12,45,60,66-67","The map to cases to equilibrium blend to GS-1/GS-2 sequence is coherent as a transfer and research-roadmap chapter. It is not the third self-contained textbook chapter implied by some reorganization prose, so its genre must be stated honestly.","Retain the transfer sequence, add the short local orientation and an inverse/UQ close, and label Chapter 3 a literature-grounded extension roadmap with bounded textbook derivations rather than a closed standalone review.","high"
"Chapter 3","code_separation","1","2","확정","확정","MODIFY","ch3_si_v1.0.23.tex:21-28; ch3v22_sec01_map.tex:118-127; ch3v22_notation.tex:31-36; ch3v22_sec05_code.tex:4-61","A dedicated final code section is less intrusive than code woven through the physics, so score 1 is too severe. The API names and implementation instructions still break the main-text register, while the scientific gates and exclusions are part of reproducibility and must remain visible.","Move API names, signatures, docstring instructions, and detailed test procedures to a same-master reproducibility appendix; retain a compact main-text table of G1-G3 meanings and GS-1/GS-2 exclusions.","high"
"Chapter 3","fitting_usability","2","2","추정","추정","AFFIRM","ch3v22_sec02_cases.tex:15-35,91-97; ch3v22_sec03_blend.tex:78-89,203-273; ch3v22_sec05_code.tex:31-61","Inputs and forward gates are visible, but the chapter deliberately lacks closed mechanics, host-partition dynamics, empirical validation, identifiability, and uncertainty guidance. It is not yet a defensible fitting guide.","After inverse/UQ, add a scope-controlled fitting guide for the equilibrium reduced model with required data, excluded regimes, constraints, reporting rules for tier-C/placeholders, and escalation criteria for GS-1/GS-2 physics.","high"
